Organism,BioProject,BioSample,Run,LibraryName,refGenome
Hippocampus_jayakari,PRJNA612146,SAMN14363278,SRR12601870,200,GCF_001891065.1
Hippocampus_jayakari,PRJNA612146,SAMN14363276,SRR12601872,198,GCF_001891065.1
Hippocampus_jayakari,PRJNA612146,SAMN14363274,SRR12601874,196,GCF_001891065.1
Hippocampus_jayakari,PRJNA612146,SAMN14363271,SRR12601877,193,GCF_001891065.1
Hippocampus_jayakari,PRJNA612146,SAMN14363268,SRR12601881,190,GCF_001891065.1
Hippocampus_jayakari,PRJNA612146,SAMN14363277,SRR12601871,199,GCF_001891065.1
Hippocampus_jayakari,PRJNA612146,SAMN14363275,SRR12601873,197,GCF_001891065.1
Hippocampus_jayakari,PRJNA612146,SAMN14363273,SRR12601875,195,GCF_001891065.1
Hippocampus_jayakari,PRJNA612146,SAMN14363270,SRR12601878,192,GCF_001891065.1
Hippocampus_jayakari,PRJNA612146,SAMN14363269,SRR12601879,191,GCF_001891065.1
Hippocampus_jayakari,PRJNA612146,SAMN14363267,SRR12601882,189,GCF_001891065.1
Hippocampus_jayakari,PRJNA612146,SAMN14363286,SRR12602004,208,GCF_001891065.1
Hippocampus_jayakari,PRJNA612146,SAMN14363285,SRR12602005,207,GCF_001891065.1
Hippocampus_jayakari,PRJNA612146,SAMN14363284,SRR12602006,206,GCF_001891065.1
Hippocampus_jayakari,PRJNA612146,SAMN14363283,SRR12602007,205,GCF_001891065.1
Hippocampus_jayakari,PRJNA612146,SAMN14363282,SRR12602008,204,GCF_001891065.1
Hippocampus_jayakari,PRJNA612146,SAMN14363281,SRR12602009,203,GCF_001891065.1
Hippocampus_jayakari,PRJNA612146,SAMN14363280,SRR12602010,202,GCF_001891065.1
Hippocampus_jayakari,PRJNA612146,SAMN14363279,SRR12602011,201,GCF_001891065.1
Hippocampus_jayakari,PRJNA612146,SAMN14363272,SRR12601876,194,GCF_001891065.1
