BioProject,BioSample,Organism,sex,Submitter_Id,Location,State,Country,refGenome
PRJNA612146,SAMN14363306,Hippocampus_kelloggi,missing,Hkg_21,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1
PRJNA612146,SAMN14363303,Hippocampus_kelloggi,missing,Hkg_17,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1
PRJNA612146,SAMN14363302,Hippocampus_kelloggi,missing,Hkg_16,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1
PRJNA612146,SAMN14363300,Hippocampus_kelloggi,missing,Hkg_14,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1
PRJNA612146,SAMN14363295,Hippocampus_kelloggi,missing,Hkg_9,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1
PRJNA612146,SAMN14363293,Hippocampus_kelloggi,missing,Hkg_7,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1
PRJNA612146,SAMN14363291,Hippocampus_kelloggi,missing,Hkg_5,Colombo,NA,Sri Lanka,GCF_001891065.1
PRJNA612146,SAMN14363290,Hippocampus_kelloggi,missing,Hkg_4,Colombo,NA,Sri Lanka,GCF_001891065.1
PRJNA612146,SAMN14363305,Hippocampus_kelloggi,missing,Hkg_20,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1
PRJNA612146,SAMN14363304,Hippocampus_kelloggi,missing,Hkg_18,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1
PRJNA612146,SAMN14363299,Hippocampus_kelloggi,missing,Hkg_13,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1
PRJNA612146,SAMN14363298,Hippocampus_kelloggi,missing,Hkg_12,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1
PRJNA612146,SAMN14363297,Hippocampus_kelloggi,missing,Hkg_11,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1
PRJNA612146,SAMN14363294,Hippocampus_kelloggi,missing,Hkg_8,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1
PRJNA612146,SAMN14363292,Hippocampus_kelloggi,missing,Hkg_6,Colombo,NA,Sri Lanka,GCF_001891065.1
PRJNA612146,SAMN14363289,Hippocampus_kelloggi,missing,Hkg_3,Colombo,NA,Sri Lanka,GCF_001891065.1
PRJNA612146,SAMN14363288,Hippocampus_kelloggi,missing,Hkg_2,Colombo,NA,Sri Lanka,GCF_001891065.1
PRJNA612146,SAMN14363287,Hippocampus_kelloggi,missing,Hkg_1,Colombo,NA,Sri Lanka,GCF_001891065.1
PRJNA612146,SAMN14363296,Hippocampus_kelloggi,missing,Hkg_10,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1
PRJNA612146,SAMN14363301,Hippocampus_kelloggi,missing,Hkg_15,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1
