BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN14363324,246,GCF_001891065.1,SRR12601818,Hippocampus_kuda,PRJNA612146
SAMN14363322,244,GCF_001891065.1,SRR12601820,Hippocampus_kuda,PRJNA612146
SAMN14363321,243,GCF_001891065.1,SRR12601821,Hippocampus_kuda,PRJNA612146
SAMN14363319,241,GCF_001891065.1,SRR12601823,Hippocampus_kuda,PRJNA612146
SAMN14363317,239,GCF_001891065.1,SRR12601826,Hippocampus_kuda,PRJNA612146
SAMN14363314,236,GCF_001891065.1,SRR12601829,Hippocampus_kuda,PRJNA612146
SAMN14363311,233,GCF_001891065.1,SRR12601832,Hippocampus_kuda,PRJNA612146
SAMN14363308,230,GCF_001891065.1,SRR12601980,Hippocampus_kuda,PRJNA612146
SAMN14363323,245,GCF_001891065.1,SRR12601819,Hippocampus_kuda,PRJNA612146
SAMN14363320,242,GCF_001891065.1,SRR12601822,Hippocampus_kuda,PRJNA612146
SAMN14363318,240,GCF_001891065.1,SRR12601825,Hippocampus_kuda,PRJNA612146
SAMN14363316,238,GCF_001891065.1,SRR12601827,Hippocampus_kuda,PRJNA612146
SAMN14363315,237,GCF_001891065.1,SRR12601828,Hippocampus_kuda,PRJNA612146
SAMN14363313,235,GCF_001891065.1,SRR12601830,Hippocampus_kuda,PRJNA612146
SAMN14363312,234,GCF_001891065.1,SRR12601831,Hippocampus_kuda,PRJNA612146
SAMN14363310,232,GCF_001891065.1,SRR12601833,Hippocampus_kuda,PRJNA612146
SAMN14363309,231,GCF_001891065.1,SRR12601978,Hippocampus_kuda,PRJNA612146
SAMN14363307,229,GCF_001891065.1,SRR12601981,Hippocampus_kuda,PRJNA612146
