BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN14363362,284,GCF_001891065.1,SRR12601740,Hippocampus_reidi,PRJNA612146
SAMN14363360,282,GCF_001891065.1,SRR12601742,Hippocampus_reidi,PRJNA612146
SAMN14363357,279,GCF_001891065.1,SRR12601746,Hippocampus_reidi,PRJNA612146
SAMN14363353,275,GCF_001891065.1,SRR12601750,Hippocampus_reidi,PRJNA612146
SAMN14363351,273,GCF_001891065.1,SRR12601752,Hippocampus_reidi,PRJNA612146
SAMN14363350,272,GCF_001891065.1,SRR12601753,Hippocampus_reidi,PRJNA612146
SAMN14363346,268,GCF_001891065.1,SRR12601758,Hippocampus_reidi,PRJNA612146
SAMN14363344,266,GCF_001891065.1,SRR12601760,Hippocampus_reidi,PRJNA612146
SAMN14363359,281,GCF_001891065.1,SRR12601743,Hippocampus_reidi,PRJNA612146
SAMN14363358,280,GCF_001891065.1,SRR12601745,Hippocampus_reidi,PRJNA612146
SAMN14363356,278,GCF_001891065.1,SRR12601747,Hippocampus_reidi,PRJNA612146
SAMN14363355,277,GCF_001891065.1,SRR12601748,Hippocampus_reidi,PRJNA612146
SAMN14363354,276,GCF_001891065.1,SRR12601749,Hippocampus_reidi,PRJNA612146
SAMN14363349,271,GCF_001891065.1,SRR12601754,Hippocampus_reidi,PRJNA612146
SAMN14363348,270,GCF_001891065.1,SRR12601756,Hippocampus_reidi,PRJNA612146
SAMN14363347,269,GCF_001891065.1,SRR12601757,Hippocampus_reidi,PRJNA612146
SAMN14363345,267,GCF_001891065.1,SRR12601759,Hippocampus_reidi,PRJNA612146
SAMN14363361,283,GCF_001891065.1,SRR12601741,Hippocampus_reidi,PRJNA612146
SAMN14363352,274,GCF_001891065.1,SRR12601751,Hippocampus_reidi,PRJNA612146
