BioProject,BioSample,Organism,sex,Submitter_Id,Location,State,Country,refGenome,refSpecies
PRJNA612146,SAMN14363362,Hippocampus_reidi,missing,Hrd_S6,Amapa,NA,Brazil,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363360,Hippocampus_reidi,missing,Hrd_S4,Amapa,NA,Brazil,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363357,Hippocampus_reidi,missing,Hrd_14,Fortaleza,NA,Brazil,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363353,Hippocampus_reidi,missing,Hrd_10,Fortaleza,NA,Brazil,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363351,Hippocampus_reidi,missing,Hrd_8,Fortaleza,NA,Brazil,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363350,Hippocampus_reidi,missing,Hrd_7,Fortaleza,NA,Brazil,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363346,Hippocampus_reidi,missing,Hrd_3,Fortaleza,NA,Brazil,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363344,Hippocampus_reidi,missing,Hrd_1,Fortaleza,NA,Brazil,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363359,Hippocampus_reidi,missing,Hrd_S2,Amapa,NA,Brazil,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363358,Hippocampus_reidi,missing,Hrd_S1,Amapa,NA,Brazil,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363356,Hippocampus_reidi,missing,Hrd_13,Fortaleza,NA,Brazil,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363355,Hippocampus_reidi,missing,Hrd_12,Fortaleza,NA,Brazil,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363354,Hippocampus_reidi,missing,Hrd_11,Fortaleza,NA,Brazil,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363349,Hippocampus_reidi,missing,Hrd_6,Fortaleza,NA,Brazil,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363348,Hippocampus_reidi,missing,Hrd_5,Fortaleza,NA,Brazil,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363347,Hippocampus_reidi,missing,Hrd_4,Fortaleza,NA,Brazil,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363345,Hippocampus_reidi,missing,Hrd_2,Fortaleza,NA,Brazil,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363361,Hippocampus_reidi,missing,Hrd_S5,Amapa,NA,Brazil,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363352,Hippocampus_reidi,missing,Hrd_9,Fortaleza,NA,Brazil,GCF_001891065.1,Hippocampus_comes
