Organism,BioProject,BioSample,Run,LibraryName,refGenome
Hippocampus_subelongatus,PRJNA612146,SAMN14363375,SRR12601726,297,GCF_001891065.1
Hippocampus_subelongatus,PRJNA612146,SAMN14363373,SRR12601728,295,GCF_001891065.1
Hippocampus_subelongatus,PRJNA612146,SAMN14363371,SRR12601730,293,GCF_001891065.1
Hippocampus_subelongatus,PRJNA612146,SAMN14363369,SRR12601732,291,GCF_001891065.1
Hippocampus_subelongatus,PRJNA612146,SAMN14363368,SRR12601734,290,GCF_001891065.1
Hippocampus_subelongatus,PRJNA612146,SAMN14363366,SRR12601736,288,GCF_001891065.1
Hippocampus_subelongatus,PRJNA612146,SAMN14363364,SRR12601738,286,GCF_001891065.1
Hippocampus_subelongatus,PRJNA612146,SAMN14363374,SRR12601727,296,GCF_001891065.1
Hippocampus_subelongatus,PRJNA612146,SAMN14363372,SRR12601729,294,GCF_001891065.1
Hippocampus_subelongatus,PRJNA612146,SAMN14363370,SRR12601731,292,GCF_001891065.1
Hippocampus_subelongatus,PRJNA612146,SAMN14363367,SRR12601735,289,GCF_001891065.1
Hippocampus_subelongatus,PRJNA612146,SAMN14363365,SRR12601737,287,GCF_001891065.1
Hippocampus_subelongatus,PRJNA612146,SAMN14363363,SRR12601739,285,GCF_001891065.1
