Organism,BioProject,BioSample,Run,LibraryName,refGenome
Hippocampus_trimaculatus,PRJNA612146,SAMN14363413,SRR12601719,335,GCF_001891065.1
Hippocampus_trimaculatus,PRJNA612146,SAMN14363410,SRR12601722,332,GCF_001891065.1
Hippocampus_trimaculatus,PRJNA612146,SAMN14363407,SRR12601762,329,GCF_001891065.1
Hippocampus_trimaculatus,PRJNA612146,SAMN14363406,SRR12601763,328,GCF_001891065.1
Hippocampus_trimaculatus,PRJNA612146,SAMN14363403,SRR12601766,325,GCF_001891065.1
Hippocampus_trimaculatus,PRJNA612146,SAMN14363401,SRR12601768,323,GCF_001891065.1
Hippocampus_trimaculatus,PRJNA612146,SAMN14363397,SRR12601773,319,GCF_001891065.1
Hippocampus_trimaculatus,PRJNA612146,SAMN14363415,SRR12601717,337,GCF_001891065.1
Hippocampus_trimaculatus,PRJNA612146,SAMN14363414,SRR12601718,336,GCF_001891065.1
Hippocampus_trimaculatus,PRJNA612146,SAMN14363412,SRR12601720,334,GCF_001891065.1
Hippocampus_trimaculatus,PRJNA612146,SAMN14363411,SRR12601721,333,GCF_001891065.1
Hippocampus_trimaculatus,PRJNA612146,SAMN14363409,SRR12601723,331,GCF_001891065.1
Hippocampus_trimaculatus,PRJNA612146,SAMN14363408,SRR12601725,330,GCF_001891065.1
Hippocampus_trimaculatus,PRJNA612146,SAMN14363405,SRR12601764,327,GCF_001891065.1
Hippocampus_trimaculatus,PRJNA612146,SAMN14363404,SRR12601765,326,GCF_001891065.1
Hippocampus_trimaculatus,PRJNA612146,SAMN14363402,SRR12601767,324,GCF_001891065.1
Hippocampus_trimaculatus,PRJNA612146,SAMN14363400,SRR12601769,322,GCF_001891065.1
Hippocampus_trimaculatus,PRJNA612146,SAMN14363399,SRR12601770,321,GCF_001891065.1
Hippocampus_trimaculatus,PRJNA612146,SAMN14363398,SRR12601772,320,GCF_001891065.1
Hippocampus_trimaculatus,PRJNA612146,SAMN14363396,SRR12601774,318,GCF_001891065.1
