Organism,BioProject,BioSample,Run,LibraryName,refGenome
Hippocampus_zosterae,PRJNA612146,SAMN14363436,SRR12601694,358,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363431,SRR12601699,353,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363430,SRR12601700,352,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363427,SRR12601704,349,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363425,SRR12601706,347,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363423,SRR12601708,345,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363422,SRR12601709,344,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363420,SRR12601711,342,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363418,SRR12601714,340,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363435,SRR12601695,357,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363432,SRR12601698,354,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363429,SRR12601701,351,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363428,SRR12601703,350,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363424,SRR12601707,346,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363421,SRR12601710,343,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363419,SRR12601712,341,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363417,SRR12601715,339,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363416,SRR12601716,338,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363426,SRR12601705,348,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363434,SRR12601696,356,GCF_001891065.1
Hippocampus_zosterae,PRJNA612146,SAMN14363433,SRR12601697,355,GCF_001891065.1
