Organism,BioProject,BioSample,Run,LibraryName,refGenome
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799712,ERR2751025,18902,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799711,ERR2751027,18901,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799713,ERR2751033,18903,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799713,ERR2751034,18903,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799708,ERR2751035,18424,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799709,ERR2751037,18428,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799707,ERR2751040,18418,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799717,ERR2751041,18907,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799718,ERR2751043,18909,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799715,ERR2751045,18905,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799710,ERR2751053,18436,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799710,ERR2751054,18436,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799716,ERR2751057,18906,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799714,ERR2751061,18904,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799706,ERR2751067,16_21-30,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799706,ERR2751068,16_21-30,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799682,ERR2751071,18151,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799683,ERR2751073,18153,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799684,ERR2751075,18155,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799685,ERR2751076,18156,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799686,ERR2751077,18157,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799687,ERR2751078,18158,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799688,ERR2751079,18159,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799689,ERR2751081,18162,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799690,ERR2751083,18165,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799691,ERR2751086,18171,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799692,ERR2751094,18185,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799693,ERR2751095,18187,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799694,ERR2751126,20599,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799695,ERR2751127,20600,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799696,ERR2751128,20601,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799697,ERR2751129,20602,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799698,ERR2751130,20603,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799699,ERR2751131,20604,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799700,ERR2751132,20605,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799701,ERR2751133,20606,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799702,ERR2751134,20607,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799703,ERR2751135,20608,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799704,ERR2751136,20609,GCA_900610375.1
Hypoplectrus_nigricans,PRJEB27858,SAMEA4799705,ERR2751137,20610,GCA_900610375.1
