Organism,BioProject,BioSample,Run,LibraryName,refGenome
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799785,ERR2751024,18442,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799787,ERR2751029,18446,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799788,ERR2751031,18447,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799781,ERR2751032,18435,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799790,ERR2751036,18450,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799783,ERR2751038,18440,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799782,ERR2751042,18439,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799791,ERR2751047,18454,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799784,ERR2751052,18441,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799789,ERR2751056,18448,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799786,ERR2751059,18445,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799780,ERR2751062,18420,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799779,ERR2751065,16_31-40,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799779,ERR2751066,16_31-40,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799756,ERR2751082,18163,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799757,ERR2751096,18261,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799758,ERR2751097,18267,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799759,ERR2751098,18274,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799761,ERR2751100,19881,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799762,ERR2751101,20092,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799763,ERR2751102,20120,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799764,ERR2751103,20126,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799765,ERR2751104,20128,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799766,ERR2751105,20135,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799768,ERR2751115,20560,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799770,ERR2751117,20562,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799771,ERR2751118,20563,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799772,ERR2751119,20564,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799774,ERR2751121,20566,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799776,ERR2751123,20568,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799777,ERR2751124,20571,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799778,ERR2751125,20572,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799767,ERR2751106,20149,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799760,ERR2751099,18276,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799769,ERR2751116,20561,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799775,ERR2751122,20567,GCA_900610375.1
Hypoplectrus_unicolor,PRJEB27858,SAMEA4799773,ERR2751120,20565,GCA_900610375.1
