Organism,BioProject,BioSample,Run,LibraryName,refGenome
Oryzias_latipes,PRJEB2759,SAMEA1317600,ERR110345,4300772,GCF_002234675.1
Oryzias_latipes,PRJEB2759,SAMEA1317593,ERR110346,4300773,GCF_002234675.1
Oryzias_latipes,PRJEB2759,SAMEA1317608,ERR110348,4300775,GCF_002234675.1
Oryzias_latipes,PRJEB2759,SAMEA1317601,ERR110349,4300776,GCF_002234675.1
Oryzias_latipes,PRJEB2759,SAMEA1317615,ERR110352,4300779,GCF_002234675.1
Oryzias_latipes,PRJEB2759,SAMEA1317610,ERR110355,4297858,GCF_002234675.1
Oryzias_latipes,PRJEB2759,SAMEA1317612,ERR110357,4297860,GCF_002234675.1
Oryzias_latipes,PRJEB2759,SAMEA1317616,ERR110358,4297861,GCF_002234675.1
Oryzias_latipes,PRJEB2759,SAMEA1317599,ERR110360,4297866,GCF_002234675.1
Oryzias_latipes,PRJEB2759,SAMEA1317598,ERR110363,4300781,GCF_002234675.1
Oryzias_latipes,PRJEB2759,SAMEA1317596,ERR110364,4300782,GCF_002234675.1
Oryzias_latipes,PRJEB2759,SAMEA1317594,ERR110366,4297869,GCF_002234675.1
Oryzias_latipes,PRJEB2759,SAMEA1317603,ERR110367,4297870,GCF_002234675.1
Oryzias_latipes,PRJEB2759,SAMEA1317605,ERR110361,4297867,GCF_002234675.1
Oryzias_latipes,PRJEB2759,SAMEA1317614,ERR110351,4300778,GCF_002234675.1
Oryzias_latipes,PRJEB2759,SAMEA1317604,ERR110354,4297857,GCF_002234675.1
