BioSample,SampleName1,SampleName2,BioProject,Organism,sex,Submitter_Id
SAMEA1904323,A. calliptera,Indian ocean catchments,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Rovuma_-sc-2013-01-28T12:01:16Z-1530723
SAMEA1904326,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Mbaka_-sc-2013-01-28T12:01:19Z-1530726
SAMEA1904327,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Chizumulu_-sc-2013-01-28T12:01:17Z-1530724
SAMEA1904328,A. calliptera,Indian ocean catchments,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Chilwa_-sc-2013-01-28T12:01:18Z-1530725
SAMEA1920090,A. calliptera,Lake Malawi trios,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Salima___mother_-sc-2013-01-28T12:01:10Z-1530718
SAMEA1920092,A. calliptera,Lake Malawi trios,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera__Salima___father_-sc-2013-01-28T12:01:07Z-1530717
SAMEA2661381,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Chitimba-sc-2016910
SAMEA2661382,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_North_Rukuru-sc-2016911
SAMEA2661383,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Songwe_River-sc-2016912
SAMEA2661384,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_South_Rukuru-sc-2016913
SAMEA2661385,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Enukweni-sc-2016914
SAMEA2661386,A. calliptera,Indian ocean catchments,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Lake_Chidya-sc-2016915
SAMEA2661387,A. calliptera,Indian ocean catchments,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Kitai_Dam-sc-2016916
SAMEA2661389,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Near_Kyela-sc-2016918
SAMEA2661390,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Luwawa-sc-2016919
SAMEA2661391,A. calliptera,Malawi catchment,PRJEB1254,Astatotilapia_calliptera,missing,Astatotilapia_calliptera_Bua-sc-2016920
SAMEA1877404,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Massoko_blue_6-sc-2012-12-14T14:26:21Z-1512688
SAMEA1877436,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Massoko_blue_5-sc-2012-12-14T14:26:19Z-1512687
SAMEA1877511,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Massoko_blue_4-sc-2012-12-14T14:26:17Z-1512686
SAMEA1877425,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Massoko_blue_3-sc-2012-12-14T14:26:16Z-1512685
SAMEA1877494,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Massoko_blue_2-sc-2012-12-14T14:26:12Z-1512681
SAMEA1877464,Massoko benthic,Lake Malawi populations,PRJEB1254,Astatotilapia,missing,Massoko_blue_1-sc-2012-12-14T14:26:09Z-1512680
SAMEA2661333,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__1-sc-2016850
SAMEA2661334,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__2-sc-2016851
SAMEA2661335,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__3-sc-2016852
SAMEA2661336,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__4-sc-2016853
SAMEA2661337,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__5-sc-2016854
SAMEA2661338,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__6-sc-2016855
SAMEA2661339,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__7-sc-2016856
SAMEA2661341,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__9-sc-2016858
SAMEA2661342,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__10-sc-2016859
SAMEA2661343,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__11-sc-2016860
SAMEA2661344,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__12-sc-2016861
SAMEA2661345,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__13-sc-2016862
SAMEA2661346,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__14-sc-2016863
SAMEA2661347,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__15-sc-2016864
SAMEA2661349,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__17-sc-2016866
SAMEA2661350,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__18-sc-2016867
SAMEA2661351,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__19-sc-2016868
SAMEA2661352,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__20-sc-2016869
SAMEA2661353,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__21-sc-2016870
SAMEA2661354,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__22-sc-2016871
SAMEA2661355,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__23-sc-2016872
SAMEA2661357,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__25-sc-2016874
SAMEA2661358,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__26-sc-2016875
SAMEA2661359,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__27-sc-2016876
SAMEA2661362,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__30-sc-2016879
SAMEA2661363,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__31-sc-2016880
SAMEA2661365,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__33-sc-2016882
SAMEA2661366,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__34-sc-2016883
SAMEA2661367,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__35-sc-2016884
SAMEA2661368,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__36-sc-2016885
SAMEA2661369,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__37-sc-2016886
SAMEA2661370,Massoko benthic,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_benthic__38-sc-2016887
SAMEA1877400,Massoko littoral,Malawi catchment,PRJEB1254,Astatotilapia,missing,Massoko_Yellow_1-sc-2012-12-14T14:26:14Z-1512683
SAMEA1877402,Massoko littoral,NA,PRJEB1254,Astatotilapia,missing,Massoko_Yellow_1-sc-2012-12-14T14:26:42Z-1512706
SAMEA1877407,Massoko littoral,NA,PRJEB1254,Astatotilapia,missing,Massoko_Yellow_4-sc-2012-12-14T14:26:28Z-1512694
SAMEA1877442,Massoko littoral,NA,PRJEB1254,Astatotilapia,missing,Massoko_Yellow_3-sc-2012-12-14T14:26:22Z-1512689
SAMEA1877447,Massoko littoral,NA,PRJEB1254,Astatotilapia,missing,Massoko_Yellow_2-sc-2012-12-14T14:26:15Z-1512684
SAMEA1877507,Massoko littoral,NA,PRJEB1254,Astatotilapia,missing,Massoko_Yellow_2-sc-2012-12-14T14:26:43Z-1512707
SAMEA2661297,Massoko littoral,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_littoral__1-sc-2016814
SAMEA2661298,Massoko littoral,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_littoral__2-sc-2016815
SAMEA2661299,Massoko littoral,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_littoral__3-sc-2016816
SAMEA2661300,Massoko littoral,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_littoral__4-sc-2016817
SAMEA2661301,Massoko littoral,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_littoral__5-sc-2016818
SAMEA2661303,Massoko littoral,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_littoral__7-sc-2016820
SAMEA2661304,Massoko littoral,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_littoral__8-sc-2016821
SAMEA2661306,Massoko littoral,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_littoral__10-sc-2016823
SAMEA2661307,Massoko littoral,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_littoral__11-sc-2016824
SAMEA2661308,Massoko littoral,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_littoral__12-sc-2016825
SAMEA2661309,Massoko littoral,NA,PRJEB1254,Astatotilapia,missing,Astatotilapia__Massoko_littoral__13-sc-2016826
