Organism,BioProject,BioSample,Run,LibraryName,refGenome
Parus_major,PRJNA274877,SAMN03333188,SRR1793405,library_3918,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333190,SRR1793407,library_5226,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333191,SRR1793415,library_5236,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333193,SRR1793419,library_5332,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333194,SRR1793420,library_5333,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333195,SRR1793421,library_13924,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333196,SRR1793422,library_13938,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333197,SRR1793423,library_13995,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333198,SRR1793424,library_13996,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333199,SRR1793425,library_11555,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333200,SRR1793427,library_11556,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333201,SRR1793428,library_11557,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333202,SRR1793429,library_11564,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333203,SRR1793430,library_15078,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333204,SRR1793431,library_15081,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333205,SRR1793432,library_15100,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333206,SRR1793433,library_15110,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333207,SRR1793434,library_15111,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333208,SRR1793435,library_17252,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333209,SRR1793436,library_8204,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333210,SRR1793437,library_8236,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333211,SRR1793438,library_10076,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333212,SRR1793439,library_10635,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333214,SRR1793441,library_10637,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333215,SRR1793442,library_10732,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333216,SRR1793443,library_10860,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333217,SRR1793444,library_11929,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333218,SRR1793445,library_11944,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333219,SRR1793447,library_12003,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333189,SRR1793406,library_4000,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333192,SRR1793417,library_5242,GCF_001522545.3
Parus_major,PRJNA274877,SAMN03333213,SRR1793440,library_10636,GCF_001522545.3
Parus_major,PRJNA304164,SAMN04296347,SRR2961328,PMBE-1198-1198-lib2,GCF_001522545.3
Parus_major,PRJNA304164,SAMN04296348,SRR2961671,PMBE-973-973-lib1,GCF_001522545.3
Parus_major,PRJNA304164,SAMN04296348,SRR2961672,PMBE-973-973-lib1,GCF_001522545.3
Parus_major,PRJNA304164,SAMN04296347,SRR2961673,PMBE-1198-1198-lib2,GCF_001522545.3
Parus_major,PRJNA304164,SAMN04296349,SRR2961674,PMBE-477-477-lib1,GCF_001522545.3
Parus_major,PRJNA304164,SAMN04296349,SRR2961675,PMBE-477-477-lib1,GCF_001522545.3
Parus_major,PRJNA304164,SAMN04296350,SRR2961676,PMBE-935-935-lib1,GCF_001522545.3
Parus_major,PRJNA304164,SAMN04296350,SRR2961677,PMBE-935-935-lib1,GCF_001522545.3
Parus_major,PRJNA304164,SAMN04296351,SRR2961678,PMBE-52-52-lib2,GCF_001522545.3
Parus_major,PRJNA304164,SAMN04296352,SRR2961680,PMBE-731-731-lib2,GCF_001522545.3
Parus_major,PRJNA304164,SAMN04296352,SRR2961681,PMBE-731-731-lib2,GCF_001522545.3
Parus_major,PRJNA304164,SAMN04296353,SRR2961684,PMBE-770-770-lib1,GCF_001522545.3
Parus_major,PRJNA304164,SAMN04296353,SRR2961687,PMBE-770-770-lib1,GCF_001522545.3
Parus_major,PRJNA304164,SAMN04296354,SRR2961689,PMBE-317-317-lib1,GCF_001522545.3
Parus_major,PRJNA304164,SAMN04296354,SRR2961690,PMBE-317-317-lib1,GCF_001522545.3
