Organism,BioProject,BioSample,Run,LibraryName,refGenome
Passer_montanus,PRJEB27649,SAMEA4785141,ERR2697525,unspecified,GCA_001700915.1
Passer_montanus,PRJEB27649,SAMEA4785142,ERR2697526,unspecified,GCA_001700915.1
Passer_montanus,PRJEB27649,SAMEA4785143,ERR2697527,unspecified,GCA_001700915.1
Passer_montanus,PRJEB27649,SAMEA4785144,ERR2697528,unspecified,GCA_001700915.1
Passer_montanus,PRJEB27649,SAMEA4785146,ERR2697530,unspecified,GCA_001700915.1
Passer_montanus,PRJEB27649,SAMEA4785149,ERR2697533,unspecified,GCA_001700915.1
Passer_montanus,PRJEB27649,SAMEA4785145,ERR2697529,unspecified,GCA_001700915.1
Passer_montanus,PRJEB27649,SAMEA4785147,ERR2697531,unspecified,GCA_001700915.1
Passer_montanus,PRJEB27649,SAMEA4785148,ERR2697532,unspecified,GCA_001700915.1
Passer_montanus,PRJNA255814,SAMN06619722,SRR5369936,NA,GCA_001700915.1
