Organism,BioProject,BioSample,Run,LibraryName,refGenome
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104152058,ERR2026385,HISEQ:66:C24CPACXX,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104152947,ERR2026730,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104152948,ERR2026731,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104152949,ERR2026732,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104152950,ERR2026733,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104152951,ERR2026734,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104152952,ERR2026735,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104152953,ERR2026736,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104152954,ERR2026737,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104152955,ERR2026738,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104152957,ERR2026814,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104152958,ERR2026815,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104152959,ERR2026816,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104152960,ERR2026817,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104157447,ERR2029743,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104157448,ERR2029744,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104157449,ERR2029745,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104157450,ERR2029746,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104157451,ERR2029747,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104157452,ERR2029748,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104157453,ERR2029749,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104157454,ERR2029750,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104157455,ERR2029751,unspecified,GCA_016584745.1
Phylloscopus_collybita_abietinus,PRJEB21643,SAMEA104157456,ERR2029752,unspecified,GCA_016584745.1
