BioProject,BioSample,Organism,sex,refGenome,refSpecies
PRJEB21643,SAMEA104156767,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
PRJEB21643,SAMEA104156768,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
PRJEB21643,SAMEA104156769,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
PRJEB21643,SAMEA104156770,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
PRJEB21643,SAMEA104156771,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
PRJEB21643,SAMEA104156772,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
PRJEB21643,SAMEA104156773,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
PRJEB21643,SAMEA104156774,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
PRJEB21643,SAMEA104156776,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
PRJEB21643,SAMEA104156775,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
PRJEB21643,SAMEA104157457,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
PRJEB21643,SAMEA104157458,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
PRJEB21643,SAMEA104157459,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
PRJEB21643,SAMEA104157460,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
PRJEB21643,SAMEA104157461,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
PRJEB21643,SAMEA104157462,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
PRJEB21643,SAMEA104157463,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
PRJEB21643,SAMEA104157464,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
PRJEB21643,SAMEA104157465,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
PRJEB21643,SAMEA104157466,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus
