Organism,BioProject,BioSample,Run,LibraryName,refGenome
Poecilia_formosa,PRJNA89109,SAMN03568550,SRR2014292,2893717277,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568563,SRR1997457,2895001301,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568562,SRR1997459,2895001941,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568558,SRR1997464,2894998976,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568568,SRR1997518,2895001303,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568559,SRR1997519,2895001306,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568567,SRR1997521,2894998977,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568563,SRR1997522,2895001301,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568565,SRR1997525,2895001302,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568562,SRR1997527,2895001941,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568558,SRR1997530,2894998976,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568566,SRR1997531,2895001940,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568565,SRR1997532,2895001302,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568566,SRR1997536,2895001940,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568557,SRR1997537,2893717271,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568554,SRR1997775,2893717270,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568551,SRR1997778,2893717868,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568555,SRR1997779,2893717275,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568553,SRR1997780,2893717276,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568556,SRR1997782,2893717269,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568568,SRR1999251,2895001303,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568568,SRR1999282,2895001303,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568562,SRR1999283,2895001941,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568563,SRR1999284,2895001301,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568559,SRR1999285,2895001306,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568558,SRR1999286,2894998976,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568565,SRR1999287,2895001302,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568566,SRR1999289,2895001940,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568567,SRR1999290,2894998977,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568552,SRR1999418,2893717869,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568567,SRR1997523,2894998977,GCF_000485575.1
Poecilia_formosa,PRJNA89109,SAMN03568559,SRR1997456,2895001306,GCF_000485575.1
