BioProject,BioSample,Organism,sex,Ecotype,Locality,Submitter_Id,Country,Continent,Sublocation,refGenome
PRJEB10680,SAMEA3522226,Poecilia_reticulata,male,Introduced,Guanapo,C1,Trinidad and Tobago,North America,Caigual,GCF_000633615.1
PRJEB10680,SAMEA3522227,Poecilia_reticulata,male,Introduced,Guanapo,C12,Trinidad and Tobago,North America,Caigual,GCF_000633615.1
PRJEB10680,SAMEA3522228,Poecilia_reticulata,male,Introduced,Guanapo,C13,Trinidad and Tobago,North America,Caigual,GCF_000633615.1
PRJEB10680,SAMEA3539925,Poecilia_reticulata,male,Introduced,Guanapo,C1_2,Trinidad and Tobago,North America,Caigual,GCF_000633615.1
PRJEB10680,SAMEA3539926,Poecilia_reticulata,male,Introduced,Guanapo,C12_2,Trinidad and Tobago,North America,Caigual,GCF_000633615.1
PRJEB10680,SAMEA3539927,Poecilia_reticulata,male,Introduced,Guanapo,C14,Trinidad and Tobago,North America,Caigual,GCF_000633615.1
PRJEB10680,SAMEA3539928,Poecilia_reticulata,male,Introduced,Guanapo,C15,Trinidad and Tobago,North America,Caigual,GCF_000633615.1
PRJEB10680,SAMEA3539929,Poecilia_reticulata,male,Introduced,Guanapo,C16,Trinidad and Tobago,North America,Caigual,GCF_000633615.1
PRJEB10680,SAMEA3539930,Poecilia_reticulata,male,Introduced,Guanapo,C17,Trinidad and Tobago,North America,Caigual,GCF_000633615.1
PRJEB10680,SAMEA3539931,Poecilia_reticulata,male,Introduced,Guanapo,C4,Trinidad and Tobago,North America,Caigual,GCF_000633615.1
PRJEB10680,SAMEA3539932,Poecilia_reticulata,male,Introduced,Guanapo,C6,Trinidad and Tobago,North America,Caigual,GCF_000633615.1
PRJEB10680,SAMEA3539933,Poecilia_reticulata,male,Introduced,Guanapo,C8,Trinidad and Tobago,North America,Caigual,GCF_000633615.1
PRJEB10680,SAMEA3539934,Poecilia_reticulata,male,Introduced,Guanapo,C9,Trinidad and Tobago,North America,Caigual,GCF_000633615.1
PRJEB10680,SAMEA3539935,Poecilia_reticulata,male,Introduced,Guanapo,LL1,Trinidad and Tobago,North America,Lower Lalaja,GCF_000633615.1
PRJEB10680,SAMEA3539936,Poecilia_reticulata,female,Introduced,Guanapo,LL10,Trinidad and Tobago,North America,Lower Lalaja,GCF_000633615.1
PRJEB10680,SAMEA3539937,Poecilia_reticulata,female,Introduced,Guanapo,LL11,Trinidad and Tobago,North America,Lower Lalaja,GCF_000633615.1
PRJEB10680,SAMEA3539938,Poecilia_reticulata,female,Introduced,Guanapo,LL13,Trinidad and Tobago,North America,Lower Lalaja,GCF_000633615.1
PRJEB10680,SAMEA3539939,Poecilia_reticulata,female,Introduced,Guanapo,LL14,Trinidad and Tobago,North America,Lower Lalaja,GCF_000633615.1
PRJEB10680,SAMEA3539940,Poecilia_reticulata,male,Introduced,Guanapo,LL2,Trinidad and Tobago,North America,Lower Lalaja,GCF_000633615.1
PRJEB10680,SAMEA3539941,Poecilia_reticulata,male,Introduced,Guanapo,LL3,Trinidad and Tobago,North America,Lower Lalaja,GCF_000633615.1
PRJEB10680,SAMEA3539942,Poecilia_reticulata,female,Introduced,Guanapo,LL5,Trinidad and Tobago,North America,Lower Lalaja,GCF_000633615.1
PRJEB10680,SAMEA3539943,Poecilia_reticulata,female,Introduced,Guanapo,LL6,Trinidad and Tobago,North America,Lower Lalaja,GCF_000633615.1
PRJEB10680,SAMEA3539944,Poecilia_reticulata,female,Introduced,Guanapo,LL7,Trinidad and Tobago,North America,Lower Lalaja,GCF_000633615.1
PRJEB10680,SAMEA3539945,Poecilia_reticulata,female,Introduced,Guanapo,LL9,Trinidad and Tobago,North America,Lower Lalaja,GCF_000633615.1
PRJEB10680,SAMEA3539946,Poecilia_reticulata,male,Introduced,Guanapo,T10,Trinidad and Tobago,North America,Taylor,GCF_000633615.1
PRJEB10680,SAMEA3539947,Poecilia_reticulata,female,Introduced,Guanapo,T13,Trinidad and Tobago,North America,Taylor,GCF_000633615.1
PRJEB10680,SAMEA3539948,Poecilia_reticulata,female,Introduced,Guanapo,T14,Trinidad and Tobago,North America,Taylor,GCF_000633615.1
PRJEB10680,SAMEA3539949,Poecilia_reticulata,female,Introduced,Guanapo,T15,Trinidad and Tobago,North America,Taylor,GCF_000633615.1
PRJEB10680,SAMEA3539951,Poecilia_reticulata,male,Introduced,Guanapo,T2,Trinidad and Tobago,North America,Taylor,GCF_000633615.1
PRJEB10680,SAMEA3539952,Poecilia_reticulata,male,Introduced,Guanapo,T3,Trinidad and Tobago,North America,Taylor,GCF_000633615.1
PRJEB10680,SAMEA3539953,Poecilia_reticulata,male,Introduced,Guanapo,T4,Trinidad and Tobago,North America,Taylor,GCF_000633615.1
PRJEB10680,SAMEA3539954,Poecilia_reticulata,male,Introduced,Guanapo,T5,Trinidad and Tobago,North America,Taylor,GCF_000633615.1
PRJEB10680,SAMEA3539955,Poecilia_reticulata,male,Introduced,Guanapo,T6,Trinidad and Tobago,North America,Taylor,GCF_000633615.1
PRJEB10680,SAMEA3539956,Poecilia_reticulata,male,Introduced,Guanapo,T7,Trinidad and Tobago,North America,Taylor,GCF_000633615.1
PRJEB10680,SAMEA3539958,Poecilia_reticulata,male,Introduced,Guanapo,UL1,Trinidad and Tobago,North America,Upper Lalaja,GCF_000633615.1
PRJEB10680,SAMEA3539959,Poecilia_reticulata,male,Introduced,Guanapo,UL10,Trinidad and Tobago,North America,Upper Lalaja,GCF_000633615.1
