Organism,BioProject,BioSample,Run,LibraryName,refGenome
Pungitius_pungitius,PRJDB2321,SAMD00010024,DRR013346,EGK01_01P06_L2,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469364,SRR7411976,Ppun_2_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469374,SRR7411977,Ppun_19_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469358,SRR7411978,Ppun_25_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469357,SRR7411979,Ppun_24_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469356,SRR7411980,Ppun_23_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469376,SRR7411981,Ppun_22_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469359,SRR7411985,Ppun_26_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469373,SRR7411990,Ppun_18_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469354,SRR7411991,Ppun_17_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469371,SRR7411994,Ppun_10_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469363,SRR7411995,Ppun_1_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469349,SRR7411996,Ppun_12_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469372,SRR7411997,Ppun_11_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469351,SRR7411998,Ppun_14_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469350,SRR7411999,Ppun_13_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469352,SRR7412001,Ppun_15_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469353,SRR7412003,Ppun_16_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469369,SRR7412005,Ppun_8_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469370,SRR7412006,Ppun_9_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469365,SRR7412009,Ppun_3_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469362,SRR7412010,Ppun_30_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469361,SRR7412011,Ppun_28_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469377,SRR7412012,Ppun_29_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469367,SRR7412013,Ppun_6_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469368,SRR7412014,Ppun_7_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469366,SRR7412015,Ppun_4_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469348,SRR7412016,Ppun_5_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469375,SRR7411975,Ppun_20_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469355,SRR7411974,Ppun_21_lib,GCF_902500615.1
Pungitius_pungitius,PRJNA477377,SAMN09469360,SRR7411984,Ppun_27_lib,GCF_902500615.1
