BioProject,BioSample,Organism,sex,Submitter_Id,Continent,Country,Locality,refGenome
PRJDB2321,SAMD00010024,Pungitius_pungitius,missing,DRS012041,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469364,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_2,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469374,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_19,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469358,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_25,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469357,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_24,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469356,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_23,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469376,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_22,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469359,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_26,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469373,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_18,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469354,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_17,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469371,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_10,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469363,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_1,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469349,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_12,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469372,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_11,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469351,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_14,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469350,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_13,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469352,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_15,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469353,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_16,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469369,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_8,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469370,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_9,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469365,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_3,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469362,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_30,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469361,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_28,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469377,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_29,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469367,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_6,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469368,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_7,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469366,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_4,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469348,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_5,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469375,Pungitius_pungitius,male,2017_Apr_Biwa_Ppun_20,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469355,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_21,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
PRJNA477377,SAMN09469360,Pungitius_pungitius,female,2017_Apr_Biwa_Ppun_27,Asia,Japan,Biwase_tide_pool,GCF_902500615.1
