Organism,BioProject,BioSample,Run,LibraryName,refGenome
Pungitius_tymensis,PRJNA477377,SAMN09469404,SRR7411955,Ptym_9_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469424,SRR7411956,Ptym_24_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469413,SRR7411957,Ptym_3_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469425,SRR7411959,Ptym_25_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469401,SRR7411960,Ptym_5_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469414,SRR7411961,Ptym_8_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469409,SRR7411964,Ptym_22_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469402,SRR7411965,Ptym_6_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469418,SRR7411982,Ptym_14_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469417,SRR7411983,Ptym_13_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469415,SRR7411986,Ptym_10_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469411,SRR7411987,Ptym_1_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469403,SRR7411993,Ptym_7_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469406,SRR7412000,Ptym_15_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469419,SRR7412002,Ptym_16_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469416,SRR7412004,Ptym_12_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469423,SRR7412007,Ptym_23_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469405,SRR7412008,Ptym_11_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469421,SRR7412019,Ptym_20_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469422,SRR7412020,Ptym_21_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469408,SRR7412021,Ptym_19_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469412,SRR7412022,Ptym_2_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469407,SRR7412023,Ptym_17_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469420,SRR7412024,Ptym_18_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469400,SRR7411958,Ptym_4_lib,GCF_902500615.1
Pungitius_tymensis,PRJNA477377,SAMN09469410,SRR7411992,Ptym_26_lib,GCF_902500615.1
