BioProject,BioSample,Organism,sex,Country,Continent,drop,Locality,refGenome
PRJNA406821,SAMN07637272,Strix_occidentalis_caurina,female,USA,North America,USA,Hoopa_Valley_Indian_Reservation_Humboldt_County_California,GCA_002372975.1
PRJNA406821,SAMN07637289,Strix_occidentalis_caurina,female,USA,North America,USA,885_Bridgeway_Sausalito_Marin_County_California,GCA_002372975.1
PRJNA406821,SAMN07637288,Strix_occidentalis_caurina,male,USA,North America,USA,Riverbottom_Road_T17N_R18E_Section_14_Ellensburg_Kittitas_County_Washington,GCA_002372975.1
PRJNA406821,SAMN07637283,Strix_occidentalis_caurina,not determined,USA,North America,USA,Quentin_Creek_T15S_R5E_Section_4_Linn_County_Oregon,GCA_002372975.1
PRJNA406821,SAMN07637258,Strix_occidentalis_caurina,female,USA,North America,USA,Road_to_Lake_Berryessa_Silverado_Trail_Road_Napa_County_California,GCA_002372975.1
PRJNA406821,SAMN07637284,Strix_occidentalis_caurina,male,USA,North America,USA,UTM_10T_498262_4745180_T31S_R3W_Section_23_Douglas_County_Oregon,GCA_002372975.1
PRJNA406821,SAMN07637286,Strix_occidentalis_caurina,male,USA,North America,USA,UTM_10T_581318_4890110_White_Branch_Creek_4_mi_SE_Belknap_Springs_Lane_County_Oregon,GCA_002372975.1
PRJNA406821,SAMN07637274,Strix_occidentalis_caurina,female,USA,North America,USA,Deadwood_Lane_County_Oregon,GCA_002372975.1
PRJNA406821,SAMN07637273,Strix_occidentalis_caurina,male,USA,North America,USA,Hoopa_Valley_Indian_Reservation_Humboldt_County_California,GCA_002372975.1
PRJNA406821,SAMN07637287,Strix_occidentalis_caurina,female,USA,North America,USA,Quentin_Creek_UTM_10T_562274_7903728_T15S_R5E_Section_4_Linn_County_Oregon,GCA_002372975.1
