Organism,BioProject,BioSample,Run,LibraryName,refGenome
Strix_varia,PRJNA406821,SAMN07637313,SRR6032894,MEF432_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637313,SRR6032895,MEF432_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637314,SRR6032896,MEF435_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637314,SRR6032897,MEF435_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637317,SRR6032898,MK968_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637317,SRR6032899,MK968_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637261,SRR6032900,Hoopa20005_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637262,SRR6032901,Hoopa20011_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637257,SRR6032902,ASG017_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637257,SRR6032904,ASG017_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637257,SRR6032905,ASG017_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637261,SRR6032906,Hoopa20005_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637261,SRR6032907,Hoopa20005_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637271,SRR6032910,MK998_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637271,SRR6032912,MK998_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637271,SRR6032913,MK998_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637318,SRR6032914,MK987_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637318,SRR6032915,MK987_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637317,SRR6032916,MK968_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637318,SRR6032917,MK987_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637266,SRR6032921,Hoopa20019_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637266,SRR6032922,Hoopa20019_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637266,SRR6032923,Hoopa20019_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637265,SRR6032924,Hoopa20018_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637267,SRR6032925,LCW405_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637307,SRR6032926,JPD386_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637307,SRR6032927,JPD386_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637307,SRR6032928,JPD386_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637267,SRR6032929,LCW405_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637267,SRR6032930,LCW405_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637285,SRR6032931,UWBM91382_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637306,SRR6032933,JMR920_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637316,SRR6032934,MK1020_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637279,SRR6032937,UWBM76815_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637270,SRR6032939,MK994_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637312,SRR6032941,MEF404_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637313,SRR6032942,MEF432_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637269,SRR6032943,LCW491_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637269,SRR6032944,LCW491_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637312,SRR6032945,MEF404_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637312,SRR6032946,MEF404_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637268,SRR6032947,LCW443_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637268,SRR6032948,LCW443_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637268,SRR6032949,LCW443_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637269,SRR6032950,LCW491_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637294,SRR6032957,ASG007_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637295,SRR6032960,ASG037_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637265,SRR6032961,Hoopa20018_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637265,SRR6032962,Hoopa20018_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637263,SRR6032963,Hoopa20014_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637263,SRR6032964,Hoopa20014_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637262,SRR6032965,Hoopa20011_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637262,SRR6032966,Hoopa20011_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637264,SRR6032967,Hoopa20017_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637264,SRR6032968,Hoopa20017_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637263,SRR6032969,Hoopa20014_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637264,SRR6032970,Hoopa20017_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637282,SRR6032971,UWBM79141_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637281,SRR6032972,UWBM79049_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637282,SRR6032973,UWBM79141_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637282,SRR6032974,UWBM79141_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637277,SRR6032981,UWBM67015_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637276,SRR6032982,UWBM65055_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637276,SRR6032983,UWBM65055_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637276,SRR6032984,UWBM65055_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637290,SRR6032992,ZRH602_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637291,SRR6032995,ZRH604_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637291,SRR6032996,ZRH604_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637290,SRR6032997,ZRH602_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637290,SRR6032998,ZRH602_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637291,SRR6032999,ZRH604_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637281,SRR6033001,UWBM79049_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637281,SRR6033002,UWBM79049_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637277,SRR6033003,UWBM67015_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637277,SRR6033004,UWBM67015_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637278,SRR6033005,UWBM74078_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637278,SRR6033006,UWBM74078_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637278,SRR6033007,UWBM74078_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637280,SRR6033008,UWBM79007_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637280,SRR6033009,UWBM79007_run1_lane2,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637280,SRR6033010,UWBM79007_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637315,SRR6033011,MK1012_run1_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637314,SRR6033012,MEF435_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637315,SRR6033013,MK1012_run2_lane1,GCA_002372975.1
Strix_varia,PRJNA406821,SAMN07637315,SRR6033014,MK1012_run1_lane2,GCA_002372975.1
