BioProject,BioSample,Organism,sex,Submitter_Id,Country,Continent,Locality,lat_lon,Population,refGenome,refSpecies
PRJNA354496,SAMN06046576,Symphodus_melops,missing,NH64,Norway,Europe,Norway,60.37 N 6.14 E,Western Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046549,Symphodus_melops,missing,ARD18,United Kingdom,Europe,United Kingdom: Scotland,56.76 N 5.88 W,Scotland,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046550,Symphodus_melops,missing,ARD20,United Kingdom,Europe,United Kingdom: Scotland,56.76 N 5.88 W,Scotland,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046604,Symphodus_melops,missing,TV74,Norway,Europe,Norway,58.62 N 8.93 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046574,Symphodus_melops,missing,NH61,Norway,Europe,Norway,60.37 N 6.14 E,Western Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046559,Symphodus_melops,missing,EG25,Norway,Europe,Norway,58.45 N 5.99 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046590,Symphodus_melops,missing,ST42,Norway,Europe,Norway,58.96 N 5.73 E,Western Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046585,Symphodus_melops,missing,SM115,Norway,Europe,Norway,63.46 N 7.69 E,Western Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046557,Symphodus_melops,missing,EG23,Norway,Europe,Norway,58.45 N 5.99 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046566,Symphodus_melops,missing,GF04,Sweden,Europe,Sweden,58.34 N 11.56 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046560,Symphodus_melops,missing,EG26,Norway,Europe,Norway,58.45 N 5.99 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046548,Symphodus_melops,missing,ARD15,United Kingdom,Europe,United Kingdom: Scotland,56.76 N 5.88 W,Scotland,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046582,Symphodus_melops,missing,SM112,Norway,Europe,Norway,63.46 N 7.69 E,Western Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046602,Symphodus_melops,missing,TV70,Norway,Europe,Norway,58.62 N 8.93 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046571,Symphodus_melops,missing,GF38,Sweden,Europe,Sweden,58.34 N 11.56 E,Southern Norway,GCA_002819105.1,Symphodus_melops
PRJNA354496,SAMN06046554,Symphodus_melops,missing,ARD8,United Kingdom,Europe,United Kingdom: Scotland,56.76 N 5.88 W,Scotland,GCA_002819105.1,Symphodus_melops
