BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMEA3532857,library_SAMEA3532857,GCF_008822105.2,ERR1013161,Taeniopygia_guttata,PRJEB10586
SAMEA3532858,library_SAMEA3532858,GCF_008822105.2,ERR1013162,Taeniopygia_guttata,PRJEB10586
SAMEA3532859,library_SAMEA3532859,GCF_008822105.2,ERR1013163,Taeniopygia_guttata,PRJEB10586
SAMEA3532860,library_SAMEA3532860,GCF_008822105.2,ERR1013164,Taeniopygia_guttata,PRJEB10586
SAMEA3532861,library_SAMEA3532861,GCF_008822105.2,ERR1013165,Taeniopygia_guttata,PRJEB10586
SAMEA3532862,library_SAMEA3532862,GCF_008822105.2,ERR1013166,Taeniopygia_guttata,PRJEB10586
SAMEA3532863,library_SAMEA3532863,GCF_008822105.2,ERR1013167,Taeniopygia_guttata,PRJEB10586
SAMEA3532864,library_SAMEA3532864,GCF_008822105.2,ERR1013168,Taeniopygia_guttata,PRJEB10586
SAMEA3532865,library_SAMEA3532865,GCF_008822105.2,ERR1013169,Taeniopygia_guttata,PRJEB10586
SAMEA3532866,library_SAMEA3532866,GCF_008822105.2,ERR1013170,Taeniopygia_guttata,PRJEB10586
SAMEA3532867,library_SAMEA3532867,GCF_008822105.2,ERR1013171,Taeniopygia_guttata,PRJEB10586
SAMEA3532868,library_SAMEA3532868,GCF_008822105.2,ERR1013172,Taeniopygia_guttata,PRJEB10586
SAMEA3532869,library_SAMEA3532869,GCF_008822105.2,ERR1013173,Taeniopygia_guttata,PRJEB10586
SAMEA3532870,library_SAMEA3532870,GCF_008822105.2,ERR1013174,Taeniopygia_guttata,PRJEB10586
SAMEA3532871,library_SAMEA3532871,GCF_008822105.2,ERR1013175,Taeniopygia_guttata,PRJEB10586
SAMEA3532872,library_SAMEA3532872,GCF_008822105.2,ERR1013176,Taeniopygia_guttata,PRJEB10586
SAMEA3532873,library_SAMEA3532873,GCF_008822105.2,ERR1013177,Taeniopygia_guttata,PRJEB10586
SAMEA3532874,library_SAMEA3532874,GCF_008822105.2,ERR1013178,Taeniopygia_guttata,PRJEB10586
SAMEA3532875,library_SAMEA3532875,GCF_008822105.2,ERR1013179,Taeniopygia_guttata,PRJEB10586
