BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN10928557,N03,GCF_901000725.2,SRR8585987,Takifugu_alboplumbeus,PRJNA522329
SAMN10928556,N02,GCF_901000725.2,SRR8585988,Takifugu_alboplumbeus,PRJNA522329
SAMN10928559,N07,GCF_901000725.2,SRR8585989,Takifugu_alboplumbeus,PRJNA522329
SAMN10928558,N04,GCF_901000725.2,SRR8585990,Takifugu_alboplumbeus,PRJNA522329
SAMN10928570,N29,GCF_901000725.2,SRR8586046,Takifugu_alboplumbeus,PRJNA522329
SAMN10928564,N17,GCF_901000725.2,SRR8586051,Takifugu_alboplumbeus,PRJNA522329
SAMN10928565,N20,GCF_901000725.2,SRR8586052,Takifugu_alboplumbeus,PRJNA522329
SAMN10928566,N21,GCF_901000725.2,SRR8586053,Takifugu_alboplumbeus,PRJNA522329
SAMN10928567,N22,GCF_901000725.2,SRR8586054,Takifugu_alboplumbeus,PRJNA522329
SAMN10928560,N08,GCF_901000725.2,SRR8586055,Takifugu_alboplumbeus,PRJNA522329
SAMN10928561,N09,GCF_901000725.2,SRR8586056,Takifugu_alboplumbeus,PRJNA522329
SAMN10928563,N15,GCF_901000725.2,SRR8586058,Takifugu_alboplumbeus,PRJNA522329
SAMN10928568,N23,GCF_901000725.2,SRR8586059,Takifugu_alboplumbeus,PRJNA522329
SAMN10928569,N24,GCF_901000725.2,SRR8586060,Takifugu_alboplumbeus,PRJNA522329
SAMN10928562,N13,GCF_901000725.2,SRR8586057,Takifugu_alboplumbeus,PRJNA522329
