BioProject,BioSample,Organism,sex,Strain,refGenome
PRJNA522329,SAMN10928557,Takifugu_alboplumbeus,unknown,N03,GCA_016584745.1
PRJNA522329,SAMN10928556,Takifugu_alboplumbeus,unknown,N02,GCA_016584745.1
PRJNA522329,SAMN10928559,Takifugu_alboplumbeus,unknown,N07,GCA_016584745.1
PRJNA522329,SAMN10928558,Takifugu_alboplumbeus,unknown,N04,GCA_016584745.1
PRJNA522329,SAMN10928570,Takifugu_alboplumbeus,unknown,N29,GCA_016584745.1
PRJNA522329,SAMN10928564,Takifugu_alboplumbeus,unknown,N17,GCA_016584745.1
PRJNA522329,SAMN10928565,Takifugu_alboplumbeus,unknown,N20,GCA_016584745.1
PRJNA522329,SAMN10928566,Takifugu_alboplumbeus,unknown,N21,GCA_016584745.1
PRJNA522329,SAMN10928567,Takifugu_alboplumbeus,unknown,N22,GCA_016584745.1
PRJNA522329,SAMN10928560,Takifugu_alboplumbeus,unknown,N08,GCA_016584745.1
PRJNA522329,SAMN10928561,Takifugu_alboplumbeus,unknown,N09,GCA_016584745.1
PRJNA522329,SAMN10928563,Takifugu_alboplumbeus,unknown,N15,GCA_016584745.1
PRJNA522329,SAMN10928568,Takifugu_alboplumbeus,unknown,N23,GCA_016584745.1
PRJNA522329,SAMN10928569,Takifugu_alboplumbeus,unknown,N24,GCA_016584745.1
PRJNA522329,SAMN10928562,Takifugu_alboplumbeus,unknown,N13,GCA_016584745.1
