Organism,BioProject,BioSample,Run,LibraryName,refGenome
Takifugu_obscurus,PRJNA522329,SAMN10928600,SRR8586011,OO40,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928599,SRR8586021,OO39,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928598,SRR8586022,OO38,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928595,SRR8586023,OO34,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928594,SRR8586024,OO33,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928597,SRR8586025,OO37,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928596,SRR8586026,OO36,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928591,SRR8586027,OO28,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928593,SRR8586029,OO32,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928592,SRR8586030,OO30,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928588,SRR8586031,OO25,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928589,SRR8586032,OO26,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928586,SRR8586033,OO23,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928587,SRR8586034,OO24,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928584,SRR8586035,OO21,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928585,SRR8586036,OO22,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928582,SRR8586037,OO19,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928583,SRR8586038,OO20,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928580,SRR8586039,OO17,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928581,SRR8586040,OO18,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928579,SRR8586041,OO16,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928578,SRR8586042,OO15,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928573,SRR8586043,OO08,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928572,SRR8586044,OO07,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928571,SRR8586045,OO06,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928577,SRR8586047,OO14,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928576,SRR8586048,OO12,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928575,SRR8586049,OO10,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928574,SRR8586050,OO09,GCF_901000725.2
Takifugu_obscurus,PRJNA522329,SAMN10928590,SRR8586028,OO27,GCF_901000725.2
