BioProject,BioSample,Organism,sex,Strain,refGenome
PRJNA522329,SAMN10928600,Takifugu_obscurus,unknown,OO40,GCA_016584745.1
PRJNA522329,SAMN10928599,Takifugu_obscurus,unknown,OO39,GCA_016584745.1
PRJNA522329,SAMN10928598,Takifugu_obscurus,unknown,OO38,GCA_016584745.1
PRJNA522329,SAMN10928595,Takifugu_obscurus,unknown,OO34,GCA_016584745.1
PRJNA522329,SAMN10928594,Takifugu_obscurus,unknown,OO33,GCA_016584745.1
PRJNA522329,SAMN10928597,Takifugu_obscurus,unknown,OO37,GCA_016584745.1
PRJNA522329,SAMN10928596,Takifugu_obscurus,unknown,OO36,GCA_016584745.1
PRJNA522329,SAMN10928591,Takifugu_obscurus,unknown,OO28,GCA_016584745.1
PRJNA522329,SAMN10928593,Takifugu_obscurus,unknown,OO32,GCA_016584745.1
PRJNA522329,SAMN10928592,Takifugu_obscurus,unknown,OO30,GCA_016584745.1
PRJNA522329,SAMN10928588,Takifugu_obscurus,unknown,OO25,GCA_016584745.1
PRJNA522329,SAMN10928589,Takifugu_obscurus,unknown,OO26,GCA_016584745.1
PRJNA522329,SAMN10928586,Takifugu_obscurus,unknown,OO23,GCA_016584745.1
PRJNA522329,SAMN10928587,Takifugu_obscurus,unknown,OO24,GCA_016584745.1
PRJNA522329,SAMN10928584,Takifugu_obscurus,unknown,OO21,GCA_016584745.1
PRJNA522329,SAMN10928585,Takifugu_obscurus,unknown,OO22,GCA_016584745.1
PRJNA522329,SAMN10928582,Takifugu_obscurus,unknown,OO19,GCA_016584745.1
PRJNA522329,SAMN10928583,Takifugu_obscurus,unknown,OO20,GCA_016584745.1
PRJNA522329,SAMN10928580,Takifugu_obscurus,unknown,OO17,GCA_016584745.1
PRJNA522329,SAMN10928581,Takifugu_obscurus,unknown,OO18,GCA_016584745.1
PRJNA522329,SAMN10928579,Takifugu_obscurus,unknown,OO16,GCA_016584745.1
PRJNA522329,SAMN10928578,Takifugu_obscurus,unknown,OO15,GCA_016584745.1
PRJNA522329,SAMN10928573,Takifugu_obscurus,unknown,OO08,GCA_016584745.1
PRJNA522329,SAMN10928572,Takifugu_obscurus,unknown,OO07,GCA_016584745.1
PRJNA522329,SAMN10928571,Takifugu_obscurus,unknown,OO06,GCA_016584745.1
PRJNA522329,SAMN10928577,Takifugu_obscurus,unknown,OO14,GCA_016584745.1
PRJNA522329,SAMN10928576,Takifugu_obscurus,unknown,OO12,GCA_016584745.1
PRJNA522329,SAMN10928575,Takifugu_obscurus,unknown,OO10,GCA_016584745.1
PRJNA522329,SAMN10928574,Takifugu_obscurus,unknown,OO09,GCA_016584745.1
PRJNA522329,SAMN10928590,Takifugu_obscurus,unknown,OO27,GCA_016584745.1
