Organism	BioProject	Pub
Amphilophus citrinellus	PRJEB38173	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7759464/
Anas platyrhynchos	PRJNA450892	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6050300/
Anguilla anguilla	PRJNA668259	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7848574/
Anolis carolinensis	PRJNA533001	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681179/
Astatotilapia calliptera	PRJEB1254	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4700518/
Astyanax mexicanus	PRJNA260715	https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.14877
Athene cunicularia	PRJNA431202	http://rspb.royalsocietypublishing.org/content/285/1878/20180206?cpetoc
Bambusicola thoracious	PRJNA396570	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5941490/
Chaenogobius annularis	PRJDB7125	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7898790/
Chloebia gouldiae	PRJNA515277	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6478913/
Clupea harengus	PRJNA356817	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5524536/
Clupea harengus	PRJNA642736	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7738190/
Clupea harengus	PRJNA338612	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5524536/
Clupea harengus	PRJNA338612	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7738190/
Clupea pallasii	PRJNA338612	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5410801/
Coilia nasus	PRJNA422339	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6939831/
Corus corone corone	PRJNA192205	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/
Corus corone corone	PRJNA192205	https://www.ncbi.nlm.nih.gov/pubmed/24948738
Corvus brachyrhynchos	PRJEB9057	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/
Corvus brachyrhynchos	PRJEB9057	https://www.ncbi.nlm.nih.gov/pubmed/24948738
Corvus brachyrhynchos	PRJNA192205	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/
Corvus brachyrhynchos	PRJNA192205	https://www.ncbi.nlm.nih.gov/pubmed/24948738
Corvus cornix	PRJEB9057	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/
Corvus cornix	PRJEB9057	https://www.ncbi.nlm.nih.gov/pubmed/24948738
Corvus cornix	PRJNA192205	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/
Corvus cornix	PRJNA192205	https://www.ncbi.nlm.nih.gov/pubmed/24948738
Corvus dauuricus	PRJEB9057	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/
Corvus frugilegus	PRJEB9057	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/
Corvus frugilegus	PRJEB9057	https://www.ncbi.nlm.nih.gov/pubmed/24948738
Corvus frugilegus	PRJNA192205	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/
Corvus frugilegus	PRJNA192205	https://www.ncbi.nlm.nih.gov/pubmed/24948738
Corvus monedula	PRJEB9057	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/
Corvus monedula	PRJEB9057	https://www.ncbi.nlm.nih.gov/pubmed/24948738
Corvus monedula	PRJNA192205	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/
Corvus monedula	PRJNA192205	https://www.ncbi.nlm.nih.gov/pubmed/24948738
Corvus pectoralis	PRJEB9057	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095515/
Coryphaenoides rupestris	PRJNA430094	https://pubmed.ncbi.nlm.nih.gov/29507380/
Coturnix japonica	PRJNA339911	https://academic.oup.com/gigascience/article/7/5/giy049/4995262
Cyanistes caeruleus	PRJNA284903	https://www.ncbi.nlm.nih.gov/pubmed/26220359
Cyprinodon variegatus	PRJNA690558	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-017-3810-7
Cyprinodon variegatus	PRJNA89149	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-017-3810-7
Cyprinus carpio	PRJNA510861	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6789147/
Dicentrarchus labrax	PRJNA472842	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6023918/
Dicentrarchus labrax	PRJNA628166	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7293100/
Egretta garzetta	PRJNA309350	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-014-0557-1
Eopsaltria australis	PRJNA476023	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6736294/
Falco peregrinus	PRJNA686418	https://www.nature.com/articles/s41586-021-03265-0
Ficedula albicollis	PRJEB11502	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617962/
Ficedula albicollis	PRJEB12616	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617962/
Ficedula albicollis	PRJEB7359	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617962/
