BioProject	Organism
PRJEB38173	Amphilophus citrinellus
PRJNA450892	Anas platyrhynchos
PRJNA668259	Anguilla anguilla
PRJNA533001	Anolis carolinensis
PRJEB1254	Astatotilapia calliptera
PRJNA260715	Astyanax mexicanus
PRJNA431202	Athene cunicularia
PRJNA396570	Bambusicola thoracious
PRJDB7125	Chaenogobius annularis
PRJNA515277	Chloebia gouldiae
PRJNA356817	Clupea harengus
PRJNA642736	Clupea harengus
PRJNA338612	Clupea harengus
PRJNA338612	Clupea pallasii
PRJNA422339	Coilia nasus
PRJNA192205	Corus corone corone
PRJNA192205	Corvus brachyrhynchos
PRJNA192205	Corvus cornix cornix
PRJNA192205	Corvus frugilegus
PRJNA192205	Corvus monedula
PRJNA430094	Coryphaenoides rupestris
PRJNA339911	Coturnix japonica
PRJNA284903	Cyanistes caeruleus
PRJNA690558	Cyprinodon variegatus
PRJNA89149	Cyprinodon variegatus
PRJNA510861	Cyprinus carpio
PRJNA472842	Dicentrarchus labrax
PRJNA628166	Dicentrarchus labrax
PRJNA309350	Egretta garzetta
PRJNA476023	Eopsaltria australis
PRJNA686418	Falco peregrinus
PRJEB11502	Ficedula albicollis
PRJEB12616	Ficedula albicollis
PRJEB7359	Ficedula albicollis
PRJEB7359	Ficedula hyperythra
PRJEB7359	Ficedula hypoleuca
PRJEB7359	Ficedula parva
PRJEB7359	Ficedula speculigera
PRJNA323589	Fundulus heteroclitus
PRJDB4092	Gallus varius
PRJNA386810	Gambusia affinis
PRJEB15181	Gasterosteus aculeatus
PRJDB2374	Gasterosteus wheatlandi
PRJNA485198	Haplochromis burtoni
PRJNA60363	Haplochromis burtoni
PRJNA612146	Hippocampus comes
PRJNA612146	Hippocampus kuda
PRJEB27858	Hypoplectrus puella
PRJNA629649	Larimichthys crocea
PRJNA298374	Leuciscus waleckii
PRJEB15289	Maylandia zebra
PRJNA308878	Nipponia nippon
PRJNA59571	Oreochromis niloticus
PRJDB1657	Oreochromis niloticus
PRJEB2759	Oryzias latipes
PRJDB1657	Oreochromis mossambicus
PRJNA274877	Parus major
PRJNA304164	Parus major
PRJEB27649	Passer domesticus
PRJNA255814	Passer domesticus
PRJNA255814	Passer hispaniolensis
PRJNA255814	Passer italiae
PRJNA255814	Passer montanus
PRJEB22939	Passer italiae
PRJNA634228	Passer montanus
PRJNA212901	Pelecanus crispus
PRJEB21643	Phylloscopus collybita abietinus
PRJEB21643	Phylloscopus collybita tristis
PRJNA319295	Phylloscopus trochilus acredula
PRJNA319295	Phylloscopus trochilus trochilus
PRJNA227290	Pimephales promelas
PRJNA622646	Plectropomus leopardus
PRJNA515813	Podarcis muralis
PRJNA89109	Poecilia formosa
PRJNA196862	Poecilia latipinna
PRJEB10680	Poecilia reticulata
PRJEB22221	Poecilia reticulata
PRJEB36450	Poecilia reticulata
PRJEB39998	Poecilia reticulata
PRJNA238429	Poecilia reticulata
PRJNA353986	Poecilia reticulata
PRJEB10586	Poephila acuticauda
PRJDB2321	Pungitius pungitius
PRJNA477377	Pungitius pungitius
PRJNA325157	Setophaga coronata coronata
PRJNA338167	Strix occidentalis caurina
PRJNA616371	Sylvia atricapilla
PRJNA354496	Symphodus melops
PRJEB10586	Taeniopygia bichenovii
PRJEB10586	Taeniopygia guttata
PRJNA522329	Takifugu bimaculatus
PRJNA522329	Takifugu rubripes
PRJEB14402	Thunnus albacares
PRJNA212909	Tyto alba
PRJNA325126	Vermivora chrysoptera
PRJNA325126	Vermivora cyanoptera
