BioProject,BioSample,Submitter_Id,Organism,sex,Country,Continent,Location,lat_lon,Population,State,refGenome,refSpecies
PRJNA476023,SAMN09425179,EYR054,Eopsaltria_australis,female,Australia,Oceania,Australia:Victoria,36.793 S 143.412 E,South,VIC,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10581952,EYR056,Eopsaltria_australis,female,Australia,Oceania,Australia:Victoria,36.793 S 143.412 E,South,VIC,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10592523,NSW016,Eopsaltria_australis,female,Australia,Oceania,Australia:New South Wales,33.328 S 148.975 E,North,NSW,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10592522,ANWC-B49226,Eopsaltria_australis,female,Australia,Oceania,Australia:New South Wales,32.97 S 148.42 E,North,NSW,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10592520,ANWC-B43452,Eopsaltria_australis,female,Australia,Oceania,Australia:Queensland,24.41 S 151.04 E,North,QLD,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10592519,ANWC-B20524,Eopsaltria_australis,female,Australia,Oceania,Australia:Queensland,23.82 S 149.07 E,North,QLD,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10592518,026-37158,Eopsaltria_australis,female,Australia,Oceania,Australia:Victoria,37.027 S 143.774 E,South,VIC,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10592517,026-30490,Eopsaltria_australis,female,Australia,Oceania,Australia:Victoria,36.97 S 143.733 E,South,VIC,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10592516,024-96456,Eopsaltria_australis,female,Australia,Oceania,Australia:Victoria,36.984 S 143.737 E,South,VIC,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10592515,026-37174,Eopsaltria_australis,female,Australia,Oceania,Australia:Victoria,36.977 S 143.736 E,South,VIC,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10592514,026-37152,Eopsaltria_australis,female,Australia,Oceania,Australia:Victoria,37 S 143.75 E,South,VIC,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10592528,026-30495,Eopsaltria_australis,male,Australia,Oceania,Australia:Victoria,37.027 S 143.774 E,South,VIC,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10592531,NSW041,Eopsaltria_australis,male,Australia,Oceania,Australia:New South Wales,33.27 S 148.59 E,North,NSW,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10592525,026-63069,Eopsaltria_australis,male,Australia,Oceania,Australia:Victoria,36.982 S 143.734 E,South,VIC,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10592524,024-96467,Eopsaltria_australis,male,Australia,Oceania,Australia:Victoria,36.98 S 143.74 E,South,VIC,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10592527,027-09500,Eopsaltria_australis,male,Australia,Oceania,Australia:Victoria,36.975 S 143.736 E,South,VIC,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10592526,026-37169,Eopsaltria_australis,male,Australia,Oceania,Australia:Victoria,36.981 S 143.737 E,South,VIC,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10592532,NSW043,Eopsaltria_australis,male,Australia,Oceania,Australia:New South Wales,33.27 S 148.59 E,North,NSW,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10592529,ANWC-B43508,Eopsaltria_australis,male,Australia,Oceania,Australia:Queensland,22.81 S 150.6 E,North,QLD,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10592530,NSW039,Eopsaltria_australis,male,Australia,Oceania,Australia:New South Wales,33.27 S 148.59 E,North,NSW,GCA_003426825.1,Eopsaltria_australis
PRJNA476023,SAMN10592521,ANWC-B44545,Eopsaltria_australis,female,Australia,Oceania,Australia:New South Wales,32.96 S 146.165 E,North,NSW,GCA_003426825.1,Eopsaltria_australis
