BioSample,Latitude,Longitude
SAMN11458499,NA,NA
SAMN11458497,33.9194,-78.268617
SAMN11458498,33.204483,-79.387667
SAMN11458504,34.727583,-76.736183
SAMN11458505,34.727583,-76.736183
SAMN11458506,31.35295,-81.447467
SAMN11458507,31.35295,-81.447467
SAMN11458508,35.53855,-84.07625
SAMN11458509,35.5558,-84.00245
SAMN11458510,29.797883,-90.8129
SAMN11458511,29.797883,-90.8129
SAMN11458521,32.944667,-95.193683
SAMN11458513,28.243611,-80.870556
SAMN11458514,28.243611,-80.870556
SAMN11458517,26.683333,-80.716884
SAMN11458518,26.683333,-80.716884
SAMN11458519,28.5437777,-80.9421666
SAMN11458520,28.5437777,-80.9421666
SAMN11458522,27.640278,-80.59475
SAMN11458523,27.640278,-80.59475
SAMN11458495,29.82665,-82.597133
SAMN11458496,29.90955,-83.314983
SAMN11458515,28.078317,-81.729533
SAMN11458516,27.366783,-81.400155
SAMN11458500,25.918667,-81.310783
SAMN11458501,25.918667,-81.310783
SAMN11458502,25.918667,-81.310783
SAMN11458503,25.918667,-81.310783
SAMN11458512,NA,NA
SAMN03333188,NA,NA
SAMN03333190,NA,NA
SAMN03333191,NA,NA
SAMN03333193,NA,NA
SAMN03333194,NA,NA
SAMN03333195,NA,NA
SAMN03333196,NA,NA
SAMN03333197,NA,NA
SAMN03333198,NA,NA
SAMN03333199,NA,NA
SAMN03333200,NA,NA
SAMN03333201,NA,NA
SAMN03333202,NA,NA
SAMN03333203,NA,NA
SAMN03333204,NA,NA
SAMN03333205,NA,NA
SAMN03333206,NA,NA
SAMN03333207,NA,NA
SAMN03333208,NA,NA
SAMN03333209,NA,NA
SAMN03333210,NA,NA
SAMN03333211,NA,NA
SAMN03333212,NA,NA
SAMN03333214,NA,NA
SAMN03333215,NA,NA
SAMN03333216,NA,NA
SAMN03333217,NA,NA
SAMN03333218,NA,NA
SAMN03333219,NA,NA
SAMN03333189,NA,NA
SAMN03333192,NA,NA
SAMN03333213,NA,NA
SAMN04296347,48.06,15.91
SAMN04296348,51.16,4.29
SAMN04296349,52.24,-0.14000000000000001
SAMN04296350,42.22,8.4499999999999993
SAMN04296351,49.32,17.04
SAMN04296352,58.07,25.05
SAMN04296353,58.07,25.05
SAMN04296354,65,25.3
SAMN04296355,43.4,3.4
SAMN04296356,43.37,3.52
SAMN04296357,43.4,3.4
SAMN04296358,47.99,11.35
SAMN04296359,47.43,19.100000000000001
SAMN04296360,69.2,19.34
SAMN04296361,50.06,20.25
SAMN04296362,56.08,-4.37
SAMN04296363,38.44,-0.33
SAMN04296364,38.39,-0.32
SAMN04296365,57.05,18.18
SAMN04296376,NA,NA
SAMN04296366,51.77,-1.34
SAMN04296367,51.77,-1.34
SAMN04296368,51.77,-1.34
SAMN04296369,51.77,-1.34
SAMN04296370,51.77,-1.34
SAMN04296371,51.77,-1.34
SAMN04296372,51.77,-1.34
SAMN04296373,51.77,-1.34
SAMN04296374,51.77,-1.34
SAMN04296375,51.77,-1.34
SAMEA4785080,"45°52'27"" N","5°57'40"" E"
SAMEA4785081,"45°52'27"" N","5°57'40"" E"
SAMEA4785082,"45°52'27"" N","5°57'40"" E"
SAMEA4785083,"45°52'27"" N","5°57'40"" E"
SAMEA4785084,"45°52'27"" N","5°57'40"" E"
