BioSample,refGenome,Organism
SAMD00010024,GCF_902500615.1,Pungitius_pungitius
SAMD00013056,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00013057,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00013064,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00013068,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056764,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056765,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056766,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056767,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056768,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056769,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056770,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056771,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056772,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056773,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056774,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056775,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056776,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056777,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056778,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056779,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056780,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056781,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056782,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056783,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056784,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056785,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056786,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056787,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056788,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056789,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056790,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056791,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056792,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056793,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056794,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056795,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056796,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056797,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056798,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056799,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056800,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056801,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056802,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00056803,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00057639,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00057640,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00057641,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00057642,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00057643,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00057644,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00057645,GCA_000180675.1,Gasterosteus_aculeatus
SAMD00131486,GCA_015082035.1,Chaenogobius_annularis
SAMD00131488,GCA_015082035.1,Chaenogobius_annularis
SAMD00131634,GCA_015082035.1,Chaenogobius_annularis
SAMD00131635,GCA_015082035.1,Chaenogobius_annularis
SAMD00131636,GCA_015082035.1,Chaenogobius_annularis
SAMD00131637,GCA_015082035.1,Chaenogobius_annularis
SAMD00131638,GCA_015082035.1,Chaenogobius_annularis
SAMD00131639,GCA_015082035.1,Chaenogobius_annularis
SAMD00131640,GCA_015082035.1,Chaenogobius_annularis
SAMD00131641,GCA_015082035.1,Chaenogobius_annularis
SAMD00131642,GCA_015082035.1,Chaenogobius_annularis
SAMD00131643,GCA_015082035.1,Chaenogobius_annularis
SAMD00239084,GCF_002234675.1,Oryzias_celebensis
SAMEA104152058,GCA_016584745.1,Phylloscopus_collybita_abietinus
SAMEA104152947,GCA_016584745.1,Phylloscopus_collybita_abietinus
SAMEA104152948,GCA_016584745.1,Phylloscopus_collybita_abietinus
SAMEA104152949,GCA_016584745.1,Phylloscopus_collybita_abietinus
SAMEA104152950,GCA_016584745.1,Phylloscopus_collybita_abietinus
SAMEA104152951,GCA_016584745.1,Phylloscopus_collybita_abietinus
SAMEA104152952,GCA_016584745.1,Phylloscopus_collybita_abietinus
SAMEA104152953,GCA_016584745.1,Phylloscopus_collybita_abietinus
SAMEA104152954,GCA_016584745.1,Phylloscopus_collybita_abietinus
SAMEA104152955,GCA_016584745.1,Phylloscopus_collybita_abietinus
SAMEA104152957,GCA_016584745.1,Phylloscopus_collybita_abietinus
SAMEA104152958,GCA_016584745.1,Phylloscopus_collybita_abietinus
SAMEA104152959,GCA_016584745.1,Phylloscopus_collybita_abietinus
SAMEA104152960,GCA_016584745.1,Phylloscopus_collybita_abietinus
