BioSample,refGenome,Organism,lat,long
SAMD00010024,GCF_902500615.1,Pungitius_pungitius,NA,NA
SAMD00013056,GCA_000180675.1,Gasterosteus_aculeatus,43.09956741333008,144.88189697265625
SAMD00013057,GCA_000180675.1,Gasterosteus_aculeatus,43.09956741333008,144.88189697265625
SAMD00013064,GCA_000180675.1,Gasterosteus_aculeatus,43.06944274902344,144.8868408203125
SAMD00013068,GCA_000180675.1,Gasterosteus_aculeatus,43.06944274902344,144.8868408203125
SAMD00056764,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056765,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056766,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056767,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056768,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056769,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056770,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056771,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056772,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056773,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056774,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056775,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056776,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056777,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056778,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056779,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056780,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056781,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056782,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056783,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056784,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056785,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056786,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056787,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056788,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056789,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056790,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056791,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056792,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056793,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056794,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056795,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056796,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056797,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056798,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056799,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056800,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056801,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056802,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00056803,GCA_000180675.1,Gasterosteus_aculeatus,49.015869140625,-122.77996063232422
SAMD00057639,GCA_000180675.1,Gasterosteus_aculeatus,NA,NA
SAMD00057640,GCA_000180675.1,Gasterosteus_aculeatus,NA,NA
