Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,BioSampleModel,sex,Tissue,dev_stage,Isolate,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Lat_Lon,Strain,BIOMATERIAL_PROVIDER,Age,SAMPLE_TYPE,Birth_date,birth_location,breeding_history,health_state,Isolation_Source,Ecotype,Collection_Date,env_broad_scale,env_local_scale,env_medium,isol_growth_condt,bird_band_identification,samp_collect_device,sub_species,Specimen_voucher,BREED,actual_read_length (run),bioproject,run (run),total_bases (run),center_name (exp),Cultivar,estimated_size,num_replicons,ploidy,project_name,propagation,Sample_name
SRR18106108,WGS,7893,6297719853,PRJNA705840,SAMN18104312,1590387418,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX14256849,PacBio RS,Lpo genome pacbio 8,SINGLE,RANDOM,GENOMIC,Larimichthys polyactis,PACBIO_SMRT,2022-02-24T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR18106109,WGS,7843,5165556536,PRJNA705840,SAMN18104312,1304512034,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"bam,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX14256848,PacBio RS,Lpo genome pacbio 7,SINGLE,RANDOM,GENOMIC,Larimichthys polyactis,PACBIO_SMRT,2022-02-23T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR18106110,WGS,8050,6120969667,PRJNA705840,SAMN18104312,1545659172,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"bam,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX14256847,PacBio RS,Lpo genome pacbio 6,SINGLE,RANDOM,GENOMIC,Larimichthys polyactis,PACBIO_SMRT,2022-02-24T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR18106111,WGS,8986,6119687248,PRJNA705840,SAMN18104312,1544863767,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX14256846,PacBio RS,Lpo genome pacbio 5,SINGLE,RANDOM,GENOMIC,Larimichthys polyactis,PACBIO_SMRT,2022-02-24T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR18106112,WGS,8301,4154015499,PRJNA705840,SAMN18104312,1048900369,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,bam","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX14256845,PacBio RS,Lpo genome pacbio 4,SINGLE,RANDOM,GENOMIC,Larimichthys polyactis,PACBIO_SMRT,2022-02-23T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR18106113,WGS,9112,7422850233,PRJNA705840,SAMN18104312,1873738666,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX14256844,PacBio RS,Lpo genome pacbio 3,SINGLE,RANDOM,GENOMIC,Larimichthys polyactis,PACBIO_SMRT,2022-02-24T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR18106114,WGS,5454,294654045,PRJNA705840,SAMN18104312,74585784,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,bam","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX14256843,PacBio RS,Lpo genome pacbio 2,SINGLE,RANDOM,GENOMIC,Larimichthys polyactis,PACBIO_SMRT,2022-02-23T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR18106119,WGS,6768,2309340568,PRJNA705840,SAMN18104312,583540043,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX14256838,PacBio RS,Lpo genome pacbio 1,SINGLE,RANDOM,GENOMIC,Larimichthys polyactis,PACBIO_SMRT,2022-02-23T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR18106124,WGS,300,42738708900,PRJNA705840,SAMN18104312,20668880125,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX14256833,Illumina NovaSeq 6000,Lpo genome 10X genomics 4,PAIRED,RANDOM,GENOMIC,Larimichthys polyactis,ILLUMINA,2022-02-25T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR18106125,WGS,300,25913705100,PRJNA705840,SAMN18104312,12469926821,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX14256832,Illumina NovaSeq 6000,Lpo genome 10X genomics 3,PAIRED,RANDOM,GENOMIC,Larimichthys polyactis,ILLUMINA,2022-02-24T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
SRR18106126,WGS,300,40278519300,PRJNA705840,SAMN18104312,19379517144,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX14256831,Illumina NovaSeq 6000,Lpo genome 10X genomics 2,PAIRED,RANDOM,GENOMIC,Larimichthys polyactis,ILLUMINA,2022-02-25T00:00:00Z,L. polyactis,SRP326965,Model organism or animal,male,Muscle,Close to sexual maturity,XQP-2016M,China,Asia,China: Zhoushan,29.89 N 122.30 E,,Qing-Ping Xie,8 month old,tissue sample,2015-04,"Zhoushan, China",Artificial breeding F2 generation,health,Xi Xuan island from Zhoushan aquaculture artificial breeding samples,,,,,,,,,,,,,,,,,,,,,,,
