Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMEA6815700 	 129888564 	 99.74 	 0.08685949442015542 	 97.67 	 0.9501599460579571 	 128923754
SAMEA6815702 	 172067298 	 99.66 	 0.1815034022327706 	 97.19 	 0.9633707641591849 	 170865036
SAMEA6815703 	 171728631 	 99.72 	 0.19456009056521273 	 97.3 	 0.9774540383854265 	 170575688
SAMEA6815704 	 188472056 	 99.77 	 0.1956630377078287 	 97.29 	 0.9811689523199149 	 187154104
SAMEA6815705 	 87302445 	 99.78 	 0.0792972063955368 	 97.38 	 0.9995682310949334 	 86541340
SAMEA6815706 	 133150423 	 99.74 	 0.08681554094649778 	 97.6 	 0.9266742065433177 	 132196212
SAMEA6815707 	 118520880 	 99.76 	 0.05673378395435471 	 97.47 	 0.9106163326710314 	 117577282
SAMEA6815708 	 152650443 	 99.75 	 0.08282767315650699 	 97.53 	 0.9370412165088106 	 151431912
SAMEA6815709 	 41037795 	 99.53 	 0.26642727758642976 	 97.47 	 0.9080135377981663 	 40697964
SAMEA6815710 	 119465164 	 99.64 	 0.09239266603275244 	 97.62 	 0.926420607991093 	 118515860
SAMEA6815712 	 143313667 	 99.76 	 0.23475736616243306 	 97.56 	 0.9830851950595274 	 142297164
SAMEA6815713 	 68781605 	 99.78 	 0.14742604508865415 	 97.55 	 0.9788755717859489 	 68339366
SAMEA6815714 	 186130419 	 99.72 	 0.1622750443601591 	 97.5 	 0.9756368224672833 	 184895346
SAMEA6815715 	 204633166 	 99.62 	 0.21157203324508989 	 97.24 	 0.9787241604586213 	 203226456
SAMEA6815733 	 92891513 	 99.74 	 0.048052344674373 	 97.4 	 0.96787213001446 	 92180252
SAMEA6815734 	 155814036 	 99.83 	 0.14698257350833271 	 97.59 	 0.9811599424611054 	 154372130
SAMEA6815737 	 143269127 	 99.81 	 0.051107744936562644 	 97.47 	 0.969692166620056 	 142265002
SAMEA6815738 	 183301251 	 99.81 	 0.0553934244562248 	 97.34 	 0.9713350405879402 	 181911640
SAMEA6815739 	 233888381 	 99.83 	 0.07749043335333533 	 97.62 	 0.9717288477043527 	 231950368
SAMEA6815740 	 158312306 	 99.83 	 0.12251631278745949 	 97.83 	 0.9777411409459006 	 156739148
SAMEA6815741 	 167686348 	 99.77 	 0.05187895796979251 	 97.38 	 0.9612182100772075 	 166367048
SAMEA6815742 	 188493559 	 99.84 	 0.1053320925411568 	 97.9 	 0.9759839875997482 	 187052664
SAMEA6815735 	 151967678 	 99.84 	 0.09956448107340299 	 97.72 	 0.9721837225954563 	 150722204
SAMEA6815701 	 179311493 	 99.61 	 0.18148737961821554 	 97.22 	 0.9675577618051839 	 178145754
SAMEA6815736 	 114347287 	 99.83 	 0.08437662364477436 	 97.83 	 0.9736367447460573 	 113411942
