Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMEA6816033 	 127335705 	 99.79 	 0.09979384808055211 	 97.36 	 0.9995357818308115 	 126373240
SAMEA6816034 	 112176949 	 99.79 	 0.07578283306671142 	 97.57 	 0.8989579481040162 	 111349980
SAMEA6816036 	 123233788 	 99.83 	 0.09862073703358043 	 97.97 	 0.9066124651397298 	 122331918
SAMEA6816038 	 115125537 	 99.77 	 0.10798400010937625 	 97.61 	 0.8768241752595577 	 114269880
SAMEA6816039 	 197382942 	 99.77 	 0.17579629044134928 	 97.53 	 0.9751891385257944 	 196142206
SAMEA6816040 	 210360691 	 99.79 	 0.20370515421058397 	 97.36 	 0.9827477874392193 	 208846712
SAMEA6816041 	 163086897 	 99.66 	 0.024357395186689952 	 97.39 	 0.9578670860127908 	 162032666
SAMEA6816042 	 121231159 	 99.75 	 0.06693345231484589 	 97.49 	 0.9335195080259435 	 120218758
SAMEA6816043 	 129756739 	 99.73 	 0.08381826704199155 	 97.76 	 0.9450578496636768 	 128773008
SAMEA6816044 	 113199579 	 99.71 	 0.0849452187450273 	 97.57 	 0.9249447849595338 	 112364418
SAMEA6816045 	 124644654 	 99.79 	 0.09028279704639398 	 97.44 	 0.9997061652832745 	 123529758
SAMEA6816046 	 113990446 	 99.68 	 0.0875577853252719 	 97.64 	 0.9359902073962617 	 113087256
SAMEA6816048 	 122773271 	 99.73 	 0.07842668784152537 	 97.85 	 0.9250442660662325 	 121951814
SAMEA6816049 	 85082754 	 99.74 	 0.08300141530444584 	 97.66 	 0.9085545432693565 	 84463506
SAMEA6816050 	 219200225 	 99.67 	 0.21291852688563617 	 97.31 	 0.97002127001505 	 217831872
SAMEA6816051 	 147238294 	 99.71 	 0.23399907092104721 	 97.46 	 0.976748425209663 	 146283984
SAMEA6816052 	 222363418 	 99.7 	 0.19551807752838193 	 97.36 	 0.9796205135379839 	 220841446
SAMEA6816053 	 181009965 	 99.74 	 0.19573999144190762 	 97.37 	 0.9776493752479885 	 179740122
SAMEA6816054 	 109071432 	 99.77 	 0.07042929444623043 	 97.71 	 0.8906577908324289 	 108457038
SAMEA6816055 	 230684768 	 99.68 	 0.19484380954012534 	 97.39 	 0.9759408791874532 	 229267680
SAMEA6816085 	 223265633 	 99.53 	 0.21702487010170526 	 97.41 	 0.9711585278651419 	 221881426
SAMEA6816090 	 133868092 	 99.7 	 0.07912837810521718 	 97.28 	 0.9253856064197195 	 132681072
SAMEA6816092 	 204078075 	 99.74 	 0.17742678139236662 	 97.39 	 0.9765978808906971 	 202729788
SAMEA6816093 	 176340536 	 99.67 	 0.22571349675380367 	 97.31 	 0.9768611840567775 	 175175878
SAMEA6816105 	 161897319 	 99.6 	 0.30140920369410196 	 97.26 	 0.9695553034701081 	 160789062
SAMEA6816106 	 275124076 	 99.78 	 0.21424245328496805 	 97.39 	 0.9800095857598539 	 273260426
SAMEA6816047 	 127939378 	 99.72 	 0.09876816815538997 	 97.73 	 0.9106622845205639 	 127055112
