Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN08952547 	 103373374 	 99.62 	 0.4075125186491446 	 97.64 	 0.9782288241814555 	 102913640
SAMN08952580 	 88997727 	 99.58 	 0.23149567628845172 	 96.42 	 0.9743591317178036 	 88592618
SAMN08952548 	 86476765 	 99.6 	 0.26186619029978747 	 96.3 	 0.9733347199880628 	 86103428
SAMN08952549 	 90988464 	 99.6 	 0.23311184811296518 	 96.6 	 0.9715132947486979 	 90465272
SAMN08952550 	 91135439 	 99.47 	 0.15175999755704256 	 95.93 	 0.9746181652709733 	 90691994
SAMN08952551 	 97526064 	 99.57 	 0.2506719126899246 	 95.73 	 0.9744642007351232 	 97097634
SAMN08952552 	 80361539 	 99.26 	 0.10340342038496798 	 95.71 	 0.9551749257217849 	 80026756
SAMN08952553 	 93669202 	 99.64 	 0.38285587187985226 	 97.75 	 0.9776068624639201 	 93233514
SAMN08952554 	 84693524 	 99.62 	 0.22407918697538196 	 95.73 	 0.9739277986392947 	 84293562
SAMN08952555 	 83984671 	 99.59 	 0.20751865539843575 	 95.95 	 0.9700988554347163 	 83594274
SAMN08952556 	 86412435 	 99.46 	 0.1763190563950663 	 97.01 	 0.9731633811240044 	 86048780
SAMN08952557 	 90967378 	 99.55 	 0.24652871714077546 	 95.79 	 0.97323464393404 	 90578596
SAMN08952558 	 98786009 	 99.56 	 0.1844480426372929 	 97.03 	 0.9741232517170296 	 98344754
SAMN08952559 	 100559419 	 99.6 	 0.24068819450915882 	 95.81 	 0.972224604609155 	 100072358
SAMN08952560 	 82597154 	 99.61 	 0.19324552029964617 	 96.37 	 0.9678267131213332 	 82252354
SAMN08952561 	 83252605 	 99.63 	 0.20219197945818032 	 96.49 	 0.9739843098645868 	 82854870
SAMN08952562 	 93754122 	 99.54 	 0.22956280258269604 	 96.04 	 0.97275389201739 	 93296104
SAMN08952563 	 81661421 	 99.54 	 0.1809798288961932 	 95.87 	 0.9643959144192984 	 81291576
SAMN08952564 	 83083460 	 99.59 	 0.18931452782539387 	 95.43 	 0.9707019059389767 	 82712562
SAMN08952565 	 89599276 	 99.57 	 0.1710317614620011 	 96.26 	 0.9715815159800318 	 89183770
SAMN08952566 	 90576914 	 99.6 	 0.3892744789251707 	 97.52 	 0.9764898293975331 	 90191784
SAMN08952544 	 99283896 	 99.6 	 0.2553009301730061 	 96.56 	 0.9762735756276865 	 98911376
SAMN08952567 	 88351572 	 99.6 	 0.1544531997687602 	 96.46 	 0.9713703755582643 	 88001814
SAMN08952568 	 89426642 	 99.58 	 0.14496231447447172 	 96.05 	 0.9679845673222892 	 89058698
SAMN08952545 	 93817228 	 99.62 	 0.19891799617017036 	 96.5 	 0.9703403127782854 	 93349620
SAMN08952569 	 77349254 	 99.51 	 0.12115846650570153 	 95.97 	 0.9679119929326454 	 77001774
SAMN08952570 	 71964549 	 99.54 	 0.18654352992610293 	 95.76 	 0.9680408338290732 	 71625744
SAMN08952571 	 84519600 	 99.62 	 0.1435435567607987 	 96.27 	 0.9698431684814054 	 84113276
SAMN08952572 	 107490400 	 99.6 	 0.2677743686878084 	 95.67 	 0.9762944061433468 	 106944082
SAMN08952573 	 92287649 	 99.64 	 0.22677917605204137 	 96.47 	 0.9731278052339347 	 91896538
SAMN08952574 	 91928857 	 99.58 	 0.2337166228445547 	 95.86 	 0.9738541803042797 	 91508210
SAMN08952575 	 89039374 	 99.6 	 0.19289672903585328 	 96.03 	 0.9654732408711054 	 88625788
SAMN08952576 	 98123444 	 99.59 	 0.1656876006105126 	 95.41 	 0.9753543828041493 	 97672142
SAMN08952546 	 97215923 	 99.59 	 0.1809086460044205 	 96.7 	 0.9725696690854901 	 96838122
SAMN08952577 	 90564325 	 99.61 	 0.20719360520823182 	 96.29 	 0.9713203408985891 	 90157820
SAMN08952578 	 89649280 	 99.56 	 0.20024569076293752 	 96.57 	 0.9713333862015862 	 89315896
SAMN08952579 	 86079015 	 99.61 	 0.21498814780815045 	 95.57 	 0.9701708332332588 	 85715410
SAMN08952581 	 110074981 	 98.88 	 0.07590562291353019 	 96.07 	 0.9646174472885758 	 109518820
SAMN08952582 	 116529948 	 98.91 	 0.08015899912698837 	 95.99 	 0.9611419657882385 	 115893762
SAMN08952583 	 118052004 	 98.82 	 0.1134868155224201 	 96.07 	 0.9587024836709839 	 117409674
