Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN16492482 	 46414413 	 99.32 	 0.2567920227710302 	 96.26 	 0.9790535149611319 	 45449448
SAMN16492486 	 24996599 	 99.37 	 0.2203748197904843 	 96.63 	 0.9795936343836938 	 24466264
SAMN16492474 	 23735244 	 99.4 	 0.23349037406145898 	 96.93 	 0.9790546232413873 	 23246812
SAMN16492472 	 36884922 	 99.33 	 0.22874523091034327 	 96.51 	 0.9781549246332086 	 36106576
SAMN16492468 	 20672784 	 99.34 	 0.23315727576895304 	 96.45 	 0.9783632124027097 	 20231160
SAMN16492475 	 15738196 	 99.37 	 0.22445780952276867 	 96.61 	 0.9794844799123765 	 15410006
SAMN16492458 	 43027538 	 99.35 	 0.23870168913685 	 96.47 	 0.9785725182811076 	 42129598
SAMN16492456 	 79356270 	 99.25 	 0.2566487689000504 	 95.75 	 0.9777905820762174 	 77670922
SAMN16492501 	 21565013 	 99.38 	 0.20597446428620284 	 96.79 	 0.9797932040515442 	 21125286
SAMN16492490 	 24438969 	 99.39 	 0.2270656753155176 	 96.87 	 0.9797849007893912 	 23941822
SAMN16492487 	 20464448 	 99.37 	 0.2403433017103613 	 96.67 	 0.9780039232739874 	 20029358
SAMN16492473 	 26848216 	 99.4 	 0.2360058858286897 	 96.77 	 0.9782215998810766 	 26282586
SAMN16492460 	 25336193 	 99.37 	 0.23063532078398677 	 96.54 	 0.9782699621797682 	 24787688
SAMN16492484 	 46004918 	 99.34 	 0.24769973505876045 	 96.49 	 0.9777932749219193 	 45019028
SAMN16492469 	 40295130 	 99.3 	 0.2500644122503141 	 96.24 	 0.9789594789188452 	 39463094
SAMN16492500 	 23053724 	 99.35 	 0.22076650175910842 	 96.62 	 0.9775150289419011 	 22563780
SAMN16492494 	 29226564 	 99.37 	 0.23903500938392894 	 96.64 	 0.9802466164976913 	 28628918
SAMN16492491 	 23062409 	 99.47 	 0.21546209678269082 	 97.41 	 0.9811847923513723 	 22591876
SAMN16492497 	 25081056 	 99.38 	 0.23457652660238867 	 96.64 	 0.9791031941658884 	 24557600
SAMN16492483 	 15529232 	 99.35 	 0.22247597305520325 	 96.63 	 0.9794779294500441 	 15205672
SAMN16492476 	 36666775 	 99.36 	 0.23459720687188879 	 96.6 	 0.9787845861917618 	 35908214
SAMN16492455 	 22027405 	 99.33 	 0.23110579752812463 	 96.38 	 0.9786975769333333 	 21565652
SAMN16492489 	 28043817 	 99.38 	 0.2377520149985289 	 96.73 	 0.979279783537284 	 27464730
SAMN16492485 	 36200491 	 99.37 	 0.2388089156028298 	 96.72 	 0.9790364672613698 	 35439164
SAMN16492479 	 41321466 	 99.39 	 0.25756760420842767 	 96.77 	 0.9792766477227126 	 40460738
SAMN16492471 	 47059510 	 99.35 	 0.245854854842305 	 96.36 	 0.978653340068377 	 46087710
SAMN16492463 	 37983499 	 99.38 	 0.23127840328770133 	 96.75 	 0.9789625740788626 	 37200290
SAMN16492459 	 16492222 	 99.34 	 0.21242801606721035 	 96.49 	 0.9785378815900931 	 16142640
SAMN16492454 	 34550174 	 99.35 	 0.21618131358759582 	 96.39 	 0.9791204858746767 	 33785226
SAMN16492464 	 28142792 	 99.38 	 0.2221353162116964 	 96.67 	 0.9797170662226481 	 27546258
SAMN16492502 	 37019873 	 99.37 	 0.2496915913244759 	 96.73 	 0.9791778824727382 	 36256370
SAMN16492495 	 30192138 	 99.33 	 0.24004596825835917 	 96.38 	 0.9786790119941112 	 29555930
SAMN16492492 	 22982154 	 99.38 	 0.24181915237361998 	 96.9 	 0.979520391661875 	 22520408
SAMN16492481 	 23831039 	 99.36 	 0.2412658550053147 	 96.55 	 0.9791937132699154 	 23333442
SAMN16492477 	 35504026 	 99.4 	 0.2358580967690819 	 96.97 	 0.9795685417416907 	 34785290
SAMN16492467 	 21899070 	 99.39 	 0.22079024360395214 	 96.77 	 0.9789796339032436 	 21438908
SAMN16492465 	 37321754 	 99.38 	 0.22843535167184265 	 96.74 	 0.9782930097094654 	 36552490
SAMN16492457 	 19445390 	 99.36 	 0.21382291638275192 	 96.38 	 0.9786922618438463 	 19030994
SAMN16492470 	 35568669 	 99.32 	 0.23064416607773544 	 96.24 	 0.9783579518408594 	 34825614
SAMN16492498 	 16765157 	 99.41 	 0.22806347712699618 	 96.96 	 0.9797404698630762 	 16417562
SAMN16492493 	 36367877 	 99.32 	 0.23001598361103123 	 96.4 	 0.9786586124929574 	 35612328
SAMN16492480 	 30687676 	 99.37 	 0.23542929741567917 	 96.66 	 0.9791985490254604 	 30049978
SAMN16492466 	 25452794 	 99.37 	 0.24377433770139342 	 96.64 	 0.9787357549577852 	 24923506
SAMN16492461 	 16229406 	 99.39 	 0.22579082684849958 	 96.75 	 0.9787903940498571 	 15888726
SAMN16492499 	 19371314 	 99.37 	 0.22185640065511303 	 96.68 	 0.9791723645342626 	 18967824
SAMN16492496 	 30639696 	 99.4 	 0.22442206998398417 	 96.85 	 0.9802998804184296 	 30007046
SAMN16492488 	 30595187 	 99.38 	 0.24766251632977435 	 96.83 	 0.9789914348987275 	 29959184
SAMN16492478 	 37521766 	 99.42 	 0.2328649722936815 	 96.98 	 0.9787931051018027 	 36741270
SAMN16492462 	 38836558 	 99.38 	 0.22983468308391283 	 96.66 	 0.9793239157225928 	 38025710
