Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN02743852 	 236407525 	 89.88 	 0.04434772962493474 	 70.25 	 0.5606793831568533 	 146263602
SAMN02743848 	 227939934 	 96.46 	 0.05732944100966529 	 69.93 	 0.5141587402046566 	 121859092
SAMN02743850 	 259301141 	 96.52 	 0.04677493493944942 	 88.69 	 0.4232510502540344 	 120371290
SAMN02743849 	 244166175 	 96.95 	 0.04276411751136291 	 89.32 	 0.33532151374522007 	 88917352
SAMN02743851 	 233152378 	 96.22 	 0.04277986819418157 	 81.47 	 0.4115802238700152 	 100430642
SAMEA3334436 	 122545016 	 96.58 	 0.03825239208422805 	 69.98 	 0.9510707969389559 	 121859092
SAMEA3334437 	 101069510 	 96.31 	 0.0302741944628009 	 81.42 	 0.9439361349469466 	 100430642
SAMEA3334438 	 89170516 	 96.9 	 0.026726816294300685 	 89.32 	 0.9242674562077832 	 88917352
SAMEA3334439 	 121025351 	 96.4 	 0.035202806393843884 	 88.38 	 0.9452227273302651 	 120371290
SAMEA3334440 	 146820856 	 89.32 	 0.03621059122554087 	 69.49 	 0.9334936431644081 	 146263602
