Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN02743819 	 209545607 	 97.69 	 0.017182984895502962 	 90.33 	 0.4317603491369078 	 95761272
SAMN02743820 	 110499637 	 96.96 	 0.022350037222294224 	 92.15 	 0.31969696387561064 	 38608966
SAMN02743821 	 83558005 	 96.95 	 0.017925571583476654 	 92.28 	 0.17991211681144026 	 16913582
SAMN02743822 	 106221580 	 98.01 	 0.02422180125733396 	 89.46 	 0.25662431604273434 	 28525256
SAMN02743823 	 221234523 	 97.17 	 0.027469162215699942 	 91.04 	 0.60674079963459 	 144173892
SAMN02743824 	 272389557 	 97.98 	 0.022428029426987173 	 88.21 	 0.6677643201384162 	 196877052
SAMN02743825 	 164564386 	 96.36 	 0.030909172535058708 	 91.01 	 0.22464097978017641 	 39754490
SAMN02743826 	 123658167 	 96.52 	 0.024521073484778406 	 87.38 	 0.23909687701275337 	 34144230
SAMN02743827 	 118432389 	 97.09 	 0.017819534147875713 	 90.07 	 0.43516470176256306 	 56981896
SAMN02743828 	 198387177 	 96.83 	 0.022896908301689278 	 85.97 	 0.43604156922213955 	 91208806
SAMN02743829 	 83757817 	 96.99 	 0.012997545053018754 	 91.76 	 0.29099792260419394 	 25506004
SAMN02743830 	 129095370 	 97.16 	 0.01741228984432207 	 86.12 	 0.1736009319396048 	 23695604
SAMN02743831 	 77537051 	 97.97 	 0.00879618184085954 	 92.0 	 0.1830589572856434 	 16152716
SAMN02743832 	 227614372 	 97.0 	 0.028634887782920844 	 90.02 	 0.5737260923426156 	 141072156
SAMN02743833 	 175633592 	 97.49 	 0.022959747927947634 	 91.57 	 0.22095773545029965 	 41094938
SAMN02743834 	 129764457 	 97.49 	 0.015657600293430118 	 93.09 	 0.24949945908543297 	 36732490
SAMN02743835 	 90828002 	 96.9 	 0.01514745419589875 	 88.22 	 0.18032426386186687 	 17659778
SAMN02743836 	 93406894 	 96.84 	 0.018596978505676466 	 91.52 	 0.2942446535254618 	 28589748
SAMN02743837 	 121907238 	 97.45 	 0.01624858402583118 	 93.51 	 0.23312707049068968 	 32137170
SAMN02743838 	 89728037 	 96.89 	 0.01739923275040554 	 86.88 	 0.23571961949010686 	 22128448
SAMN02743839 	 130053876 	 97.83 	 0.012980136016861196 	 93.47 	 0.2540234444393004 	 37332902
SAMN02743840 	 101188495 	 97.62 	 0.011375364363310275 	 87.47 	 0.17041039714509643 	 18278544
SAMN02743841 	 91241108 	 97.28 	 0.013776904155964437 	 88.73 	 0.2825201784030824 	 27029366
SAMN02743842 	 108148275 	 97.3 	 0.014789417584330403 	 90.61 	 0.23541039409595502 	 29343714
SAMN02743843 	 81007705 	 97.5 	 0.012017387728735186 	 90.84 	 0.2391027823674986 	 22038618
SAMN02743844 	 107224983 	 97.38 	 0.01436451615012147 	 90.72 	 0.2185917936912192 	 26386100
SAMN02743845 	 92951621 	 97.48 	 0.012492487893245025 	 93.58 	 0.23974415482719405 	 25004330
SAMN02743846 	 286861874 	 98.0 	 0.01928238117833672 	 92.75 	 0.8057562990459151 	 247629082
SAMN02743847 	 203100752 	 96.36 	 0.03462211208356333 	 88.9 	 0.31633583720152786 	 71512592
SAMN02743818 	 133113028 	 96.06 	 0.02913116813780241 	 82.91 	 0.22936740137437522 	 35898114
