Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMEA3334435 	 25245962 	 94.88 	 0.016834969489378144 	 88.44 	 0.9320363271842755 	 25142968
SAMEA3334642 	 25234571 	 2.38 	 0.00890441133316671 	 2.36 	 0.9694592233219331 	 25234312
SAMEA3334643 	 56833512 	 17.97 	 0.02243169487748707 	 17.26 	 0.9510469630967451 	 56799762
SAMEA3334594 	 33655540 	 94.97 	 0.027368896770041427 	 91.91 	 0.9442223031851245 	 33541082
SAMEA3334644 	 17200822 	 81.76 	 0.2277806839696382 	 78.04 	 0.9208498290570035 	 17158298
SAMEA3334645 	 119927215 	 65.68 	 0.0557118582300106 	 62.77 	 0.9539502421397492 	 119692238
SAMEA3334646 	 14184838 	 93.49 	 0.2799709802819038 	 90.64 	 0.9281950093180636 	 14146958
SAMEA3334595 	 25904975 	 96.11 	 0.01604734225761654 	 93.82 	 0.954944581927481 	 25823344
SAMEA3334596 	 17805437 	 81.96 	 0.0287859826186799 	 76.78 	 0.9024011458534845 	 17688694
SAMEA3334597 	 31303619 	 86.94 	 0.011041502900990458 	 82.99 	 0.9375790726303669 	 31230352
SAMEA3334598 	 29451042 	 95.44 	 0.016940555108372737 	 92.31 	 0.9457609467815409 	 29366390
SAMEA3334599 	 35514128 	 52.02 	 0.010347797361095281 	 46.94 	 0.9473675762087677 	 35411124
SAMEA3334647 	 28589666 	 23.0 	 0.027176113215173624 	 21.97 	 0.931626747047196 	 28570626
SAMEA3334600 	 33863382 	 92.7 	 0.015506809095441205 	 90.65 	 0.9505838110590162 	 33774720
SAMEA3334601 	 36467388 	 93.16 	 0.055997539500224146 	 86.49 	 0.8988802968345508 	 36181656
SAMEA3334602 	 69798606 	 95.38 	 0.031484081501570386 	 91.85 	 0.9713713113549628 	 69581330
SAMEA3334603 	 75306822 	 91.95 	 0.02785409003184333 	 89.7 	 0.974632956735605 	 75094982
SAMEA3334604 	 65684752 	 97.14 	 0.012798632474093836 	 90.62 	 0.9427211823705194 	 65480316
SAMEA3334605 	 75911727 	 97.37 	 0.017932617973504938 	 91.72 	 0.9357982436292311 	 75594192
SAMEA3334606 	 36671123 	 97.11 	 0.01592430098200156 	 89.39 	 0.9463614855734881 	 36566134
SAMEA3334607 	 53348827 	 96.76 	 0.016116230634274302 	 90.08 	 0.9480176067503506 	 53150044
SAMEA3334608 	 40369204 	 97.25 	 0.016519077264936906 	 84.15 	 0.936370814107895 	 40234616
SAMEA3334609 	 19939308 	 95.32 	 0.01252260108525331 	 89.8 	 0.9504182083158869 	 19874754
SAMEA3334648 	 22798 	 46.53 	 0.005702254583735415 	 43.6 	 0.8232908458864426 	 22736
SAMEA3334649 	 11482090 	 90.4 	 0.07655714247144901 	 81.13 	 0.8695891633758783 	 11440682
SAMEA3334610 	 19859891 	 94.01 	 0.015772090592037994 	 87.83 	 0.9546226795842031 	 19774016
SAMEA3334650 	 14501663 	 89.39 	 0.07867304598100232 	 83.28 	 0.8657694811566123 	 14453270
SAMEA3334651 	 14305500 	 96.37 	 0.011708923141449093 	 88.18 	 0.9526574216001776 	 14244934
SAMEA3334652 	 18927169 	 89.91 	 0.08205136225074125 	 83.15 	 0.88414503371742 	 18856124
SAMEA3334611 	 24736331 	 96.79 	 0.009797653500027955 	 91.69 	 0.9410476539709314 	 24518400
SAMEA3334612 	 19299515 	 96.23 	 0.011247070198396178 	 86.7 	 0.945500655901709 	 19227100
SAMEA3334613 	 19381399 	 93.63 	 0.01494866289064066 	 86.95 	 0.9467699477628639 	 19276452
SAMEA3334653 	 17299488 	 89.73 	 0.07931662486196123 	 84.81 	 0.8928397248179133 	 17241494
SAMEA3334614 	 56798943 	 95.79 	 0.015695503347659127 	 90.32 	 0.9284476679147853 	 56626948
SAMEA3334654 	 88822238 	 89.94 	 0.36556051424869523 	 80.99 	 0.8746420289305604 	 88540840
SAMEA3334615 	 58031633 	 94.46 	 0.018431275232251347 	 88.58 	 0.9403378050157329 	 57802358
SAMEA3334655 	 120819807 	 90.23 	 0.39928940624776865 	 84.32 	 0.8742293057709319 	 120465492
SAMEA3334656 	 66910145 	 96.61 	 0.020090197084463052 	 88.63 	 0.9389164859331349 	 66635810
SAMEA3334657 	 80006763 	 90.65 	 0.262009625361296 	 84.06 	 0.8906448092295377 	 79732896
SAMEA3334616 	 62579678 	 97.15 	 0.011184525430124456 	 92.38 	 0.9129943159209059 	 62027174
SAMEA3334617 	 51517901 	 96.53 	 0.013135240117799055 	 87.32 	 0.919734844638296 	 51335394
SAMEA3334618 	 46601137 	 94.09 	 0.014554902383604932 	 87.78 	 0.931044924047654 	 46368160
SAMEA3334658 	 67264346 	 91.62 	 0.24494052168440023 	 86.74 	 0.8761096142230461 	 67058320
SAMEA3334619 	 48124714 	 93.98 	 0.06291089854580746 	 87.14 	 0.9120422598728214 	 47748858
SAMEA3334620 	 96939607 	 95.5 	 0.03673479922401583 	 91.96 	 0.9653721834724961 	 96640044
SAMEA3334621 	 114224560 	 92.7 	 0.03413181018162819 	 90.3 	 0.9681331116148204 	 113905010
SAMEA3334659 	 79958131 	 89.73 	 0.3416001432049481 	 80.77 	 0.8955812496412011 	 79717720
SAMEA3334660 	 101236106 	 90.05 	 0.35833900011918673 	 84.12 	 0.879240828051386 	 100945024
SAMEA3334661 	 68839594 	 96.61 	 0.018838025105145158 	 88.62 	 0.9653699246884876 	 68552322
SAMEA3334622 	 34011709 	 97.16 	 0.024217806873509357 	 89.32 	 0.9704996504676225 	 33918528
SAMEA3334662 	 100050798 	 91.82 	 0.31029720522568943 	 85.09 	 0.8853823100717779 	 99701820
SAMEA3334663 	 90811314 	 91.55 	 0.3005784499495294 	 86.69 	 0.8952802675190028 	 90541980
SAMEA3334623 	 34572077 	 97.27 	 0.02150622885631083 	 84.42 	 0.9569898384996087 	 34463876
SAMEA3334624 	 182404487 	 94.07 	 0.1209810151216291 	 86.82 	 0.9119793762901647 	 180996846
SAMEA5089890 	 114692276 	 97.41 	 0.019842757327442 	 92.9 	 0.1275933723170319 	 16180630
