Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN08365921 	 55524294 	 97.55 	 0.03430631643871059 	 89.04 	 0.9574903963312923 	 54330282
SAMN08365920 	 55899353 	 96.26 	 0.033089899985067804 	 86.95 	 0.956578913383781 	 54739266
SAMN08365923 	 47269125 	 97.93 	 0.032586365836050485 	 89.23 	 0.9584645522306114 	 46261898
SAMN08365922 	 52171148 	 97.5 	 0.030670342925940598 	 88.12 	 0.951385671717125 	 51028324
SAMN08365916 	 60248645 	 98.51 	 0.04419964963527395 	 90.18 	 0.9600204841500627 	 58864328
SAMN08365919 	 65270112 	 91.34 	 0.02849636599367257 	 83.63 	 0.9604047680056962 	 64032172
SAMN08365918 	 70257322 	 97.98 	 0.038791999501489684 	 88.88 	 0.9495289202302015 	 68802180
SAMN08365933 	 71067812 	 98.56 	 0.03844709613404167 	 90.79 	 0.9600986092333303 	 69651066
SAMN08365944 	 67299661 	 97.76 	 0.04562494007213498 	 89.07 	 0.9499987214463437 	 65906414
SAMN08365925 	 66992376 	 96.78 	 0.018081684399430763 	 87.47 	 0.9468616552694674 	 65625330
SAMN08365924 	 61959784 	 87.0 	 0.025568068474867506 	 79.46 	 0.9572232680470547 	 60841758
SAMN08365935 	 51640942 	 95.4 	 0.034209232666592336 	 86.79 	 0.9598742904003037 	 50579756
SAMN08365937 	 67347437 	 95.14 	 0.0361390887080083 	 86.62 	 0.9538009809617124 	 66000548
SAMN08365900 	 62882577 	 98.33 	 0.03350231654787303 	 89.52 	 0.8742254348440572 	 61565632
SAMN08365932 	 61801237 	 96.56 	 0.03662489797736573 	 87.54 	 0.9488803985877602 	 60524526
SAMN08365943 	 67064276 	 96.55 	 0.039425416297642575 	 86.65 	 0.9455740062346252 	 65502264
SAMN08365942 	 62138315 	 95.99 	 0.033643751041527274 	 86.84 	 0.9547630001649305 	 60713784
SAMN08365939 	 82094095 	 95.87 	 0.017287808581116584 	 86.3 	 0.9554131185966932 	 80377570
SAMN08365940 	 73486901 	 96.66 	 0.028233548724554327 	 87.74 	 0.9527700930533428 	 72009630
SAMN08365936 	 69900827 	 96.67 	 0.042018558664549135 	 88.48 	 0.9568871579243772 	 68508604
SAMN08365954 	 56555605 	 90.58 	 0.026369959263984534 	 82.14 	 0.9574682352404768 	 55438780
SAMN08365950 	 66811290 	 97.65 	 0.05647106948541182 	 89.99 	 0.9596963980294732 	 65551264
SAMN08365951 	 46999273 	 97.0 	 0.031320569575618754 	 87.6 	 0.8998635791832992 	 45839866
SAMN08365952 	 69224544 	 97.53 	 0.03857965463810061 	 89.8 	 0.9536906108418558 	 67907580
SAMN08365953 	 72004854 	 96.32 	 0.03749818033100935 	 87.76 	 0.958445668860145 	 70561696
SAMN08365946 	 57120814 	 97.6 	 0.03638794433146558 	 88.86 	 0.9499568792066181 	 56005008
SAMN08365947 	 75846059 	 97.59 	 0.044864928314864716 	 89.19 	 0.8915738667727751 	 74345144
SAMN08365949 	 62896129 	 98.01 	 0.03933849410668819 	 89.77 	 0.9534171395082316 	 61715294
SAMN08365914 	 71427459 	 96.71 	 0.020625079214983695 	 87.18 	 0.9467166588021056 	 69951400
SAMN08365915 	 67794304 	 95.66 	 0.03064792876994504 	 86.56 	 0.9573575209171947 	 66322834
SAMN08365930 	 75360074 	 95.8 	 0.038916787687867715 	 87.61 	 0.9552007748358304 	 73974586
SAMN08365931 	 67668661 	 97.54 	 0.042147102629975196 	 88.79 	 0.959220306088477 	 66232754
SAMN08365928 	 57303069 	 97.47 	 0.03181881933758208 	 88.73 	 0.96112725707464 	 56125080
SAMN08365929 	 60734435 	 95.27 	 0.03109675754783921 	 85.31 	 0.9613901803698115 	 59260756
SAMN08365926 	 73782425 	 96.16 	 0.018014425522067078 	 86.58 	 0.9523493569849794 	 72243268
SAMN08365927 	 58955605 	 96.94 	 0.05109069782253952 	 86.39 	 0.9487594533361053 	 57172442
SAMN08365906 	 64625784 	 94.26 	 0.016076648292576226 	 84.37 	 0.9536235166915638 	 63266964
SAMN08365907 	 59332859 	 97.41 	 0.03391613068906725 	 88.39 	 0.958522414908956 	 58042050
SAMN08365908 	 72009884 	 92.03 	 0.030775011385936964 	 84.49 	 0.9576993440043364 	 70622326
SAMN08365909 	 60041489 	 86.08 	 0.028784162897758914 	 78.19 	 0.9606703801925337 	 58898286
SAMN08365910 	 58700814 	 95.58 	 0.03774475767916949 	 86.0 	 0.9514821947393117 	 57348928
