Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN09786226 	 145098770 	 97.07 	 0.11157385414087245 	 83.52 	 0.963517283545959 	 139953670
SAMN09786225 	 128976595 	 97.11 	 0.1142131795307513 	 83.41 	 0.9610596002990951 	 124372324
SAMN09786224 	 126553752 	 97.1 	 0.11523599869247654 	 83.26 	 0.9665021781460037 	 122030248
SAMN09786229 	 147204483 	 97.13 	 0.11012318829991068 	 84.32 	 0.9656692816443471 	 142187368
SAMN09786228 	 125018602 	 97.21 	 0.12038738843040334 	 84.08 	 0.9675974498648777 	 120598902
SAMN09786213 	 127690891 	 97.05 	 0.13606070772894835 	 82.4 	 0.9644461698512974 	 122903266
SAMN09786212 	 138783086 	 96.98 	 0.13671663851025764 	 81.46 	 0.9618723073336275 	 133325840
SAMN09786207 	 129124080 	 97.01 	 0.1429814330526111 	 83.27 	 0.9629615877752274 	 124435258
SAMN09786206 	 135506492 	 97.02 	 0.1252293358756568 	 83.47 	 0.9714949340636132 	 130785648
SAMN09786209 	 119227320 	 97.04 	 0.1334664404097987 	 83.14 	 0.9642123238850467 	 114847866
SAMN09786208 	 135164348 	 97.07 	 0.1601324559343119 	 83.34 	 0.9683296530233223 	 130023264
SAMN09786211 	 114112470 	 97.06 	 0.1039804063482282 	 83.49 	 0.9578020741571004 	 110104170
SAMN09786210 	 144772033 	 97.03 	 0.14951656443202674 	 83.6 	 0.969592673174997 	 139504414
SAMN09786222 	 123476937 	 97.15 	 0.12206919256508607 	 84.05 	 0.9680912611044348 	 118966644
SAMN09786218 	 147230629 	 97.06 	 0.1256721792582982 	 83.29 	 0.9742657039195599 	 141890888
SAMN09786219 	 148328174 	 97.11 	 0.1298324821284458 	 83.55 	 0.9743979418790224 	 142948748
SAMN09786220 	 162340082 	 97.1 	 0.12042906939026925 	 83.61 	 0.9728054846036369 	 156600614
SAMN09786221 	 171206322 	 97.13 	 0.12320237216473817 	 83.81 	 0.9719298356731838 	 165115820
SAMN09786214 	 127722334 	 96.95 	 0.13090773145439075 	 82.0 	 0.9714518324086463 	 122860032
SAMN09786215 	 137749792 	 97.0 	 0.14141636598623683 	 83.05 	 0.9741982222146761 	 132657324
SAMN09786216 	 110673726 	 96.86 	 0.13472774016842987 	 82.1 	 0.9720393164533602 	 106460664
SAMN09786217 	 145264655 	 97.05 	 0.14418671906115083 	 83.14 	 0.974966816912651 	 139877680
SAMN09786227 	 158807629 	 97.2 	 0.1393213042680714 	 83.95 	 0.9647933358417865 	 152810834
SAMN09786223 	 133705095 	 96.94 	 0.13468117277056646 	 82.4 	 0.9679321826266731 	 128481746
