Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN10617437 	 2795167330 	 99.21 	 0.23717708950182959 	 73.53 	 0.05167751615245804 	 111867628
SAMN10617436 	 1975758979 	 98.89 	 0.26905579104039085 	 62.47 	 0.3161670679014147 	 506562892
SAMN10617513 	 190122570 	 98.93 	 0.09806814098925762 	 91.05 	 0.9507173045641221 	 184592658
SAMN10617512 	 172074229 	 99.02 	 0.10239776811668876 	 91.03 	 0.9672770602056021 	 167022922
SAMN10617511 	 192492896 	 98.92 	 0.10032514654462885 	 90.82 	 0.9710404363996736 	 186795922
SAMN10617505 	 194885485 	 98.65 	 0.09604329947917876 	 89.27 	 0.9854618542221519 	 189201356
SAMN10617506 	 192653195 	 98.73 	 0.19300649023754834 	 90.14 	 0.9857268093022754 	 187117496
SAMN10617507 	 196930518 	 98.76 	 0.17946237768998302 	 90.65 	 0.9850338747327387 	 191175138
SAMN10617508 	 182067087 	 98.77 	 0.17360025648128263 	 90.2 	 0.982374957333883 	 176754940
SAMN10617501 	 152012146 	 98.56 	 0.142465050128297 	 89.37 	 0.9837128113479012 	 147560286
SAMN10617502 	 199888020 	 98.52 	 0.23156408773272155 	 89.68 	 0.9846015761196116 	 194015010
SAMN10617503 	 185499329 	 98.65 	 0.20310173736531414 	 89.82 	 0.9842644695645342 	 180082488
SAMN10617504 	 199959433 	 98.65 	 0.09793439452291305 	 89.1 	 0.9846623796612805 	 194141092
SAMN10617509 	 236085822 	 98.57 	 0.22680895678690946 	 90.5 	 0.9910277965878548 	 229072892
SAMN10617510 	 212374483 	 98.67 	 0.22364629370280797 	 90.81 	 0.9917835919505708 	 206184176
SAMN10617480 	 195151301 	 98.67 	 0.19779677000462323 	 89.99 	 0.9858800266512813 	 189383442
SAMN10617479 	 214169188 	 98.54 	 0.2661121682919207 	 90.35 	 0.98388426077986 	 207836520
SAMN10617478 	 194472527 	 98.61 	 0.2690647352980609 	 90.53 	 0.9835105504900885 	 188755992
SAMN10617477 	 174198468 	 98.55 	 0.25645482140520315 	 90.6 	 0.9840484511817228 	 169107760
SAMN10617476 	 193670690 	 98.58 	 0.23337680575207329 	 90.39 	 0.9859204473671054 	 188011620
SAMN10617475 	 207678017 	 98.59 	 0.24142875458985147 	 90.37 	 0.9860428064550094 	 201570014
SAMN10617474 	 208895519 	 98.65 	 0.22031749278451493 	 90.64 	 0.9859380463645836 	 202785450
SAMN10617473 	 192460595 	 98.59 	 0.18570001822970567 	 89.9 	 0.9825718425513537 	 186781792
SAMN10617472 	 191467544 	 98.74 	 0.16731248717537214 	 89.89 	 0.9808096042953078 	 185845328
SAMN10617471 	 205939021 	 98.74 	 0.16712202395096362 	 89.71 	 0.9819166343182008 	 199832800
SAMN10617469 	 181030249 	 98.59 	 0.10663770340392119 	 89.21 	 0.9893463275657685 	 175596264
SAMN10617470 	 208688698 	 98.58 	 0.10584877001820195 	 88.78 	 0.9879011522177187 	 202421280
SAMN10617465 	 200977466 	 98.61 	 0.14740444085408064 	 89.49 	 0.9840786067093829 	 195031638
SAMN10617466 	 215548599 	 98.57 	 0.1373507929875248 	 89.15 	 0.9856166981887954 	 209040646
SAMN10617468 	 181009547 	 98.58 	 0.12545340495217083 	 89.37 	 0.9870890240531821 	 175596362
SAMN10617496 	 167412047 	 98.83 	 0.08855080184283273 	 90.53 	 0.980946201923429 	 163426010
SAMN10617495 	 175786688 	 98.81 	 0.0816613769980125 	 90.38 	 0.9677753549980539 	 171697102
SAMN10617498 	 180616673 	 98.56 	 0.11067380252320339 	 89.39 	 0.9840022404624599 	 175418412
SAMN10617497 	 173114493 	 98.83 	 0.0875099925920125 	 90.46 	 0.9779490813046253 	 169124302
SAMN10617492 	 170674564 	 98.88 	 0.09392655603912953 	 90.64 	 0.9817945111577342 	 166700942
SAMN10617491 	 174437135 	 98.86 	 0.10198796259752833 	 90.57 	 0.9816942939938732 	 170330074
SAMN10617494 	 177884308 	 98.86 	 0.09541223276423011 	 90.72 	 0.9823968051231433 	 173756686
SAMN10617493 	 170890853 	 98.84 	 0.0882520435426699 	 90.72 	 0.9801243199971079 	 166904012
SAMN10617500 	 167543038 	 98.58 	 0.1086972590290502 	 89.45 	 0.9847142786833054 	 162702296
SAMN10617499 	 198190923 	 98.6 	 0.13810212690719442 	 89.51 	 0.9851013437715461 	 192355410
SAMN10617435 	 2520954249 	 99.18 	 0.19429686206891572 	 72.55 	 0.036600652189117795 	 77439136
SAMN10617487 	 193789925 	 98.44 	 0.10352520648325758 	 90.47 	 0.9838421846105008 	 189212830
SAMN10617488 	 181280383 	 98.86 	 0.09975219988364654 	 90.79 	 0.9825580997036952 	 176978980
SAMN10617485 	 172865514 	 98.84 	 0.09553119426700689 	 91.1 	 0.9841658736890011 	 168988398
SAMN10617486 	 173364209 	 98.82 	 0.09494190926109783 	 90.96 	 0.9832431263148236 	 169369526
SAMN10617483 	 184102241 	 98.83 	 0.09839479357559802 	 90.81 	 0.9828718979598151 	 179792412
SAMN10617484 	 178935780 	 98.88 	 0.10640520302870672 	 91.47 	 0.9831570416613806 	 174925452
SAMN10617481 	 98541829 	 98.67 	 0.1805517938986093 	 89.72 	 0.9845101291249116 	 95632768
SAMN10617482 	 199013732 	 98.68 	 0.18779627729407133 	 90.15 	 0.9861524120171221 	 193066870
SAMN10617489 	 130631681 	 98.88 	 0.10330772670681625 	 91.02 	 0.9842458006221305 	 127600474
SAMN10617490 	 167014257 	 98.85 	 0.0986326933753925 	 90.95 	 0.9830560607610654 	 163049576
SAMN10617467 	 205961918 	 98.61 	 0.12235808563406367 	 89.52 	 0.9865586834742879 	 199906682
