Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMEA3167980 	 141381422 	 99.12 	 0.027464464178327475 	 93.5 	 0.925372242973536 	 140105618
SAMEA3167982 	 148538650 	 98.82 	 0.01597304809219688 	 79.32 	 0.9299163572251959 	 146427172
SAMEA3167983 	 148843419 	 99.11 	 0.023554692733845358 	 93.71 	 0.8971292059133187 	 148488502
SAMEA3167984 	 191085243 	 98.72 	 0.025399083277194777 	 83.56 	 0.9563332114217405 	 190286198
SAMEA3167985 	 252511383 	 99.08 	 0.024644429593892802 	 77.83 	 0.9123849480508847 	 247684328
SAMEA3167986 	 139909150 	 99.23 	 0.014590225156824982 	 88.47 	 0.9212917204355342 	 138846344
SAMEA3167987 	 148584125 	 99.33 	 0.023257720163577366 	 95.03 	 0.9186801106304416 	 148292298
SAMEA3167988 	 147012628 	 98.78 	 0.023461984503807386 	 81.56 	 0.951309287131826 	 146348380
SAMEA3167989 	 178015686 	 98.86 	 0.014540550095119146 	 85.7 	 0.9489126755573969 	 177006242
SAMEA3167990 	 127465583 	 99.29 	 0.01032443400819812 	 83.21 	 0.9239248938655525 	 126446964
SAMEA3167992 	 158322883 	 99.16 	 0.057391817454461085 	 96.72 	 0.9549383213082191 	 157639694
SAMEA3167993 	 138395060 	 99.06 	 0.010757016905083173 	 87.87 	 0.9314735720301884 	 137730868
SAMEA3167995 	 270938927 	 99.22 	 0.026482802155631185 	 89.69 	 0.9351863027358448 	 269284874
SAMEA3167996 	 163633391 	 98.94 	 0.038025264660071736 	 95.9 	 0.9517990820838915 	 163025110
SAMEA3167997 	 163725463 	 99.28 	 0.07839144116514118 	 97.16 	 0.9451531866637752 	 162881224
SAMEA3167998 	 170167699 	 99.28 	 0.02533196385290489 	 85.56 	 0.954939280147535 	 169515502
SAMEA3167999 	 124505877 	 98.7 	 0.02075215292849188 	 87.91 	 0.8909883385243031 	 123837972
SAMEA3172316 	 242345924 	 99.3 	 0.21546792757281943 	 96.45 	 0.9412094394029324 	 240596486
SAMEA3172317 	 175718170 	 99.01 	 0.03677126275558185 	 92.51 	 0.9274794245101758 	 175300482
SAMEA3172318 	 152131261 	 99.2 	 0.12377753182496791 	 96.53 	 0.932558708800135 	 151108732
SAMEA3172319 	 149832499 	 98.95 	 0.026520034215006986 	 94.4 	 0.9090314607496495 	 149205146
SAMEA3172320 	 136928530 	 98.65 	 0.020365025462553348 	 85.79 	 0.9536081232272186 	 136309344
SAMEA3172321 	 154585076 	 98.57 	 0.019563246842793543 	 79.47 	 0.9338439827263983 	 153882700
SAMEA3172323 	 317835091 	 99.15 	 0.43996191093953185 	 95.02 	 0.8929513466612603 	 316209686
SAMEA3172324 	 139696019 	 98.91 	 0.04503199192813075 	 95.27 	 0.9362416820955155 	 139129948
SAMEA3172325 	 143875029 	 98.82 	 0.03667342440639925 	 91.23 	 0.9282001164612396 	 143479752
SAMEA3172327 	 140871127 	 98.96 	 0.3584329455957288 	 94.33 	 0.9180483418951816 	 139827752
SAMEA3172328 	 115080829 	 98.73 	 0.022189125870825974 	 94.96 	 0.9175631221954857 	 114608108
SAMEA3172329 	 180470754 	 98.92 	 0.35314322452490005 	 94.34 	 0.9429105850213233 	 179391758
SAMEA3172330 	 134530463 	 99.04 	 0.3364449284620391 	 94.94 	 0.9445244275287589 	 133765072
SAMEA3172331 	 241031314 	 98.91 	 0.030803586790386913 	 85.08 	 0.9470223680843532 	 239912868
SAMEA3172332 	 142998024 	 98.6 	 0.01983767971507075 	 80.89 	 0.9439970894487171 	 142339474
SAMEA3172333 	 141649089 	 98.84 	 0.021454165511788078 	 87.11 	 0.951157931538029 	 141014954
SAMEA3172334 	 141347439 	 99.06 	 0.02237916740748306 	 81.09 	 0.9501115592068724 	 140747134
SAMEA3172489 	 102833619 	 99.0 	 0.01733992265700578 	 80.82 	 0.9462741593120152 	 102418392
SAMEA3172490 	 223622068 	 99.13 	 0.024750249604166972 	 85.55 	 0.9369958199158244 	 222805946
SAMEA3172491 	 239338389 	 98.83 	 0.03061085198496928 	 80.72 	 0.947211219119049 	 238329086
SAMEA3172492 	 101628510 	 98.84 	 0.020988765849268086 	 83.42 	 0.9548071677724131 	 101236218
SAMEA3172493 	 153302244 	 99.14 	 0.019707180541988674 	 87.63 	 0.9362019373156671 	 152730400
SAMEA3172494 	 102290120 	 99.01 	 0.04986023088055816 	 81.72 	 0.9486769819880846 	 101857480
SAMEA3172495 	 172433540 	 99.27 	 0.022075838610052315 	 85.87 	 0.9322261663123733 	 171879604
SAMEA3172497 	 116182467 	 99.04 	 0.010346862405667458 	 89.59 	 0.8190509519217927 	 115750184
SAMEA3172498 	 168467563 	 99.22 	 0.014251764299576175 	 87.87 	 0.8313158488139696 	 167956758
SAMEA3172499 	 73028950 	 99.09 	 0.012164258146940356 	 84.45 	 0.953491747659699 	 72771806
SAMEA3172500 	 95163321 	 98.99 	 0.016770904832125393 	 85.4 	 0.9461426502157653 	 94854010
SAMEA3172501 	 86908029 	 98.99 	 0.014207064804104578 	 79.94 	 0.9445836420332145 	 86566468
SAMEA3172502 	 181181414 	 98.79 	 0.0387741813296589 	 93.6 	 0.9507035944803731 	 180284326
SAMEA3172503 	 94866522 	 98.9 	 0.013252283034050726 	 86.03 	 0.925875322762541 	 94500874
SAMEA3172505 	 118590161 	 99.03 	 0.020665635153324396 	 83.02 	 0.9595170399314615 	 118204472
SAMEA3172506 	 150077400 	 99.16 	 0.043998230246526125 	 84.28 	 0.9507859839389202 	 149552014
SAMEA2785538 	 251208805 	 99.13 	 0.09522031283895482 	 93.97 	 0.8660050403782251 	 249230606
SAMEA2785539 	 214825773 	 98.66 	 0.0494354371530645 	 84.32 	 0.9102153351758744 	 213498254
SAMEA2785540 	 273748724 	 99.01 	 0.07745833730351927 	 84.18 	 0.9178243201172358 	 272159292
SAMEA2785541 	 333618160 	 99.07 	 0.07585921581726845 	 80.37 	 0.9352565082276942 	 331486752
SAMEA2785542 	 290315348 	 99.02 	 0.09405316042746731 	 82.89 	 0.8912964337120005 	 288613668
SAMEA2785543 	 181388949 	 98.84 	 0.01950139751898557 	 87.4 	 0.9444611517082726 	 180343172
SAMEA2785544 	 141214362 	 98.85 	 0.053519733354033774 	 93.06 	 0.900048072705886 	 140798014
SAMEA2785545 	 127329453 	 98.94 	 0.04370679264600312 	 92.57 	 0.9551260181613135 	 127011634
SAMEA2785546 	 131702506 	 98.8 	 0.08118492445390522 	 91.47 	 0.9554057933792679 	 131300608
SAMEA2785547 	 144371458 	 98.89 	 0.02281245230618922 	 86.25 	 0.9397059430696812 	 143707420
SAMEA2785548 	 181185121 	 98.6 	 0.04352343038146052 	 81.58 	 0.9555100291498431 	 180421588
SAMEA2785549 	 186751156 	 99.06 	 0.04258726516263171 	 86.21 	 0.9439846434142694 	 185846988
SAMEA2785550 	 222782651 	 99.01 	 0.05670451421282351 	 82.34 	 0.9344199412936843 	 221402186
SAMEA2785551 	 169549853 	 98.95 	 0.08323395007602867 	 91.65 	 0.8827199248706749 	 168344532
SAMEA2785553 	 229629783 	 99.01 	 0.07197940434407848 	 81.25 	 0.9016883211704705 	 227927158
SAMEA2785554 	 161283827 	 98.88 	 0.06248770374229773 	 82.07 	 0.9468338809366051 	 160131430
SAMEA2785555 	 194295327 	 98.92 	 0.05291855012035364 	 86.61 	 0.8439224741337323 	 192940130
SAMEA2785557 	 140737262 	 98.81 	 0.04385542188535684 	 80.43 	 0.943838568995451 	 139681860
SAMEA3167991 	 140138436 	 99.04 	 0.015967789165279394 	 84.62 	 0.9394164101404173 	 139384388
SAMEA3172504 	 224298275 	 99.13 	 0.026204316551253014 	 88.22 	 0.951560714063592 	 223407944
SAMEA3167981 	 213415061 	 99.13 	 0.11201575412711852 	 85.73 	 0.9418767743108608 	 211473080
SAMEA3167994 	 183699230 	 99.19 	 0.035538216463944894 	 83.01 	 0.9323050571607293 	 182465234
SAMEA3172326 	 174462990 	 98.73 	 0.02184161236718458 	 92.87 	 0.9204486051708917 	 173628830
SAMEA2785552 	 226197194 	 98.59 	 0.12915365342684135 	 78.36 	 0.8886886908225478 	 224618754
SAMEA3172322 	 244642444 	 99.01 	 0.030005169503620557 	 83.17 	 0.8930078889387973 	 243785008
SAMEA2785556 	 155094313 	 98.59 	 0.03683402627406461 	 81.91 	 0.9468113306999905 	 154098138
SAMEA3172496 	 187795913 	 99.06 	 0.01600551338942078 	 88.17 	 0.9222688719523333 	 187057902
