Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMEA3175116 	 197566423 	 99.24 	 0.013160692796467748 	 89.38 	 0.8218694867091294 	 196755468
SAMEA3175117 	 191175657 	 98.89 	 0.03383532768505145 	 84.51 	 0.902431234354254 	 190301098
SAMEA3175118 	 238363875 	 98.88 	 0.022543583837945243 	 92.19 	 0.8652624617605955 	 236988082
SAMEA3175119 	 186047976 	 99.19 	 0.02077193250411926 	 94.55 	 0.8922929902606548 	 185279780
SAMEA3175120 	 185169407 	 99.02 	 0.03204898744423802 	 93.04 	 0.8841975583573841 	 184657468
SAMEA3175122 	 209613615 	 98.98 	 0.0354444199628922 	 86.09 	 0.8273221423405435 	 208715968
SAMEA3175123 	 217290855 	 98.95 	 0.020938497388672893 	 86.7 	 0.8261132118807613 	 216325662
SAMEA3175124 	 234587412 	 99.17 	 0.019086335288954037 	 90.31 	 0.8700545315278513 	 233663646
SAMEA3175125 	 259203772 	 99.11 	 0.019838306982662274 	 91.95 	 0.9018144683098555 	 258168470
SAMEA3175126 	 285742632 	 99.18 	 0.022390540589687015 	 90.42 	 0.9202896740083975 	 284556098
SAMEA3175127 	 287030114 	 98.89 	 0.032355709547605166 	 84.37 	 0.8352077282577244 	 285658838
SAMEA3175128 	 187814202 	 98.97 	 0.025428779874697653 	 93.03 	 0.8837741479653609 	 187211488
SAMEA3175129 	 268500860 	 98.97 	 0.014959225828922857 	 89.07 	 0.8737063761954005 	 267369088
SAMEA3175130 	 199372711 	 99.17 	 0.014960061409808486 	 93.43 	 0.8828114515041465 	 198588632
SAMEA3175131 	 201099808 	 98.91 	 0.02713154256218882 	 93.25 	 0.920875364336125 	 200438614
SAMEA3175132 	 205824896 	 98.97 	 0.014095874971315423 	 86.72 	 0.6592787620895966 	 205094206
SAMEA3175133 	 298354032 	 98.89 	 0.03437844272203434 	 93.19 	 0.8628718866233663 	 296931358
SAMEA3175134 	 202931071 	 98.9 	 0.023669391662551272 	 90.93 	 0.6833215748322599 	 201836076
SAMEA3175135 	 136280543 	 99.13 	 0.010828816553805484 	 87.41 	 0.574968410950859 	 135751416
SAMEA3175121 	 190743286 	 98.93 	 0.03053918762833938 	 93.1 	 0.8857424784701162 	 190143360
