Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN05930393 	 49906652 	 92.64 	 0.06289468185523646 	 86.68 	 0.926360547798454 	 49365044
SAMN05930394 	 99216402 	 97.16 	 0.03019359641765683 	 89.76 	 0.9544085760193146 	 98087696
SAMN05930395 	 151358937 	 96.75 	 0.03659868462210461 	 90.37 	 0.962033084770505 	 149687280
SAMN05930396 	 48398146 	 91.99 	 0.04923453059544884 	 86.74 	 0.9493762874833763 	 47879600
SAMN05930397 	 126841533 	 95.52 	 0.04150459928610292 	 87.86 	 0.9331707145318129 	 125412978
SAMN05930398 	 124499323 	 96.38 	 0.04009535859082543 	 89.0 	 0.9488085922120838 	 123099664
SAMN05930399 	 71394086 	 96.17 	 0.05237087845063245 	 90.41 	 0.9487699332807291 	 70559278
SAMN05930400 	 102957650 	 95.6 	 0.03397427000324891 	 88.36 	 0.9485648532492372 	 101841918
SAMN05930391 	 55471814 	 92.68 	 0.05499108069550421 	 86.73 	 0.9469367391496938 	 54833726
SAMN05930392 	 42571390 	 96.4 	 0.058819408997451104 	 90.33 	 0.9033369892331767 	 42082754
SAMN05930643 	 83596039 	 95.85 	 0.04096515864824648 	 88.27 	 0.9318446969286995 	 82652090
SAMN05930428 	 3085068 	 98.68 	 0.010716133323479418 	 90.85 	 0.9487775890284804 	 3049504
SAMN05930427 	 7980213 	 98.65 	 0.008503783044387411 	 90.08 	 0.9182832051064531 	 7891140
SAMN05930430 	 13976535 	 98.66 	 0.010213976497035924 	 90.18 	 0.9476234306835264 	 13822458
SAMN05930429 	 8522462 	 98.68 	 0.008153160436502972 	 90.7 	 0.9530702261367063 	 8426538
SAMN05930424 	 6513472 	 98.71 	 0.006341318424336513 	 90.59 	 0.9478620002702137 	 6440364
SAMN05930423 	 2387046 	 98.67 	 0.008054725380239845 	 90.4 	 0.926278771977177 	 2361092
SAMN05930425 	 11883078 	 98.55 	 0.00815992287520119 	 90.2 	 0.9494851727190889 	 11755988
SAMN05930422 	 7637657 	 98.69 	 0.005935851793292105 	 90.86 	 0.9621701024678062 	 7554798
SAMN05930421 	 2042681 	 98.63 	 0.00786662234582884 	 90.3 	 0.9571158408562052 	 2020372
SAMN05930528 	 10322392 	 98.71 	 0.008819758056078476 	 90.68 	 0.9570947640391082 	 10209148
SAMN05930526 	 11370106 	 98.69 	 0.007276977013231011 	 90.25 	 0.9509130593484348 	 11243790
SAMN05930527 	 13291859 	 98.71 	 0.009127617137678033 	 90.53 	 0.959908380540022 	 13145018
