Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN14363112 	 50811713 	 95.68 	 0.2141819544639245 	 82.15 	 0.9888404059652105 	 48272408
SAMN14363107 	 46119520 	 93.57 	 0.20860288658685086 	 80.54 	 0.9888245043006876 	 43847356
SAMN14363106 	 57468247 	 95.55 	 0.2251506471043044 	 82.69 	 0.9892522405036291 	 54559568
SAMN14363111 	 48676535 	 95.94 	 0.1450268183633038 	 82.98 	 0.9824585003392079 	 46260206
SAMN14363109 	 54788059 	 94.23 	 0.21218970359946498 	 80.98 	 0.9895494772287465 	 52078378
SAMN14363104 	 68816822 	 96.71 	 0.2347600707280554 	 82.2 	 0.9892824453064452 	 64987056
SAMN14363098 	 141062254 	 95.22 	 0.423753763356142 	 80.34 	 0.9892001477217495 	 133504278
SAMN14363096 	 66138350 	 96.26 	 0.2143352381787571 	 81.5 	 0.9850482887239964 	 62486024
SAMN14363101 	 61137731 	 88.89 	 0.21126585479595245 	 74.44 	 0.9885140920396621 	 57028236
SAMN14363100 	 62195995 	 88.99 	 0.19240827323367043 	 75.69 	 0.9884041585503592 	 58846140
SAMN14363108 	 58606676 	 96.17 	 0.2316839808488712 	 82.55 	 0.9888786349819166 	 55709714
SAMN14363105 	 52144148 	 95.1 	 0.21812884928141887 	 81.84 	 0.989745476079416 	 49498644
SAMN14363103 	 76165143 	 96.63 	 0.22785283814145796 	 75.34 	 0.9837205311229303 	 69220412
SAMN14363097 	 58275619 	 96.86 	 0.20928230723726848 	 82.34 	 0.9847437463461388 	 55168228
SAMN14363102 	 46811768 	 89.37 	 0.19222499778260885 	 77.18 	 0.9891200115637334 	 44396808
SAMN14363099 	 56825294 	 96.7 	 0.2609246861089711 	 82.24 	 0.9874901370106893 	 53847456
SAMN14363110 	 48490027 	 94.12 	 0.20517072510600995 	 80.89 	 0.9889700441827908 	 46112908
SAMN14363095 	 53853717 	 94.98 	 0.22281379389281525 	 77.01 	 0.9873612390726232 	 50728938
