Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN14363155 	 41456644 	 96.5 	 0.24836672741768484 	 76.93 	 0.9839396397999525 	 37953732
SAMN14363153 	 42891240 	 95.52 	 0.28294845287755727 	 71.89 	 0.9816306295967474 	 39500952
SAMN14363152 	 45696986 	 93.59 	 0.25753206130487466 	 69.74 	 0.9825444673567445 	 41785038
SAMN14363150 	 46227263 	 93.54 	 0.32992956991635003 	 68.94 	 0.9889686533062892 	 42260832
SAMN14363147 	 60091398 	 95.07 	 0.34349110999214894 	 69.43 	 0.9881382464223338 	 55508832
SAMN14363146 	 50977809 	 93.61 	 0.3178971658040462 	 67.65 	 0.988450006175682 	 47120250
SAMN14363144 	 78046861 	 95.35 	 0.34717105406712 	 69.53 	 0.9895462636056758 	 70976508
SAMN14363160 	 55415454 	 93.91 	 0.2856201629242269 	 65.69 	 0.9865491322070007 	 51717510
SAMN14363159 	 98597292 	 94.7 	 0.32406309901493036 	 80.42 	 0.991406780133925 	 93663104
SAMN14363158 	 136640314 	 93.29 	 0.32665765829548665 	 76.71 	 0.9897773675796917 	 129208400
SAMN14363157 	 44278226 	 96.51 	 0.26802765314039456 	 70.4 	 0.9793309748464017 	 40673292
SAMN14363156 	 42940684 	 94.62 	 0.26498208552057534 	 70.96 	 0.982794461164154 	 39683432
SAMN14363154 	 44602545 	 95.66 	 0.24575023689791692 	 74.77 	 0.9827279408692586 	 41726308
SAMN14363151 	 46156666 	 93.23 	 0.2420229832024696 	 70.64 	 0.9800490313360131 	 42609284
SAMN14363149 	 47211416 	 93.38 	 0.3000524068161819 	 65.02 	 0.9889069060997158 	 42794622
SAMN14363145 	 56807396 	 95.36 	 0.31487628829175696 	 68.8 	 0.9855695180862618 	 52502260
SAMN14363143 	 47008894 	 94.93 	 0.32486180168374096 	 69.22 	 0.9897364111594631 	 42474932
SAMN14363148 	 50281613 	 95.9 	 0.3282530136811641 	 72.54 	 0.988652568369551 	 46549328
SAMN14363161 	 84230901 	 94.82 	 0.3131385119577434 	 66.24 	 0.9852686382071464 	 78208384
