Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN14363266 	 68221646 	 96.63 	 0.20408966678992177 	 83.86 	 0.9886018039245288 	 64855430
SAMN14363264 	 68905230 	 95.1 	 0.16592281892100208 	 80.51 	 0.9905966380637057 	 65440490
SAMN14363261 	 47874704 	 93.45 	 0.2814084239559998 	 78.41 	 0.9827297649932815 	 45417544
SAMN14363259 	 42885020 	 90.31 	 0.25122665210369494 	 79.15 	 0.9904312182229238 	 40711388
SAMN14363258 	 89081476 	 93.45 	 0.15719124366551807 	 76.21 	 0.9861594409839971 	 83373848
SAMN14363256 	 63013531 	 97.71 	 0.15866568404173384 	 85.68 	 0.9873359004246822 	 58644204
SAMN14363250 	 49555411 	 97.33 	 0.15847776946093736 	 84.8 	 0.9861122081102661 	 46868582
SAMN14363247 	 44283209 	 96.75 	 0.15295583027869547 	 82.55 	 0.9855603887548464 	 41797076
SAMN14363265 	 58225872 	 96.52 	 0.18933341178643062 	 84.1 	 0.9883806725640104 	 55355924
SAMN14363263 	 54186826 	 88.55 	 0.16877873599756515 	 77.1 	 0.981992944356833 	 51593980
SAMN14363262 	 56785373 	 95.42 	 0.18403218025881418 	 80.97 	 0.9812472623379381 	 53530814
SAMN14363260 	 62414453 	 96.24 	 0.18520585288154331 	 55.48 	 0.9870009103070563 	 53984834
SAMN14363257 	 47671032 	 97.24 	 0.15777178895560726 	 84.23 	 0.9864178958116272 	 45044716
SAMN14363253 	 62447601 	 91.9 	 0.14698358068230674 	 75.75 	 0.9855248837302569 	 58436152
SAMN14363251 	 47213482 	 96.34 	 0.16118563337480596 	 82.9 	 0.9873385732868848 	 44508512
SAMN14363249 	 44649978 	 96.25 	 0.15505779196576536 	 82.38 	 0.9846136501703675 	 42305428
SAMN14363248 	 50979634 	 93.83 	 0.1546516791391637 	 82.38 	 0.9850822363435732 	 48099162
SAMN14363255 	 50254805 	 97.16 	 0.16695820429509178 	 84.56 	 0.9864742592226331 	 47582724
SAMN14363254 	 44725258 	 97.16 	 0.15712018922283244 	 83.64 	 0.9861530024484421 	 41945018
SAMN14363252 	 43669233 	 93.62 	 0.17121402155151202 	 79.09 	 0.9845865023263062 	 40944266
