Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN14363341 	 56119398 	 91.65 	 0.1544456873895903 	 73.31 	 0.9890261787660346 	 52524148
SAMN14363339 	 64829260 	 93.85 	 0.1698397452014723 	 73.63 	 0.9887373720606485 	 60695714
SAMN14363338 	 58812440 	 92.71 	 0.1664286671323278 	 71.27 	 0.9873782700656916 	 54981296
SAMN14363337 	 62069361 	 89.83 	 0.21744868615612137 	 60.86 	 0.9883803495718028 	 57031432
SAMN14363335 	 69970142 	 93.05 	 0.2422377247712317 	 74.36 	 0.9909835908026404 	 64859878
SAMN14363334 	 57735803 	 94.19 	 0.21334789437327129 	 74.36 	 0.9910410884400401 	 53171168
SAMN14363332 	 57595721 	 93.49 	 0.17398820304723678 	 77.44 	 0.981452379241405 	 53756518
SAMN14363330 	 43422103 	 94.07 	 0.1672444330943621 	 77.04 	 0.9850057792170098 	 40215156
SAMN14363327 	 41851757 	 93.22 	 0.18919776773051608 	 73.45 	 0.9802212253946712 	 38955156
SAMN14363326 	 59189910 	 93.68 	 0.1982711073559666 	 75.09 	 0.981773460656274 	 55140898
SAMN14363343 	 73615903 	 93.85 	 0.18720649259712266 	 73.85 	 0.9911229416859132 	 68841114
SAMN14363342 	 62340015 	 92.3 	 0.18367502798964677 	 74.48 	 0.9917492014921551 	 58503934
SAMN14363336 	 60194768 	 94.21 	 0.22906552277101558 	 75.56 	 0.9895176178328371 	 56024932
SAMN14363333 	 124285673 	 93.49 	 0.21016221234124066 	 75.88 	 0.9851270028083998 	 115664384
SAMN14363331 	 67443638 	 95.58 	 0.18375249864190304 	 78.89 	 0.9839205293507417 	 62704358
SAMN14363329 	 57078767 	 94.19 	 0.170335914929627 	 75.32 	 0.9834887131978702 	 52932348
SAMN14363328 	 84898222 	 93.48 	 0.1931470602529226 	 73.57 	 0.9823969643166878 	 79021434
SAMN14363325 	 51970962 	 94.38 	 0.18868528929674228 	 77.65 	 0.9821101286173634 	 48381102
SAMN14363340 	 58864541 	 93.08 	 0.18048981304381528 	 75.69 	 0.9907612119568543 	 55180628
