Sample	Total_Reads	Percent_mapped	Num_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	NumReadsPassingFilters
SAMN18196679 	 46964576 	 98.90 	 9032119 	 97.44 	 0.9974080991259029 	 46748366
SAMN18196678 	 41059212 	 98.90 	 7760876 	 97.34 	 0.9971683297440262 	 40864012
SAMN18196677 	 47518579 	 98.83 	 8970571 	 97.34 	 0.9972820303845419 	 47291804
SAMN18196712 	 57147381 	 99.00 	 11025925 	 97.66 	 0.9974211399939846 	 56866534
SAMN18196676 	 58399182 	 99.01 	 11694606 	 97.66 	 0.997388906335535 	 58120744
SAMN18196711 	 62995174 	 99.00 	 12832899 	 97.67 	 0.9973338459475827 	 62694484
SAMN18196709 	 53271584 	 98.97 	 9268663 	 97.59 	 0.9975169580911902 	 53026994
SAMN18196708 	 49791945 	 98.90 	 8955501 	 97.45 	 0.9974550758821886 	 49558338
SAMN18196706 	 46630000 	 98.92 	 8432423 	 97.43 	 0.9973598689768788 	 46408176
SAMN18196704 	 41009205 	 98.75 	 6711938 	 97.30 	 0.9974184064686269 	 40814822
SAMN18196675 	 57898859 	 98.88 	 12434313 	 97.52 	 0.9973450728565467 	 57625212
SAMN18196701 	 41564076 	 98.93 	 6829436 	 97.46 	 0.997537813255989 	 41365104
SAMN18196700 	 62273012 	 98.98 	 12803363 	 97.63 	 0.9975445338502582 	 61983084
SAMN18196699 	 42776307 	 98.92 	 7065758 	 97.52 	 0.997655729423904 	 42581024
SAMN18196698 	 46836293 	 98.93 	 9297439 	 97.44 	 0.997353513164525 	 46615250
SAMN18196696 	 45365104 	 98.95 	 8599255 	 97.52 	 0.9973307010810157 	 45155452
SAMN18196695 	 53625891 	 98.89 	 10952381 	 97.44 	 0.9972081849539628 	 53364888
SAMN18196692 	 47430173 	 98.92 	 9192938 	 97.62 	 0.9975684392168771 	 47199418
SAMN18196690 	 49362092 	 98.84 	 8983908 	 97.43 	 0.9975315518161773 	 49137694
SAMN18196689 	 24260320 	 98.94 	 3369518 	 97.52 	 0.9976676023914534 	 24144402
SAMN18196687 	 55765445 	 99.07 	 11103757 	 97.72 	 0.9975374071786406 	 55491370
SAMN18196686 	 50957238 	 98.74 	 9662810 	 97.39 	 0.9973715652356749 	 50717138
SAMN18196684 	 47862599 	 98.93 	 9229457 	 97.47 	 0.9973184911084011 	 47629378
SAMN18196683 	 49656038 	 98.92 	 8910155 	 97.60 	 0.997478337159434 	 49432016
SAMN18196682 	 48521383 	 98.85 	 9717617 	 97.40 	 0.997347849792093 	 48288908
SAMN18196673 	 45493605 	 98.99 	 8363860 	 97.61 	 0.9973969380822169 	 45273004
SAMN18196672 	 39630597 	 99.10 	 6616791 	 97.98 	 0.9978908864845464 	 39467796
SAMN18196722 	 48718545 	 98.77 	 9219514 	 97.29 	 0.9971914766742911 	 48482596
SAMN18196721 	 53155078 	 98.91 	 9924211 	 97.49 	 0.9973365880448622 	 52903462
SAMN18196718 	 60757108 	 98.93 	 12345169 	 97.60 	 0.9974116866515357 	 60452478
SAMN18196753 	 43491321 	 98.82 	 7534664 	 97.43 	 0.9972718519237057 	 43282466
SAMN18196717 	 55967775 	 98.87 	 11072861 	 97.36 	 0.9974288182400043 	 55711636
SAMN18196752 	 48797266 	 98.91 	 9053178 	 97.51 	 0.9974490781864436 	 48570338
SAMN18196748 	 43315764 	 98.89 	 7993777 	 97.51 	 0.9973900435797765 	 43115484
SAMN18196746 	 37883063 	 98.96 	 6446423 	 97.50 	 0.9971499675642188 	 37702336
SAMN18196745 	 44083691 	 99.02 	 7883901 	 97.60 	 0.9973001135394459 	 43871230
SAMN18196744 	 34343645 	 98.83 	 5967280 	 97.38 	 0.9970076813909028 	 34180528
SAMN18196742 	 15571907 	 99.08 	 2063884 	 97.85 	 0.9973362370401352 	 15490040
SAMN18196740 	 43019662 	 99.04 	 7547351 	 97.74 	 0.9972994959223651 	 42817524
SAMN18196739 	 76328737 	 98.97 	 16587157 	 97.77 	 0.9975768296437938 	 75993296
SAMN18196738 	 39916821 	 98.99 	 6972525 	 97.63 	 0.9974646056651519 	 39736586
SAMN18196734 	 41586273 	 98.98 	 7048902 	 97.64 	 0.9973125812380602 	 41391486
SAMN18196733 	 42571938 	 98.94 	 8012718 	 97.57 	 0.9973066974085364 	 42376144
SAMN18196715 	 44007353 	 98.83 	 7652189 	 97.35 	 0.9973908884275806 	 43806868
SAMN18196731 	 48338880 	 98.99 	 8971766 	 97.61 	 0.9973782224806125 	 48114078
SAMN18196728 	 34938305 	 98.81 	 5847549 	 97.35 	 0.9972523604067567 	 34773394
SAMN18196727 	 40789059 	 98.93 	 7155009 	 97.48 	 0.9971659535167054 	 40596022
SAMN18196726 	 63105179 	 98.77 	 13239097 	 97.33 	 0.997351494669997 	 62817390
SAMN18196725 	 43652845 	 98.74 	 7864090 	 97.27 	 0.9974579581412338 	 43457374
SAMN18196724 	 61479501 	 98.78 	 11925535 	 97.45 	 0.9974506606555416 	 61205348
SAMN18196723 	 56771771 	 98.82 	 10868065 	 97.47 	 0.9974069187805518 	 56507698
SAMN18196713 	 54838334 	 98.91 	 10664037 	 97.48 	 0.9972512591832691 	 54577898
SAMN18196803 	 59383969 	 98.81 	 11357104 	 97.43 	 0.9974443874775762 	 59114956
SAMN18196802 	 71660242 	 98.88 	 15275493 	 97.58 	 0.9974787565911547 	 71335990
SAMN18196801 	 55269137 	 98.82 	 10960577 	 97.38 	 0.9972465162569358 	 55006610
SAMN18196799 	 56100209 	 98.91 	 11088468 	 97.47 	 0.9972991263148338 	 55841024
SAMN18196815 	 128373807 	 98.08 	 44245756 	 96.65 	 0.9957779852399878 	 127514798
SAMN18196814 	 44964029 	 98.89 	 7695058 	 97.62 	 0.997445882877638 	 44765068
SAMN18196813 	 45495157 	 98.87 	 8008832 	 97.53 	 0.9972162809645805 	 45287646
SAMN18196812 	 48264196 	 98.83 	 8538618 	 97.51 	 0.9974964050939616 	 48051726
SAMN18196810 	 48548494 	 99.08 	 8510693 	 97.89 	 0.9973394608956256 	 48334922
SAMN18196809 	 62642850 	 98.98 	 11909548 	 97.79 	 0.9976479051768448 	 62371688
SAMN18196806 	 44186285 	 98.99 	 7517874 	 97.64 	 0.9974164322600367 	 43983232
SAMN18196796 	 56894401 	 98.85 	 11367412 	 97.47 	 0.9973060580130493 	 56633692
SAMN18196795 	 52587561 	 99.01 	 10231925 	 97.63 	 0.99724065945769 	 52325724
SAMN18196763 	 57911198 	 98.96 	 11595515 	 97.68 	 0.9973572269584999 	 57638084
SAMN18196760 	 51032461 	 98.94 	 9718861 	 97.66 	 0.9973696578760414 	 50790226
SAMN18196759 	 39495306 	 98.91 	 7000307 	 97.43 	 0.9971904174945739 	 39307918
SAMN18196794 	 56762603 	 99.02 	 10771732 	 97.75 	 0.9974198085041598 	 56499252
SAMN18196793 	 45386342 	 98.76 	 8400937 	 97.24 	 0.9970760973742236 	 45160458
SAMN18196792 	 60697241 	 98.99 	 12513838 	 97.55 	 0.9974481003107916 	 60412084
SAMN18196791 	 56748695 	 98.97 	 11843442 	 97.59 	 0.9974048573370873 	 56478068
SAMN18196790 	 58037148 	 98.86 	 11518297 	 97.52 	 0.9976060658993396 	 57773566
SAMN18196789 	 50907862 	 98.84 	 10631398 	 97.38 	 0.9974706955972901 	 50675982
SAMN18196788 	 51655746 	 98.84 	 9566898 	 97.46 	 0.9974579757504449 	 51421568
SAMN18196787 	 57604904 	 98.94 	 12227684 	 97.49 	 0.9973845516970594 	 57327388
SAMN18196786 	 48711426 	 98.96 	 9561936 	 97.56 	 0.997115551661289 	 48464590
SAMN18196785 	 52617600 	 98.86 	 10270871 	 97.45 	 0.9973862314811722 	 52371612
SAMN18196784 	 27371094 	 98.93 	 4508885 	 97.41 	 0.9971773607272225 	 27241294
SAMN18196757 	 45928144 	 98.87 	 8024825 	 97.56 	 0.9972888765753404 	 45715024
SAMN18196783 	 56679981 	 98.91 	 11328638 	 97.43 	 0.9973726977822756 	 56412078
SAMN18196782 	 49155012 	 99.01 	 9790557 	 97.57 	 0.9975746722885581 	 48922678
SAMN18196781 	 79918712 	 98.94 	 20072342 	 97.43 	 0.9972229183950128 	 79532026
SAMN18196780 	 52153151 	 98.96 	 9899279 	 97.51 	 0.9975030226507234 	 51913772
SAMN18196779 	 49936025 	 98.84 	 9071618 	 97.49 	 0.9974551558870034 	 49704922
SAMN18196778 	 39630867 	 98.87 	 6957666 	 97.43 	 0.997241024089067 	 39450462
SAMN18196777 	 43540599 	 98.86 	 7981745 	 97.37 	 0.9972182004619794 	 43333006
SAMN18196776 	 36639110 	 98.80 	 6216500 	 97.37 	 0.9969925246176148 	 36466854
SAMN18196775 	 40659222 	 98.95 	 7107400 	 97.71 	 0.9974057906867989 	 40476644
SAMN18196774 	 62421584 	 98.99 	 13527098 	 97.65 	 0.9974228776416973 	 62119814
SAMN18196756 	 50103221 	 98.88 	 9069197 	 97.52 	 0.9974595534376277 	 49867352
SAMN18196773 	 51437655 	 98.98 	 9540938 	 97.77 	 0.9974343859852589 	 51189378
SAMN18196772 	 52092772 	 98.98 	 10468571 	 97.75 	 0.997395618921014 	 51847792
SAMN18196771 	 56488376 	 98.99 	 11058334 	 97.60 	 0.9972977976302104 	 56220944
SAMN18196770 	 49974474 	 98.90 	 9152927 	 97.55 	 0.9972910924197624 	 49741084
SAMN18196769 	 58304152 	 98.91 	 11545363 	 97.61 	 0.99742279959873 	 58019408
SAMN18196768 	 47520374 	 98.74 	 8876676 	 97.25 	 0.9972725319199072 	 47299974
SAMN18196766 	 50648130 	 98.82 	 9430906 	 97.38 	 0.9973281039168475 	 50411820
SAMN18196765 	 53070505 	 98.89 	 10321792 	 97.49 	 0.9973467218022309 	 52825642
SAMN18196764 	 49256964 	 98.98 	 9370909 	 97.63 	 0.9971683524781981 	 49022278
SAMN18196755 	 46051735 	 98.96 	 8185317 	 97.57 	 0.9972727771972285 	 45834964
SAMN18196754 	 53606211 	 99.03 	 9952056 	 97.66 	 0.9974011335002707 	 53359672
SAMN18196804 	 51503690 	 98.88 	 10098976 	 97.35 	 0.9973883589200174 	 51263336
SAMN18196800 	 59071502 	 98.91 	 11426005 	 97.56 	 0.9973545777719395 	 58795696
SAMN18196798 	 59933093 	 98.83 	 11715328 	 97.49 	 0.9973755936495572 	 59656932
SAMN18196797 	 56882065 	 98.92 	 11963774 	 97.54 	 0.9972940244569737 	 56613348
SAMN18196811 	 41833552 	 98.86 	 7224719 	 97.56 	 0.9974316120734157 	 41649684
SAMN18196808 	 66329210 	 99.06 	 12903837 	 97.86 	 0.9977135876020938 	 66035330
SAMN18196807 	 46327777 	 98.97 	 8584909 	 97.57 	 0.997291387362752 	 46110244
SAMN18196805 	 22413762 	 98.86 	 3090707 	 97.45 	 0.9971349176580466 	 22309426
SAMN18196762 	 57823063 	 98.93 	 11595244 	 97.49 	 0.9971545732506248 	 57542434
SAMN18196761 	 61789205 	 99.01 	 12241039 	 97.67 	 0.9974963099075609 	 61502622
SAMN18196758 	 38177692 	 98.87 	 6716081 	 97.35 	 0.9969886804935415 	 37988158
SAMN18196767 	 55963497 	 98.97 	 10928837 	 97.51 	 0.9973742852861706 	 55699492
SAMN18196681 	 50115261 	 98.70 	 9910427 	 97.13 	 0.9971880783190389 	 49872850
SAMN18196680 	 64043978 	 98.81 	 13141107 	 97.42 	 0.9974732614111956 	 63745412
SAMN18196710 	 45929272 	 98.86 	 7896635 	 97.34 	 0.9973765030355906 	 45713998
SAMN18196707 	 59043465 	 98.99 	 11705250 	 97.73 	 0.997486685042958 	 58759010
SAMN18196705 	 55484740 	 98.98 	 10382723 	 97.61 	 0.9975125402505377 	 55228000
SAMN18196703 	 50898213 	 98.83 	 9215188 	 97.43 	 0.997508010038048 	 50666566
SAMN18196702 	 46645272 	 98.81 	 8102846 	 97.37 	 0.9973690369122368 	 46427782
SAMN18196697 	 46608614 	 98.94 	 8666225 	 97.56 	 0.9973104035560129 	 46380038
SAMN18196694 	 43670752 	 98.96 	 7974909 	 97.46 	 0.9971866951928096 	 43463130
SAMN18196693 	 58405712 	 98.84 	 11599468 	 97.39 	 0.9971926932267149 	 58120710
SAMN18196674 	 59462232 	 98.84 	 12267835 	 97.43 	 0.9972179561257745 	 59176174
SAMN18196691 	 57824210 	 98.97 	 11320315 	 97.73 	 0.9975707366252742 	 57563734
SAMN18196688 	 47420134 	 98.99 	 8214540 	 97.70 	 0.9976549868180196 	 47201366
SAMN18196685 	 60136226 	 98.89 	 11970250 	 97.60 	 0.9974827664988511 	 59848962
SAMN18196720 	 56790497 	 98.89 	 11473164 	 97.38 	 0.997311252092015 	 56517872
SAMN18196719 	 47125854 	 98.73 	 9079774 	 97.22 	 0.9972418771715854 	 46907330
SAMN18196751 	 12476827 	 99.01 	 1627464 	 97.71 	 0.9970784665211095 	 12410524
SAMN18196750 	 37387306 	 98.90 	 6416521 	 97.54 	 0.9973528930513804 	 37218184
SAMN18196749 	 31270875 	 98.83 	 5261458 	 97.27 	 0.996907484652292 	 31113030
SAMN18196747 	 40702758 	 98.99 	 7012021 	 97.69 	 0.9973606057934038 	 40515738
SAMN18196743 	 42115041 	 98.97 	 7616488 	 97.56 	 0.9971093354383106 	 41917256
SAMN18196716 	 48986099 	 98.85 	 9076634 	 97.32 	 0.9972290683475199 	 48747026
SAMN18196741 	 43107619 	 98.84 	 7628810 	 97.47 	 0.9972784959627832 	 42912044
SAMN18196737 	 42004899 	 98.93 	 7089225 	 97.56 	 0.9973177876611554 	 41813384
SAMN18196736 	 40519893 	 98.82 	 6930644 	 97.49 	 0.9971840688751001 	 40333116
SAMN18196735 	 52225189 	 99.05 	 9512861 	 97.92 	 0.9975333132968756 	 51996406
SAMN18196732 	 42286209 	 98.94 	 7237045 	 97.67 	 0.9974085587273063 	 42093404
SAMN18196730 	 40133341 	 98.98 	 7371370 	 97.55 	 0.997300926070182 	 39944152
SAMN18196729 	 43456928 	 98.90 	 7371893 	 97.60 	 0.9973534155956892 	 43259602
SAMN18196714 	 62456232 	 98.87 	 12884810 	 97.50 	 0.9975298946885018 	 62176174
