Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMEA4799755 	 1901520224 	 97.59 	 0.15335889638163533 	 93.72 	 0.05953256521549574 	 120488272
SAMEA4799754 	 94099659 	 99.55 	 0.172922475733945 	 96.39 	 0.9789739072380083 	 92279966
SAMEA4799747 	 108023775 	 99.26 	 0.1709554864195405 	 95.65 	 0.9766983305404848 	 105990164
SAMEA4799753 	 97720766 	 98.5 	 0.1667827286576939 	 95.47 	 0.9799686489314591 	 95854234
SAMEA4799746 	 112534932 	 99.36 	 0.22084786082245111 	 95.83 	 0.9744368416734832 	 110416432
SAMEA4799750 	 101098768 	 99.68 	 0.1223656256622237 	 96.23 	 0.9763020809032387 	 99183204
SAMEA4799745 	 111551892 	 98.85 	 0.13439815973717414 	 94.99 	 0.9770355306730758 	 109450930
SAMEA4799749 	 92772480 	 99.64 	 0.13969847523748422 	 95.77 	 0.9613762982013105 	 90992042
SAMEA4799748 	 113729618 	 99.61 	 0.1385075258056349 	 96.08 	 0.4911711116546296 	 56213406
SAMEA4799744 	 113863041 	 98.71 	 0.1543615544222115 	 95.13 	 0.9770395644906112 	 111756738
SAMEA4799752 	 111859244 	 99.68 	 0.1558826018884948 	 96.7 	 0.9766256759228548 	 109808156
SAMEA4799751 	 122899702 	 99.6 	 0.1418559013267583 	 96.48 	 0.9738161399464492 	 120661240
SAMEA4799743 	 96515786 	 99.14 	 0.14082027990737184 	 95.48 	 0.9694280135017198 	 94715556
SAMEA4799719 	 112419626 	 99.78 	 0.15150796712310713 	 97.2 	 0.9603670137748122 	 110564396
SAMEA4799720 	 118446566 	 99.52 	 0.1518041983589461 	 97.01 	 0.956801558172547 	 116512998
SAMEA4799722 	 118890581 	 99.08 	 0.15448332277895083 	 96.42 	 0.9672831421983166 	 116906626
SAMEA4799723 	 93369378 	 99.28 	 0.14289010257731394 	 96.81 	 0.9533305355827326 	 91870456
SAMEA4799725 	 121076257 	 99.77 	 0.1671806388927269 	 97.2 	 0.9608101973133514 	 119008134
SAMEA4799726 	 108694232 	 99.76 	 0.16700664484201885 	 97.22 	 0.9647684238880703 	 106918450
SAMEA4799727 	 142155083 	 99.8 	 0.1598627183806013 	 97.27 	 0.9647629727755415 	 139813998
SAMEA4799729 	 104331230 	 99.76 	 0.14554194367304976 	 97.06 	 0.949062059840803 	 102609868
SAMEA4799730 	 101556201 	 99.59 	 0.13458317528045383 	 97.12 	 0.9512506178301691 	 99847184
SAMEA4799731 	 109542981 	 99.12 	 0.13807426876579157 	 96.33 	 0.9542998996202373 	 107806292
SAMEA4799732 	 118197725 	 99.79 	 0.14686964575671824 	 97.07 	 0.962960266300051 	 116280160
SAMEA4799733 	 128791438 	 98.95 	 0.14762162217646796 	 96.22 	 0.9610197431382125 	 126678776
SAMEA4799734 	 104682266 	 99.53 	 0.14434088578097842 	 96.75 	 0.9530974702560926 	 102920684
SAMEA4799736 	 142331771 	 99.76 	 0.15724808904401252 	 97.37 	 0.9614045593367638 	 140095334
SAMEA4799737 	 123189302 	 99.79 	 0.15439660499091065 	 97.07 	 0.9544816020852123 	 121162242
SAMEA4799738 	 119496366 	 99.75 	 0.1294569493435474 	 96.17 	 0.930629262152062 	 117577002
SAMEA4799739 	 102108928 	 99.75 	 0.13475077321348433 	 97.01 	 0.9483186519009088 	 100463740
SAMEA4799740 	 130847317 	 99.78 	 0.14060772067645835 	 97.13 	 0.9520173568155117 	 128692482
SAMEA4799741 	 127126482 	 99.68 	 0.15628687813448658 	 97.37 	 0.9617353253370808 	 125036558
SAMEA4799742 	 103469192 	 99.6 	 0.14129542057311126 	 97.15 	 0.9599401926110912 	 101824552
SAMEA4799735 	 111334452 	 99.73 	 0.14389703018433145 	 97.22 	 0.958589968171819 	 109531864
SAMEA4799721 	 88439137 	 98.78 	 0.13955578286567857 	 96.33 	 0.9611542768083872 	 86957840
SAMEA4799728 	 111828419 	 99.63 	 0.1546091964333324 	 96.95 	 0.9638286193474135 	 110000490
SAMEA4799724 	 113846259 	 99.1 	 0.1514698519869678 	 96.43 	 0.9608508893305949 	 111982438
