Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMEA4799785 	 97197671 	 99.27 	 0.12051039782630182 	 95.96 	 0.980447148003966 	 95307124
SAMEA4799787 	 135503843 	 99.3 	 0.1998480736815708 	 96.22 	 0.9799385229094263 	 132880724
SAMEA4799788 	 84439975 	 99.33 	 0.1670018021677529 	 95.88 	 0.9784502926574652 	 82810256
SAMEA4799781 	 102932446 	 99.22 	 0.18248208150032694 	 95.81 	 0.9785359343302352 	 100948912
SAMEA4799790 	 95727255 	 99.36 	 0.23016154594634516 	 96.11 	 0.9754536651910795 	 93883492
SAMEA4799783 	 107425822 	 99.15 	 0.23667872888140432 	 96.12 	 0.9751845822777956 	 105397936
SAMEA4799782 	 113874005 	 99.18 	 0.12876345220316085 	 95.51 	 0.9775292722402474 	 111659896
SAMEA4799791 	 109893185 	 99.49 	 0.14711805832181496 	 96.18 	 0.9802254016163138 	 107791492
SAMEA4799784 	 121322997 	 99.4 	 0.14321067258172002 	 96.18 	 0.9764007767657801 	 118974296
SAMEA4799789 	 127734450 	 99.47 	 0.1480368060456674 	 96.02 	 0.9761881893037369 	 125253910
SAMEA4799786 	 92431686 	 99.44 	 0.14871663165378157 	 96.24 	 0.9759309091403816 	 90671258
SAMEA4799780 	 97595426 	 99.31 	 0.13038335423629382 	 95.7 	 0.9689821501296879 	 95812674
SAMEA4799779 	 148047003 	 99.22 	 0.017524299360521335 	 93.1 	 0.5024847468430402 	 71449084
SAMEA4799756 	 114918873 	 99.31 	 0.12466981815945932 	 96.29 	 0.9411957390798578 	 113082204
SAMEA4799757 	 100061176 	 99.39 	 0.1204282967851587 	 96.88 	 0.9423189690520101 	 98443682
SAMEA4799758 	 135475886 	 99.73 	 0.14149290007226822 	 97.51 	 0.9567007086128753 	 133184198
SAMEA4799759 	 113944668 	 99.81 	 0.12954405203058733 	 97.63 	 0.9508556130560518 	 111975098
SAMEA4799761 	 111185132 	 99.35 	 0.1315397547938334 	 96.83 	 0.9478226650352821 	 109392424
SAMEA4799762 	 109593975 	 99.77 	 0.13276988082602167 	 97.44 	 0.951123144816784 	 107766734
SAMEA4799763 	 142275657 	 99.61 	 0.13036765663995492 	 96.94 	 0.9553769068860072 	 139855600
SAMEA4799764 	 105333793 	 99.46 	 0.12775704374378696 	 97.22 	 0.9597181170854838 	 103641948
SAMEA4799765 	 108942710 	 99.5 	 0.14680337950102398 	 96.74 	 0.9571967456704376 	 107073056
SAMEA4799766 	 98977913 	 99.55 	 0.12593414654034987 	 96.92 	 0.9505482588489612 	 97320874
SAMEA4799768 	 101604873 	 99.65 	 0.13408079354619143 	 96.97 	 0.9493884840848413 	 99950074
SAMEA4799770 	 120553962 	 99.8 	 0.14455957905390118 	 97.42 	 0.9484376172269179 	 118628612
SAMEA4799771 	 109505888 	 99.43 	 0.13429544537367707 	 97.25 	 0.9597615658621765 	 107702032
SAMEA4799772 	 139388785 	 99.61 	 0.14939691166688912 	 97.65 	 0.9639941024589223 	 137218844
SAMEA4799774 	 133244404 	 99.59 	 0.15463736098065325 	 97.23 	 0.9558870819312135 	 131095434
SAMEA4799776 	 150309845 	 99.7 	 0.16913739748717058 	 97.11 	 0.9550546752259164 	 147839058
SAMEA4799777 	 128223446 	 99.83 	 0.183050274596426 	 97.2 	 0.9600981517630762 	 125946964
SAMEA4799778 	 112036062 	 99.79 	 0.143042121562609 	 97.14 	 0.9372752870204558 	 110239230
SAMEA4799767 	 113269815 	 99.18 	 0.14141671371141554 	 96.56 	 0.9556011341056063 	 111382720
SAMEA4799760 	 109709909 	 99.65 	 0.12351934409133454 	 97.47 	 0.9456936322652247 	 107899524
SAMEA4799769 	 115323377 	 99.53 	 0.1339489911052466 	 96.97 	 0.9564467157688437 	 113445264
SAMEA4799775 	 133471979 	 99.6 	 0.1526150219140753 	 97.19 	 0.9584881871391014 	 131252194
SAMEA4799773 	 130838586 	 99.8 	 0.18275190623047546 	 97.13 	 0.9583969831893191 	 128703796
