Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN14785124 	 34288879 	 98.1 	 0.1457511632270043 	 92.67 	 0.9587861255106889 	 33849250
SAMN14785196 	 58452574 	 99.12 	 0.15496778636300942 	 94.89 	 0.9843250951050748 	 57650842
SAMN14785195 	 35899662 	 98.78 	 0.14601012120949775 	 94.08 	 0.9800301679582011 	 35319858
SAMN14785194 	 75879455 	 99.58 	 0.16840445150798725 	 96.35 	 0.9907133430797047 	 74651360
SAMN14785193 	 87309137 	 99.63 	 0.1625296330669263 	 95.57 	 0.9779742833884691 	 85935412
SAMN14785192 	 71103497 	 99.73 	 0.16489162270035748 	 96.53 	 0.9808561799458951 	 70072852
SAMN14785190 	 51687356 	 99.73 	 0.15866543841012104 	 95.41 	 0.9645037916994614 	 50874994
SAMN14785189 	 54039460 	 99.72 	 0.15725610507580942 	 95.36 	 0.9656183052335191 	 53173962
SAMN14785188 	 61536869 	 99.75 	 0.16906700274269723 	 96.17 	 0.9810949913362521 	 60633978
SAMN14785187 	 53784985 	 99.75 	 0.1655983170767827 	 95.36 	 0.9777588790909525 	 52787702
SAMN14785185 	 57003251 	 99.65 	 0.17739781192479706 	 94.67 	 0.9707107691140268 	 55927798
SAMN14785122 	 81226371 	 99.33 	 0.19621600477509946 	 95.56 	 0.9778509685837471 	 79829858
SAMN14785184 	 51829879 	 99.76 	 0.15254237811359736 	 95.25 	 0.9752256313544923 	 50967476
SAMN14785183 	 57668464 	 99.74 	 0.15950658925127606 	 95.61 	 0.9719186432462132 	 56686908
SAMN14785182 	 54543699 	 99.66 	 0.1608878598424357 	 95.23 	 0.9763903552799864 	 53587640
SAMN14785181 	 58582300 	 99.7 	 0.16247002934333407 	 95.45 	 0.9769448276079801 	 57556218
SAMN14785180 	 56866515 	 99.85 	 0.18331840802975177 	 96.54 	 0.9778159796636304 	 56052994
SAMN14785179 	 100397387 	 99.8 	 0.552219073191616 	 96.43 	 0.9794209093818586 	 98871056
SAMN14785178 	 65619443 	 99.9 	 0.18570355740447234 	 96.95 	 0.9825083966551956 	 64660764
SAMN14785177 	 78717917 	 99.88 	 0.5451263147626226 	 96.4 	 0.9765451848350479 	 77613700
SAMN14785176 	 109321692 	 99.9 	 0.5530205935707618 	 97.17 	 0.9833087284924569 	 107732382
SAMN14785175 	 114240722 	 99.85 	 0.5517645975661813 	 96.25 	 0.973703679913753 	 112600780
SAMN14785121 	 51720804 	 99.73 	 0.1786124786459236 	 95.96 	 0.9841219779161873 	 50867470
SAMN14785173 	 94817823 	 99.79 	 0.5465733905322843 	 96.25 	 0.977174093618971 	 93359166
SAMN14785172 	 90961174 	 91.26 	 0.1505966050965877 	 62.3 	 0.9771949279750618 	 89876368
SAMN14785171 	 82633265 	 99.9 	 0.5469074712223945 	 96.37 	 0.9824771501378095 	 81373892
SAMN14785168 	 56904936 	 99.84 	 0.1897827808821365 	 96.25 	 0.981462960103941 	 56044660
SAMN14785166 	 41017530 	 99.92 	 0.1777705288446184 	 96.0 	 0.9780858610979407 	 40370758
SAMN14785165 	 54799546 	 99.89 	 0.177491689438449 	 96.32 	 0.9795854706729064 	 53932042
SAMN14785164 	 32224721 	 99.82 	 0.18017623798822027 	 96.81 	 0.9861455327449764 	 31737526
SAMN14785163 	 44444225 	 13.99 	 0.028801447207145586 	 13.77 	 0.9801444027390415 	 44422234
SAMN14785162 	 38177721 	 33.97 	 0.06560831643146012 	 31.91 	 0.9753468824240323 	 37922784
SAMN14785160 	 67286400 	 73.25 	 0.15648197852760737 	 70.64 	 0.9852586198350893 	 66194358
SAMN14785159 	 69471241 	 87.37 	 0.18004217025574654 	 84.52 	 0.9858386877884672 	 68231398
SAMN14785157 	 52021315 	 39.16 	 0.07267772835038869 	 37.33 	 0.9635215478814275 	 51635166
SAMN14785156 	 55153705 	 73.72 	 0.14356034648986862 	 69.94 	 0.9701913387636599 	 54282186
SAMN14785155 	 41656123 	 55.32 	 0.11823651951479018 	 50.96 	 0.9820312115087656 	 41020302
