Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMEA1317600 	 95988671 	 97.28 	 0.013709597041925916 	 90.13 	 0.9807286456376969 	 95304756
SAMEA1317593 	 68824243 	 97.35 	 0.011826806435052253 	 90.15 	 0.9807197663748036 	 68324616
SAMEA1317608 	 88417874 	 97.07 	 0.013109509961752756 	 89.86 	 0.9813255163107037 	 87794882
SAMEA1317601 	 90307774 	 96.46 	 0.013132213844624274 	 89.33 	 0.9752757761003943 	 89607956
SAMEA1317615 	 87861792 	 97.26 	 0.0149418532232987 	 90.19 	 0.978895424010036 	 87219688
SAMEA1317610 	 85361098 	 95.83 	 0.017169765084324478 	 71.86 	 0.9569998020345146 	 84801098
SAMEA1317612 	 84162114 	 96.7 	 0.012985379621048967 	 66.95 	 0.9593651642737154 	 83589552
SAMEA1317616 	 92787182 	 96.58 	 0.018527128025075706 	 79.05 	 0.9634151078194564 	 92121874
SAMEA1317599 	 87807858 	 97.06 	 0.0165649069813319 	 75.03 	 0.9574395800993404 	 87200514
SAMEA1317598 	 82600393 	 97.2 	 0.014029557946534226 	 90.01 	 0.9837580645552054 	 82022684
SAMEA1317596 	 77685705 	 97.11 	 0.015230858753228795 	 89.9 	 0.9800304449955771 	 77138016
SAMEA1317594 	 88275242 	 96.66 	 0.01893972717741176 	 77.17 	 0.9628037222438767 	 87664752
SAMEA1317603 	 82300107 	 96.68 	 0.032896555043361 	 81.85 	 0.9688249954242893 	 81728604
SAMEA1317605 	 73215052 	 96.68 	 0.015588870987894675 	 76.39 	 0.959212957714485 	 72697952
SAMEA1317614 	 84975501 	 97.07 	 0.013043218185909842 	 89.63 	 0.9737640335425904 	 84333878
SAMEA1317604 	 72609293 	 97.19 	 0.014241069665834648 	 89.99 	 0.9800869932576921 	 72071044
