Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMEA4785080 	 161667823 	 97.82 	 0.00879582574697007 	 94.31 	 0.9880675451768213 	 158967152
SAMEA4785081 	 216701007 	 97.78 	 0.005612964225865364 	 94.27 	 0.9840481695279768 	 213363182
SAMEA4785082 	 214368857 	 97.6 	 0.009316572509410731 	 93.2 	 0.9855803511493932 	 209899142
SAMEA4785083 	 218258925 	 98.1 	 0.00526141599936864 	 94.85 	 0.9849524238527844 	 214957914
SAMEA4785084 	 199799765 	 97.15 	 0.012419218811393497 	 91.34 	 0.9845635832082479 	 194393246
SAMEA4785085 	 191495132 	 97.96 	 0.009303390542585699 	 94.35 	 0.9883199156101156 	 188138706
SAMEA4785088 	 205283084 	 98.02 	 0.006529714840020622 	 94.9 	 0.9866858494067614 	 202261938
SAMEA4785089 	 168523143 	 97.58 	 0.008260218597988051 	 93.93 	 0.9846941677310788 	 165791350
SAMEA4785093 	 119796020 	 94.89 	 0.005902792096098017 	 88.89 	 0.9999919951965798 	 118927640
SAMEA4785094 	 112334680 	 94.98 	 0.004853069417209361 	 89.28 	 0.9999927954626469 	 111595536
SAMEA4785095 	 126535989 	 95.03 	 0.004827598889672408 	 89.62 	 0.9999920457082874 	 125717296
SAMEA4785096 	 118912476 	 95.29 	 0.004253985931635971 	 90.2 	 0.9999915903910623 	 118197130
SAMEA4785097 	 105679971 	 95.11 	 0.005008243236554257 	 89.23 	 0.9999899394957846 	 104963862
SAMEA4785098 	 125705256 	 95.32 	 0.004732260359900942 	 90.05 	 0.9999898150196176 	 124888512
SAMEA4785099 	 117699332 	 95.04 	 0.00495205869137813 	 90.31 	 0.9999904766498311 	 116974528
SAMEA4785100 	 113270355 	 94.88 	 0.005102650203577096 	 89.15 	 0.999990080561308 	 112505250
SAMEA4785101 	 128804397 	 95.36 	 0.0043966356210650166 	 89.92 	 0.9999900647566974 	 128027802
SAMEA4785102 	 115742131 	 95.57 	 0.0037265600371570833 	 90.63 	 0.9999889649805134 	 115086882
SAMEA4785111 	 230953476 	 98.25 	 0.006450511270936663 	 94.7 	 0.9868372056111889 	 226914476
SAMEA4785112 	 152332147 	 95.81 	 0.00274298635074053 	 89.21 	 0.9999367680869826 	 151749216
SAMEA4785113 	 134468053 	 95.65 	 0.0035934334529258037 	 88.69 	 0.9998566067031475 	 133892218
SAMEA4785114 	 146634395 	 95.73 	 0.00254179109887554 	 90.56 	 0.9998499633509074 	 146129030
SAMEA4785116 	 124452363 	 95.39 	 0.003394383118302061 	 85.22 	 0.9999163819453885 	 123910244
SAMEA4785117 	 112774045 	 95.19 	 0.003895346664208063 	 89.03 	 0.9998990196335015 	 112248110
SAMEA4785118 	 116696411 	 94.4 	 0.003936804877401071 	 85.68 	 0.9999442976985824 	 116146720
SAMEA4785119 	 126964219 	 94.54 	 0.004164393749391708 	 85.67 	 0.9999449179463328 	 126386292
SAMEA4785120 	 131227813 	 94.79 	 0.004108885057773537 	 88.04 	 0.9999583078994684 	 130666788
SAMEA4785151 	 94765361 	 96.74 	 0.003911598036333128 	 92.68 	 0.9999516436312741 	 94171252
SAMEA4785152 	 99100829 	 96.06 	 0.005443546794144376 	 91.06 	 0.9999548945292555 	 98342836
SAMEA4785153 	 107464700 	 96.18 	 0.005084758064741259 	 91.44 	 0.9999987628139669 	 106693604
SAMEA4785154 	 107518516 	 96.08 	 0.004391448259944361 	 91.69 	 0.9999847653966535 	 106860360
SAMEA4785087 	 148583142 	 97.83 	 0.008378218304200352 	 94.26 	 0.9875803218850318 	 146180466
SAMEA4785115 	 204837325 	 95.66 	 0.0030652860751818546 	 88.79 	 0.9999029767073612 	 203993072
SAMN06619701 	 137427756 	 95.97 	 0.0537830945882577 	 90.61 	 0.9687264600395203 	 136309692
SAMN06619700 	 128056665 	 95.99 	 0.05897753154824077 	 90.24 	 0.9671732213336247 	 126914182
SAMN06619699 	 116146736 	 96.11 	 0.04891954949125733 	 90.97 	 0.9681624500343671 	 115265386
SAMN06619698 	 125655044 	 96.41 	 0.0542992448436849 	 91.21 	 0.9688897800320874 	 124602954
SAMN06619697 	 116003820 	 96.39 	 0.06946127291325406 	 90.48 	 0.9700981594764151 	 114720056
SAMN06619696 	 134867606 	 95.94 	 0.07179291074537202 	 89.49 	 0.9663860582432457 	 133434416
SAMN06619695 	 131244194 	 96.02 	 0.06381107418740367 	 89.8 	 0.959924076179218 	 129985790
SAMN06619694 	 123882150 	 96.27 	 0.0669610270729076 	 90.22 	 0.9608700118942078 	 122634406
SAMN06619693 	 127534143 	 96.19 	 0.06169048393574104 	 90.58 	 0.9605414573916642 	 126413726
SAMN06619692 	 129441084 	 96.34 	 0.05972540372112459 	 90.63 	 0.9589359219800914 	 128231982
