Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN03568550 	 199462036 	 98.78 	 0.5075993709399417 	 89.82 	 0.46496472309232645 	 98950214
SAMN03568563 	 117791122 	 98.42 	 0.5067755021469275 	 91.89 	 0.1603041222908009 	 19579600
SAMN03568562 	 140880838 	 97.84 	 0.5097622928676787 	 90.82 	 0.1601404076225124 	 23335616
SAMN03568558 	 143894068 	 98.14 	 0.5186041025680086 	 91.44 	 0.1615270758171726 	 23809834
SAMN03568568 	 119300926 	 98.61 	 0.5107237809704847 	 92.14 	 0.1605543594507251 	 19784756
SAMN03568559 	 122616656 	 98.52 	 0.5088362872985217 	 91.76 	 0.1572902106016935 	 20236978
SAMN03568567 	 110622602 	 98.5 	 0.5164206678125326 	 91.77 	 0.161311454472291 	 18308712
SAMN03568565 	 143821598 	 98.52 	 0.5170993024288327 	 91.31 	 0.1588451895399964 	 23665386
SAMN03568566 	 158808546 	 98.47 	 0.5141750243088303 	 91.64 	 0.15813030251177412 	 26215426
SAMN03568557 	 191917696 	 98.7 	 0.5073700811831339 	 90.37 	 0.4690527680140139 	 95251358
SAMN03568554 	 161583674 	 98.61 	 0.5045001142875363 	 90.56 	 0.46660963393992766 	 80185714
SAMN03568551 	 170039204 	 98.52 	 0.5039229835491349 	 89.29 	 0.46764450164141924 	 84350524
SAMN03568555 	 198061304 	 98.34 	 0.5085407142426973 	 90.9 	 0.4597263890016731 	 98280712
SAMN03568553 	 163095680 	 98.5 	 0.5024269925481779 	 89.62 	 0.4683264540775476 	 80928486
SAMN03568556 	 183078628 	 98.6 	 0.5045816325431497 	 90.16 	 0.4631381518800496 	 90845208
SAMN03568552 	 181203770 	 98.67 	 0.5057519553815023 	 91.2 	 0.4700848571877539 	 89901418
