Sample	Total_Reads	Percent_mapped	Num_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	NumReadsPassingFilters
SAMEA3522226 	 87383464 	 98.02 	 1651823 	 94.26 	 0.8165027299898449 	 86912104
SAMEA3522227 	 52245591 	 97.98 	 769811 	 94.37 	 0.7802865008593103 	 51944320
SAMEA3522228 	 43896330 	 98.13 	 569240 	 94.52 	 0.7414516186494923 	 43662726
SAMEA3539925 	 24614714 	 98.35 	 405117 	 95.19 	 0.9989853493749755 	 24405296
SAMEA3539926 	 39688052 	 98.24 	 399221 	 94.45 	 0.9937960328876211 	 39327556
SAMEA3539927 	 34585189 	 98.18 	 374910 	 94.76 	 0.720629122890083 	 34409516
SAMEA3539928 	 50366005 	 98.09 	 650406 	 94.54 	 0.758924121348051 	 50090522
SAMEA3539929 	 35624503 	 98.19 	 384802 	 94.70 	 0.7479698716672533 	 35428872
SAMEA3539930 	 29932560 	 98.19 	 322135 	 94.89 	 0.7945193037017295 	 29775960
SAMEA3539931 	 59518875 	 98.38 	 609780 	 94.91 	 0.9923484161710026 	 59067396
SAMEA3539932 	 53626222 	 98.28 	 595828 	 94.54 	 0.8566083831198418 	 53201824
SAMEA3539933 	 57988814 	 98.32 	 574561 	 94.74 	 0.9792630092163193 	 57494858
SAMEA3539934 	 42768599 	 98.26 	 375692 	 94.54 	 0.9666468787458666 	 42389078
SAMEA3539935 	 76190114 	 98.06 	 1550566 	 93.33 	 0.909127652304782 	 75784752
SAMEA3539936 	 121439808 	 97.84 	 3950202 	 93.20 	 0.9038618087577389 	 120736172
SAMEA3539937 	 62134595 	 98.00 	 1638016 	 93.07 	 0.8905601031799746 	 61774056
SAMEA3539938 	 41974103 	 97.97 	 971168 	 92.93 	 0.9000725949743985 	 41728568
SAMEA3539939 	 130659995 	 98.05 	 3720903 	 93.15 	 0.9035526957792464 	 129943428
SAMEA3539940 	 49000495 	 97.91 	 910832 	 92.87 	 0.9076084845047518 	 48731440
SAMEA3539941 	 135349720 	 98.00 	 3108984 	 92.86 	 0.8947288851144657 	 134615180
SAMEA3539942 	 82982533 	 98.02 	 2214952 	 93.10 	 0.9002958483436198 	 82521546
SAMEA3539943 	 68724255 	 98.01 	 1647826 	 93.04 	 0.9031809692130017 	 68337304
SAMEA3539944 	 72585928 	 98.08 	 2127452 	 92.97 	 0.8813527799334112 	 72172918
SAMEA3539945 	 136531888 	 97.95 	 4218925 	 92.94 	 0.9022565086046681 	 135739006
SAMEA3539946 	 80619815 	 97.93 	 1558769 	 92.70 	 0.8824380932039706 	 80185930
SAMEA3539947 	 52202416 	 97.96 	 1419292 	 93.01 	 0.8995482832597571 	 51905816
SAMEA3539948 	 38912963 	 98.04 	 848558 	 93.21 	 0.89203543584469 	 38699746
SAMEA3539949 	 47583530 	 97.97 	 1020188 	 93.26 	 0.8923821439367838 	 47326152
SAMEA3539951 	 93971302 	 98.13 	 1769851 	 93.31 	 0.8919117793677048 	 93484868
SAMEA3539952 	 45794217 	 97.90 	 914889 	 92.61 	 0.8970397321803127 	 45546708
SAMEA3539953 	 25680145 	 98.00 	 343295 	 93.20 	 0.8933474343761181 	 25544046
SAMEA3539954 	 67333434 	 98.02 	 1135679 	 93.14 	 0.8905774077838189 	 66984924
SAMEA3539955 	 41172880 	 98.04 	 647375 	 93.08 	 0.887739126834683 	 40954948
SAMEA3539956 	 64417694 	 98.05 	 1017728 	 93.05 	 0.8841695823405472 	 64084194
SAMEA3539958 	 83641672 	 98.30 	 1288011 	 94.95 	 0.7722661773797316 	 83200526
SAMEA3539959 	 61261530 	 98.23 	 790468 	 94.67 	 0.7570405410885462 	 60932994
SAMEA3539960 	 59303296 	 98.16 	 913168 	 94.54 	 0.7625119745821672 	 58994060
