Sample	Total_Reads	Percent_mapped	Num_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	NumReadsPassingFilters
SAMN22420268 	 17896006 	 95.72 	 1290591 	 91.64 	 0.9760013047502076 	 17797294
SAMN22420267 	 13172041 	 96.98 	 820245 	 93.06 	 0.9591927766985626 	 13095788
SAMN22420266 	 14363660 	 95.83 	 932135 	 92.21 	 0.9754529323251152 	 14278522
SAMN22420265 	 17652172 	 95.74 	 1336263 	 91.88 	 0.9754376816774045 	 17554156
SAMN22420264 	 15896824 	 95.68 	 1054356 	 91.38 	 0.9743747051193864 	 15802826
SAMN22420263 	 14186618 	 95.66 	 879333 	 91.57 	 0.9734077769099687 	 14105802
SAMN22420182 	 18504145 	 97.32 	 1339592 	 92.85 	 0.9772070676819853 	 18396654
SAMN22420262 	 18952598 	 95.92 	 1489725 	 92.64 	 0.9684788061121488 	 18828088
SAMN22420261 	 17277168 	 95.84 	 1209377 	 91.58 	 0.9726797071774149 	 17177368
SAMN22420260 	 18301917 	 97.14 	 1473337 	 93.70 	 0.974441784344137 	 18187266
SAMN22420259 	 16089299 	 97.27 	 1300422 	 92.97 	 0.9724473708908544 	 15998074
SAMN22420258 	 17268505 	 95.73 	 1222731 	 91.41 	 0.9773049805264867 	 17168256
SAMN22420257 	 17591977 	 95.61 	 1302146 	 92.25 	 0.9794052275686346 	 17489484
SAMN22420256 	 21114051 	 95.89 	 1773415 	 90.23 	 0.9791391426642412 	 20953092
SAMN22420255 	 21000316 	 97.09 	 1616732 	 93.55 	 0.9666033009464097 	 20867960
SAMN22420254 	 15813672 	 97.14 	 1113553 	 93.20 	 0.9784446246621178 	 15720660
SAMN22420253 	 18176316 	 97.12 	 1335628 	 93.80 	 0.97267778675813 	 18076030
SAMN22420181 	 16473712 	 95.61 	 1109405 	 91.87 	 0.9726690684826391 	 16377082
SAMN22420252 	 16466761 	 97.25 	 1203813 	 93.39 	 0.9773778032899479 	 16376358
SAMN22420251 	 15649502 	 97.01 	 1029107 	 93.06 	 0.974485222907662 	 15560276
SAMN22420250 	 18022253 	 96.08 	 1597283 	 91.10 	 0.9689789706855572 	 17830808
SAMN22420249 	 16030355 	 97.11 	 1100593 	 93.19 	 0.9782352886298064 	 15938098
SAMN22420248 	 20748685 	 95.82 	 1704900 	 91.78 	 0.9736254834323862 	 20619680
SAMN22420247 	 15787815 	 97.27 	 1214106 	 93.31 	 0.9704299067823978 	 15698008
SAMN22420246 	 17894233 	 95.97 	 1506951 	 92.03 	 0.9707243535557748 	 17783808
