Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMD00010024 	 277206469 	 99.26 	 0.08312976996218656 	 94.04 	 0.9660072701567569 	 274885460
SAMN09469364 	 11537968 	 99.66 	 0.23193304054925443 	 96.45 	 0.9458702069083199 	 11330146
SAMN09469374 	 21389325 	 99.51 	 0.2484109713607138 	 94.57 	 0.9487293799682791 	 20761360
SAMN09469358 	 23650217 	 99.32 	 0.21979299386555312 	 96.31 	 0.9265284642320523 	 23232616
SAMN09469357 	 15101536 	 99.44 	 0.2637044337741538 	 96.24 	 0.950163408111406 	 14835536
SAMN09469356 	 20276301 	 99.63 	 0.2536536619771032 	 95.84 	 0.9477172725407588 	 19862922
SAMN09469376 	 20858958 	 99.42 	 0.2616976360947656 	 96.1 	 0.9502660283101284 	 20471410
SAMN09469359 	 27641169 	 99.62 	 0.21791538556129808 	 96.14 	 0.9251125548754268 	 27119706
SAMN09469373 	 28138441 	 99.64 	 0.25041533040156705 	 94.21 	 0.9407524861115364 	 27408120
SAMN09469354 	 30756242 	 99.56 	 0.25983509298697804 	 95.93 	 0.9486315863345902 	 30170814
SAMN09469371 	 16066522 	 99.55 	 0.24400657466500839 	 95.9 	 0.9311987176112937 	 15779978
SAMN09469363 	 28317039 	 99.65 	 0.2333785675825781 	 96.4 	 0.9417958618280345 	 27821196
SAMN09469349 	 26809216 	 99.62 	 0.2582915516813323 	 95.8 	 0.9487009080185019 	 26228956
SAMN09469372 	 22745316 	 99.54 	 0.24025117962748901 	 96.3 	 0.938498929889677 	 22351512
SAMN09469351 	 9674423 	 99.63 	 0.25187259229826936 	 96.3 	 0.9513650453745253 	 9489638
SAMN09469350 	 16633615 	 99.53 	 0.25384680359621165 	 95.82 	 0.946468822181634 	 16292060
SAMN09469352 	 8577196 	 99.32 	 0.2456071891093546 	 96.15 	 0.9418495229568971 	 8437380
SAMN09469353 	 20543091 	 99.43 	 0.2528901809372309 	 96.41 	 0.939036090449318 	 20207420
SAMN09469369 	 8381398 	 99.56 	 0.23016279623041408 	 95.65 	 0.9331249698513089 	 8201952
SAMN09469370 	 41493190 	 99.66 	 0.248466362793509 	 95.51 	 0.9446340840736258 	 40605132
SAMN09469365 	 26738370 	 99.52 	 0.2244616631455096 	 96.47 	 0.9327976163354437 	 26286054
SAMN09469362 	 19543468 	 99.3 	 0.21439316706738026 	 96.06 	 0.9104032443032549 	 19227356
SAMN09469361 	 29280094 	 99.6 	 0.2155225321339474 	 95.95 	 0.9060469037845142 	 28726594
SAMN09469377 	 27981464 	 99.6 	 0.21648492016000306 	 95.66 	 0.9227051471319035 	 27405738
SAMN09469367 	 18970614 	 99.37 	 0.23315286474122557 	 95.88 	 0.9437915388794377 	 18609372
SAMN09469368 	 15255795 	 99.28 	 0.22487848060360013 	 96.21 	 0.933461851290558 	 15006904
SAMN09469366 	 16806104 	 99.58 	 0.23747389638907387 	 96.07 	 0.940618102703877 	 16487726
SAMN09469348 	 15668811 	 99.52 	 0.23187866647954333 	 96.04 	 0.9325043021113719 	 15367932
SAMN09469375 	 21647561 	 99.45 	 0.2606081119254035 	 95.71 	 0.9405960022530749 	 21244322
SAMN09469355 	 20265460 	 99.6 	 0.2542170767404244 	 96.23 	 0.9345762111948622 	 19898178
SAMN09469360 	 32625026 	 99.56 	 0.2098074343297075 	 96.54 	 0.9088716447407208 	 32096604
