Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMEA3532857 	 274097883 	 99.19 	 0.005713542851405387 	 98.12 	 0.9572724154517811 	 273420254
SAMEA3532858 	 292318537 	 99.48 	 0.005354668971950965 	 98.55 	 0.9606299556492808 	 291655954
SAMEA3532859 	 278058377 	 99.2 	 0.005252382667830935 	 98.22 	 0.956884100860292 	 277410884
SAMEA3532860 	 268463031 	 99.23 	 0.006031214033339287 	 98.04 	 0.9561667172576312 	 267812296
SAMEA3532861 	 300482012 	 99.22 	 0.005968027796618987 	 98.19 	 0.9565009640029825 	 299768856
SAMEA3532862 	 241858515 	 99.18 	 0.004858328018759232 	 98.18 	 0.9546216021713738 	 241251620
SAMEA3532863 	 310264869 	 99.15 	 0.005164584070264172 	 98.15 	 0.957524749626323 	 309478606
SAMEA3532864 	 241781356 	 99.18 	 0.003967481264353568 	 98.14 	 0.953327671991978 	 241198744
SAMEA3532865 	 243923768 	 99.21 	 0.00652303796815733 	 97.89 	 0.9509790446236387 	 243320648
SAMEA3532866 	 278198511 	 99.2 	 0.004438345106742861 	 98.2 	 0.9559798001771395 	 277508036
SAMEA3532867 	 230907922 	 99.15 	 0.005421836501564464 	 98.07 	 0.9529660202524947 	 230333206
SAMEA3532868 	 220351087 	 99.2 	 0.005096425959541556 	 97.92 	 0.9490048005074971 	 219824792
SAMEA3532869 	 276231925 	 99.51 	 0.001855824593772063 	 98.78 	 0.9603572321908211 	 275666510
SAMEA3532870 	 245437416 	 99.19 	 0.005747277750023249 	 97.95 	 0.9518402609283393 	 244852826
SAMEA3532871 	 337326644 	 99.23 	 0.006369129264511937 	 98.31 	 0.9577039550784908 	 336471456
SAMEA3532872 	 260201394 	 99.2 	 0.005635857584990494 	 98.09 	 0.9532517219806971 	 259548664
SAMEA3532873 	 274285329 	 99.2 	 0.007168644444705243 	 98.15 	 0.9564957179322106 	 273565060
SAMEA3532874 	 283083211 	 99.17 	 0.006737531319015595 	 97.9 	 0.9537380464065587 	 282365212
SAMEA3532875 	 323609649 	 99.18 	 0.004376133419927784 	 98.13 	 0.9570017571971227 	 322830138
